,accuracy,loss
0,tensor(0.4900),1.0182539016008376
1,tensor(0.4700),1.017188258767128
2,tensor(0.5233),0.9951393240690232
3,tensor(0.5600),0.9839422172307968
4,tensor(0.6467),0.8812763196229935
5,tensor(0.7133),0.6728954496979713
6,tensor(0.7833),0.5428750413656235
7,tensor(0.8533),0.41688907116651536
8,tensor(0.8633),0.3594314828515053
9,tensor(0.8800),0.349897997379303
10,tensor(0.9000),0.32758774161338805
11,tensor(0.9333),0.30706006944179537
12,tensor(0.9533),0.2641299819946289
13,tensor(0.9200),0.25583600521087646
14,tensor(0.9567),0.23400534242391585
15,tensor(0.9500),0.22276619739830494
16,tensor(0.9533),0.20781778946518897
17,tensor(0.9700),0.177030493542552
