,accuracy,loss
0,tensor(0.4700),1.080022708773613
1,tensor(0.5400),1.0002489650249482
2,tensor(0.5500),0.9898426115512848
3,tensor(0.5767),0.9774331706762314
4,tensor(0.6033),0.9426613163948059
5,tensor(0.6300),0.9350857561826706
6,tensor(0.7133),0.7832876497507095
7,tensor(0.7033),0.6217264893651009
8,tensor(0.8400),0.486722786128521
9,tensor(0.8433),0.3997375701367855
10,tensor(0.8800),0.3601135820150375
11,tensor(0.9167),0.3099188782274723
12,tensor(0.8800),0.32900098487734797
13,tensor(0.9100),0.28077104657888413
14,tensor(0.9600),0.26815965756773946
15,tensor(0.9800),0.22878660418093205
