,accuracy,loss
0,tensor(0.5367),1.0088383597135544
1,tensor(0.5067),1.005804841518402
2,tensor(0.5433),0.9928953737020493
3,tensor(0.5500),0.9597159868478775
4,tensor(0.6733),0.8987248980998993
5,tensor(0.7533),0.7274268877506256
6,tensor(0.7900),0.6319909551739693
7,tensor(0.8800),0.5099350011348724
8,tensor(0.8633),0.4342479854822159
9,tensor(0.8867),0.3556011541187763
10,tensor(0.9300),0.3323836821317673
11,tensor(0.9200),0.3226856051385403
12,tensor(0.8833),0.32680534571409225
13,tensor(0.9267),0.26730872586369514
14,tensor(0.9367),0.273335914760828
15,tensor(0.9567),0.22167849078774451
16,tensor(0.9867),0.20441298983991146
