,accuracy,loss
0,tensor(0.4933),1.0396672880649567
1,tensor(0.5200),1.005917100906372
2,tensor(0.5267),1.0080284190177917
3,tensor(0.5300),1.004952877163887
4,tensor(0.5367),0.9984932273626328
5,tensor(0.5100),0.9962112367153168
6,tensor(0.5200),0.9893159514665604
7,tensor(0.5500),0.976331295967102
8,tensor(0.5567),0.9703855419158935
9,tensor(0.5533),0.9361943471431732
10,tensor(0.6267),0.8013730415701866
11,tensor(0.6433),0.7009580099582672
12,tensor(0.7133),0.6653864023089409
13,tensor(0.6700),0.6853144153952598
14,tensor(0.6700),0.6733522045612336
15,tensor(0.7067),0.6625511708855629
16,tensor(0.6433),0.6784227794408798
17,tensor(0.6833),0.6652536565065383
18,tensor(0.6667),0.6678506225347519
19,tensor(0.7133),0.6531297153234482
20,tensor(0.6400),0.6702826881408691
21,tensor(0.7267),0.6550675952434539
22,tensor(0.6567),0.6692226502299309
23,tensor(0.7100),0.6487158155441284
24,tensor(0.6867),0.6566695061326027
25,tensor(0.6833),0.6532020264863968
26,tensor(0.7100),0.6452263426780701
27,tensor(0.7400),0.6419197893142701
28,tensor(0.7400),0.6137350744009018
29,tensor(0.7533),0.5726359683275223
30,tensor(0.6100),1.1444848662614822
31,tensor(0.7000),0.7516253587603569
32,tensor(0.8067),0.4525442260503769
33,tensor(0.8600),0.3705979058146477
34,tensor(0.8333),0.3551619431376457
35,tensor(0.8733),0.3402978028357029
36,tensor(0.8333),0.34389756828546525
37,tensor(0.8333),0.34730484887957574
38,tensor(0.8300),0.3417028656601906
39,tensor(0.5467),1.3297033785283565
40,tensor(0.6067),0.9969718238711357
41,tensor(0.7467),0.7173901543021202
42,tensor(0.7333),0.7081195041537285
43,tensor(0.7467),0.6712571918964386
44,tensor(0.6533),0.6872216671705246
45,tensor(0.6867),0.6696145221590996
46,tensor(0.6733),0.6364105182886124
47,tensor(0.7067),0.6349814370274544
48,tensor(0.6500),0.6668858134746551
49,tensor(0.6467),0.6193078550696373
50,tensor(0.6600),0.6206305128335953
51,tensor(0.6933),0.5853609323501587
52,tensor(0.7300),0.5838627025485039
53,tensor(0.7467),0.6086281713843346
54,tensor(0.8033),0.6067456626892089
55,tensor(0.7667),0.5504434484243393
56,tensor(0.7800),0.5862283945083618
57,tensor(0.7700),0.6209142488241196
58,tensor(0.8133),0.5616173383593559
59,tensor(0.8200),0.5636672866344452
60,tensor(0.8167),0.5283023256063462
61,tensor(0.8100),0.5192947569489479
62,tensor(0.8200),0.5065993276238442
63,tensor(0.8600),0.506505306661129
64,tensor(0.8233),0.5064296519756317
65,tensor(0.8533),0.4646729043126106
66,tensor(0.7967),0.49266967207193374
67,tensor(0.9033),0.4298528929054737
68,tensor(0.9433),0.4167679476737976
69,tensor(0.9167),0.43093157455325126
70,tensor(0.9567),0.3768374820053577
71,tensor(1.),0.34966637060046196
