,accuracy,loss
0,tensor(0.5167),1.0726022148132324
1,tensor(0.5033),1.034349868297577
2,tensor(0.5033),1.0059872037172317
3,tensor(0.5067),1.0022094631195069
4,tensor(0.5267),0.9978978884220123
5,tensor(0.5200),0.9944830113649368
6,tensor(0.5667),0.977376754283905
7,tensor(0.5267),0.9867583066225052
8,tensor(0.6100),0.9659133392572403
9,tensor(0.6600),0.8931231325864792
10,tensor(0.7000),0.7978514406085014
11,tensor(0.7400),0.7088002613186837
12,tensor(0.7033),0.7118391019105911
13,tensor(0.7400),0.6585700237751007
14,tensor(0.7600),0.6490234395861626
15,tensor(0.7867),0.6127975371479988
16,tensor(0.8133),0.5168542876839638
17,tensor(0.8400),0.4382743887603283
18,tensor(0.7167),0.6580273115634918
19,tensor(0.8000),0.4595021240413189
20,tensor(0.8233),0.3964217746257782
21,tensor(0.8567),0.36930633753538133
22,tensor(0.8333),0.36914377361536027
23,tensor(0.8067),0.3667914171516895
24,tensor(0.8300),0.3545705392956734
25,tensor(0.8233),0.3591350555419922
26,tensor(0.8700),0.34898931920528414
27,tensor(0.8833),0.33761378690600397
28,tensor(0.7567),0.6528978304564953
29,tensor(0.8867),0.3412293240427971
30,tensor(0.8567),0.34161477655172345
31,tensor(0.8600),0.3769387072324753
32,tensor(0.9067),0.3194750367105007
33,tensor(0.8967),0.32324968472123145
34,tensor(0.8633),0.33172869220376017
35,tensor(0.8900),0.3134616658091545
36,tensor(0.8700),0.3130592915415764
37,tensor(0.8733),0.30746597468853
38,tensor(0.8267),0.31617703422904014
39,tensor(0.8767),0.30429435849189757
40,tensor(0.9000),0.29771448418498037
41,tensor(0.8767),0.29769942417740825
42,tensor(0.9100),0.30195012167096136
43,tensor(0.9100),0.28163332894444465
44,tensor(0.9267),0.2546901486814022
45,tensor(0.9033),0.2695958947390318
46,tensor(0.8800),0.275624628290534
47,tensor(0.8600),0.387727916687727
48,tensor(0.8900),0.3011957972496748
49,tensor(0.8867),0.2755197776854038
50,tensor(0.9400),0.2655871311575174
51,tensor(0.9400),0.25368166945874693
52,tensor(0.8900),0.2720358395576477
53,tensor(0.9167),0.2490851978957653
54,tensor(0.9200),0.22526247777044772
55,tensor(0.9900),0.23301924165338278
