,accuracy,loss
0,tensor(0.4500),1.025413179397583
1,tensor(0.5067),0.9997330647706986
2,tensor(0.5833),0.9815588402748108
3,tensor(0.5767),0.972740129828453
4,tensor(0.6133),0.9685791635513306
5,tensor(0.7400),0.92750727891922
6,tensor(0.7367),0.8141838306188584
7,tensor(0.7633),0.6650930416584014
8,tensor(0.8133),0.5694722002744674
9,tensor(0.8567),0.42246554836630823
10,tensor(0.8600),0.37752692475914956
11,tensor(0.8833),0.3412868423759937
12,tensor(0.8867),0.3362892904877663
13,tensor(0.9333),0.2860350753366947
14,tensor(0.9633),0.25463645830750464
15,tensor(0.9800),0.21848523154854774
