,accuracy,loss
0,tensor(0.4867),1.0428067249059678
1,tensor(0.4633),1.008544180393219
2,tensor(0.4967),0.9968578547239304
3,tensor(0.4433),1.0026641690731048
4,tensor(0.6033),0.9840403473377228
5,tensor(0.6900),0.8353741493821144
6,tensor(0.7533),0.6320473393797874
7,tensor(0.8300),0.4429339280724525
8,tensor(0.8400),0.3814754457771778
9,tensor(0.8767),0.3375421452522278
10,tensor(0.8633),0.34331347063183787
11,tensor(0.9233),0.2826086241006851
12,tensor(0.9400),0.2517322735488415
13,tensor(0.9667),0.22029920764267444
14,tensor(0.9667),0.2052812036126852
15,tensor(0.9867),0.17924535617232323
