,acc
0,"[0.1910569105691057, 0.11440185830429733, 0.1991869918699187, 0.16144018583042974, 0.13240418118466898, 0.1295005807200929]"
1,"[0.2073170731707317, 0.13066202090592335, 0.2148664343786295, 0.17828106852497097, 0.13937282229965156, 0.14169570267131243]"
2,"[0.21951219512195122, 0.13879210220673635, 0.22822299651567945, 0.19337979094076654, 0.14692218350754935, 0.15331010452961671]"
3,"[0.23577235772357724, 0.14924506387921022, 0.23344947735191637, 0.2038327526132404, 0.15040650406504066, 0.16550522648083624]"
4,"[0.23983739837398374, 0.1480836236933798, 0.2346109175377468, 0.20847851335656215, 0.15331010452961671, 0.16957026713124274]"
5,"[0.24390243902439024, 0.1562137049941928, 0.23286875725900116, 0.20615563298490128, 0.15795586527293845, 0.17479674796747968]"
6,"[0.2601626016260163, 0.16202090592334495, 0.23344947735191637, 0.20441347270615565, 0.15853658536585366, 0.1759581881533101]"
7,"[0.2601626016260163, 0.16434378629500582, 0.23228803716608595, 0.2038327526132404, 0.16144018583042974, 0.17770034843205576]"
8,"[0.2601626016260163, 0.16376306620209058, 0.23344947735191637, 0.2032520325203252, 0.16144018583042974, 0.1765389082462253]"
9,"[0.25609756097560976, 0.16666666666666666, 0.23170731707317074, 0.2032520325203252, 0.16260162601626016, 0.17886178861788618]"
10,"[0.27235772357723576, 0.17479674796747968, 0.22822299651567945, 0.20615563298490128, 0.15969802555168408, 0.17886178861788618]"
11,"[0.2926829268292683, 0.17828106852497097, 0.2229965156794425, 0.21196283391405343, 0.16202090592334495, 0.17828106852497097]"
12,"[0.3170731707317073, 0.18989547038327526, 0.22531939605110338, 0.2148664343786295, 0.15969802555168408, 0.18466898954703834]"
13,"[0.32926829268292684, 0.20092915214866433, 0.22531939605110338, 0.22996515679442509, 0.156794425087108, 0.18234610917537747]"
14,"[0.35772357723577236, 0.22067363530778164, 0.22473867595818817, 0.24099883855981416, 0.15389082462253195, 0.18466898954703834]"
15,"[0.4024390243902439, 0.23344947735191637, 0.218931475029036, 0.24854819976771197, 0.14227642276422764, 0.18292682926829268]"
16,"[0.4105691056910569, 0.2421602787456446, 0.2183507549361208, 0.24912891986062718, 0.13704994192799072, 0.18118466898954705]"
17,"[0.4268292682926829, 0.2537746806039489, 0.218931475029036, 0.2584204413472706, 0.13530778164924506, 0.1806039488966318]"
18,"[0.45121951219512196, 0.26422764227642276, 0.2183507549361208, 0.26422764227642276, 0.13240418118466898, 0.17711962833914052]"
19,"[0.47560975609756095, 0.27235772357723576, 0.22357723577235772, 0.2688734030197445, 0.13240418118466898, 0.1759581881533101]"
20,"[0.5, 0.27932636469221833, 0.2264808362369338, 0.2706155632984901, 0.1295005807200929, 0.1759581881533101]"
21,"[0.5040650406504065, 0.2886178861788618, 0.22764227642276422, 0.27584204413472707, 0.13066202090592335, 0.1759581881533101]"
22,"[0.5203252032520326, 0.2932636469221835, 0.22880371660859466, 0.27932636469221833, 0.13124274099883856, 0.1718931475029036]"
23,"[0.5203252032520326, 0.3037166085946574, 0.23170731707317074, 0.2804878048780488, 0.13356562137049943, 0.1718931475029036]"
24,"[0.532520325203252, 0.305458768873403, 0.23635307781649245, 0.281068524970964, 0.13588850174216027, 0.17015098722415795]"
25,"[0.5528455284552846, 0.3077816492450639, 0.2346109175377468, 0.2845528455284553, 0.13530778164924506, 0.17073170731707318]"
26,"[0.5650406504065041, 0.313588850174216, 0.23751451800232287, 0.2857142857142857, 0.13530778164924506, 0.1718931475029036]"
27,"[0.573170731707317, 0.3159117305458769, 0.2421602787456446, 0.2886178861788618, 0.13704994192799072, 0.1713124274099884]"
28,"[0.573170731707317, 0.3205574912891986, 0.24099883855981416, 0.289198606271777, 0.13704994192799072, 0.16840882694541232]"
29,"[0.5975609756097561, 0.3281068524970964, 0.2421602787456446, 0.29036004645760743, 0.13588850174216027, 0.16550522648083624]"
30,"[0.6138211382113821, 0.3321718931475029, 0.2450638792102207, 0.2874564459930314, 0.13530778164924506, 0.16144018583042974]"
31,"[0.6300813008130082, 0.33855981416957026, 0.2502903600464576, 0.2874564459930314, 0.13995354239256677, 0.156794425087108]"
32,"[0.6463414634146342, 0.34727061556329847, 0.2502903600464576, 0.2862950058072009, 0.13879210220673635, 0.148664343786295]"
33,"[0.6666666666666666, 0.34959349593495936, 0.2502903600464576, 0.2874564459930314, 0.13763066202090593, 0.14518002322880372]"
34,"[0.6869918699186992, 0.35830429732868757, 0.2502903600464576, 0.28281068524970965, 0.13821138211382114, 0.140534262485482]"
35,"[0.7073170731707317, 0.3670150987224158, 0.25203252032520324, 0.2770034843205575, 0.13472706155632985, 0.13414634146341464]"
36,"[0.7195121951219512, 0.3704994192799071, 0.251451800232288, 0.2735191637630662, 0.13995354239256677, 0.13124274099883856]"
37,"[0.7276422764227642, 0.3780487804878049, 0.25261324041811845, 0.2706155632984901, 0.14169570267131243, 0.12717770034843207]"
38,"[0.7560975609756098, 0.3797909407665505, 0.251451800232288, 0.2677119628339141, 0.14343786295005806, 0.12253193960511034]"
39,"[0.7845528455284553, 0.3821138211382114, 0.25203252032520324, 0.26713124274099886, 0.1445993031358885, 0.12020905923344948]"
40,"[0.7926829268292683, 0.38443670150987225, 0.251451800232288, 0.2665505226480836, 0.1480836236933798, 0.11846689895470383]"
41,"[0.8008130081300813, 0.3873403019744483, 0.24854819976771197, 0.2665505226480836, 0.148664343786295, 0.1173054587688734]"
42,"[0.8130081300813008, 0.389082462253194, 0.24912891986062718, 0.26364692218350755, 0.148664343786295, 0.11556329849012775]"
43,"[0.8252032520325203, 0.3885017421602787, 0.2502903600464576, 0.2619047619047619, 0.148664343786295, 0.11498257839721254]"
44,"[0.8252032520325203, 0.3896631823461092, 0.251451800232288, 0.2613240418118467, 0.148664343786295, 0.1132404181184669]"
45,"[0.8292682926829268, 0.3908246225319396, 0.25203252032520324, 0.2607433217189315, 0.148664343786295, 0.11207897793263646]"
46,"[0.8414634146341463, 0.3943089430894309, 0.25261324041811845, 0.2590011614401858, 0.1480836236933798, 0.1132404181184669]"
47,"[0.8414634146341463, 0.39605110336817656, 0.2508710801393728, 0.2584204413472706, 0.14750290360046459, 0.11207897793263646]"
48,"[0.8495934959349594, 0.39663182346109177, 0.2502903600464576, 0.2572590011614402, 0.1480836236933798, 0.11091753774680604]"
49,"[0.8536585365853658, 0.397212543554007, 0.25203252032520324, 0.25609756097560976, 0.1480836236933798, 0.11091753774680604]"
50,"[0.8536585365853658, 0.3977932636469222, 0.2508710801393728, 0.25551684088269455, 0.1480836236933798, 0.11033681765389082]"
51,"[0.8536585365853658, 0.3983739837398374, 0.251451800232288, 0.25551684088269455, 0.1480836236933798, 0.11033681765389082]"
