,acc
0,"[0.08130081300813008, 0.13588850174216027, 0.0429732868757259, 0.06097560975609756, 0.1207897793263647, 0.09988385598141696]"
1,"[0.12195121951219512, 0.15737514518002324, 0.04994192799070848, 0.07142857142857142, 0.13472706155632985, 0.11440185830429733]"
2,"[0.14227642276422764, 0.17421602787456447, 0.05981416957026713, 0.08246225319396051, 0.14692218350754935, 0.12369337979094076]"
3,"[0.15853658536585366, 0.18815331010452963, 0.07259001161440186, 0.09523809523809523, 0.15389082462253195, 0.13356562137049943]"
4,"[0.1910569105691057, 0.1997677119628339, 0.08478513356562137, 0.10975609756097561, 0.16608594657375145, 0.15563298490127758]"
5,"[0.21544715447154472, 0.2148664343786295, 0.09639953542392567, 0.12427409988385599, 0.1759581881533101, 0.16608594657375145]"
6,"[0.24796747967479674, 0.23228803716608595, 0.11265969802555169, 0.13066202090592335, 0.18292682926829268, 0.1806039488966318]"
7,"[0.25609756097560976, 0.23635307781649245, 0.1248548199767712, 0.14227642276422764, 0.17363530778164923, 0.19802555168408828]"
8,"[0.2682926829268293, 0.24041811846689895, 0.13879210220673635, 0.14518002322880372, 0.17479674796747968, 0.21196283391405343]"
9,"[0.2601626016260163, 0.24099883855981416, 0.14576074332171893, 0.1445993031358885, 0.17421602787456447, 0.21951219512195122]"
10,"[0.2764227642276423, 0.24796747967479674, 0.15737514518002324, 0.14576074332171893, 0.1672473867595819, 0.22009291521486643]"
11,"[0.3170731707317073, 0.2584204413472706, 0.16608594657375145, 0.14982578397212543, 0.16202090592334495, 0.21951219512195122]"
12,"[0.32926829268292684, 0.25261324041811845, 0.17015098722415795, 0.1527293844367015, 0.15563298490127758, 0.21080139372822299]"
13,"[0.34959349593495936, 0.25551684088269455, 0.17073170731707318, 0.15331010452961671, 0.1480836236933798, 0.20209059233449478]"
14,"[0.36585365853658536, 0.2601626016260163, 0.17711962833914052, 0.15853658536585366, 0.1445993031358885, 0.19686411149825783]"
15,"[0.3821138211382114, 0.26248548199767713, 0.1835075493612079, 0.16492450638792103, 0.14343786295005806, 0.19396051103368175]"
16,"[0.4065040650406504, 0.2613240418118467, 0.18641114982578397, 0.16898954703832753, 0.14285714285714285, 0.18118466898954705]"
17,"[0.4186991869918699, 0.27409988385598144, 0.19279907084785133, 0.17479674796747968, 0.140534262485482, 0.17828106852497097]"
18,"[0.4268292682926829, 0.27119628339140534, 0.1951219512195122, 0.18176538908246226, 0.140534262485482, 0.17828106852497097]"
19,"[0.44715447154471544, 0.28164924506387923, 0.1910569105691057, 0.18524970963995355, 0.14343786295005806, 0.17479674796747968]"
20,"[0.44715447154471544, 0.27990708478513354, 0.1916376306620209, 0.18292682926829268, 0.140534262485482, 0.16957026713124274]"
