,acc
0,"[0.2032520325203252, 0.16260162601626016, 0.13472706155632985, 0.19802555168408828, 0.17479674796747968, 0.14227642276422764]"
1,"[0.21951219512195122, 0.17073170731707318, 0.1440185830429733, 0.20209059233449478, 0.18118466898954705, 0.14576074332171893]"
2,"[0.23228803716608595, 0.17073170731707318, 0.14750290360046459, 0.20615563298490128, 0.18234610917537747, 0.1445993031358885]"
3,"[0.23286875725900116, 0.17479674796747968, 0.15389082462253195, 0.20615563298490128, 0.18466898954703834, 0.14518002322880372]"
4,"[0.22473867595818817, 0.1951219512195122, 0.1678281068524971, 0.2067363530778165, 0.18234610917537747, 0.14634146341463414]"
5,"[0.2229965156794425, 0.21138211382113822, 0.1794425087108014, 0.19802555168408828, 0.1753774680603949, 0.14982578397212543]"
6,"[0.21312427409988385, 0.23170731707317074, 0.19047619047619047, 0.19279907084785133, 0.17305458768873402, 0.15911730545876887]"
7,"[0.21718931475029035, 0.25203252032520324, 0.19047619047619047, 0.18873403019744484, 0.1713124274099884, 0.156794425087108]"
8,"[0.2073170731707317, 0.25203252032520324, 0.1951219512195122, 0.18466898954703834, 0.16957026713124274, 0.16085946573751453]"
9,"[0.2038327526132404, 0.2682926829268293, 0.19628339140534262, 0.1800232288037166, 0.16202090592334495, 0.15795586527293845]"
10,"[0.19396051103368175, 0.27235772357723576, 0.20209059233449478, 0.17886178861788618, 0.16144018583042974, 0.1602787456445993]"
11,"[0.19047619047619047, 0.2886178861788618, 0.20847851335656215, 0.17711962833914052, 0.15911730545876887, 0.16608594657375145]"
12,"[0.18931475029036005, 0.2926829268292683, 0.21254355400696864, 0.1765389082462253, 0.15911730545876887, 0.16666666666666666]"
13,"[0.18757259001161442, 0.2926829268292683, 0.21544715447154472, 0.17363530778164923, 0.1562137049941928, 0.16260162601626016]"
14,"[0.18873403019744484, 0.3048780487804878, 0.2224157955865273, 0.17015098722415795, 0.15389082462253195, 0.1602787456445993]"
15,"[0.18524970963995355, 0.3130081300813008, 0.2264808362369338, 0.17015098722415795, 0.15447154471544716, 0.15911730545876887]"
16,"[0.18815331010452963, 0.32926829268292684, 0.22822299651567945, 0.16898954703832753, 0.15156794425087108, 0.15795586527293845]"
17,"[0.18815331010452963, 0.34146341463414637, 0.22531939605110338, 0.17015098722415795, 0.15040650406504066, 0.15505226480836237]"
18,"[0.18524970963995355, 0.35365853658536583, 0.22880371660859466, 0.1713124274099884, 0.15040650406504066, 0.156794425087108]"
19,"[0.18466898954703834, 0.3780487804878049, 0.22996515679442509, 0.17479674796747968, 0.14982578397212543, 0.1562137049941928]"
20,"[0.18641114982578397, 0.3983739837398374, 0.23228803716608595, 0.17770034843205576, 0.148664343786295, 0.15853658536585366]"
21,"[0.18757259001161442, 0.4186991869918699, 0.23809523809523808, 0.18524970963995355, 0.15389082462253195, 0.1562137049941928]"
22,"[0.18176538908246226, 0.45121951219512196, 0.23344947735191637, 0.1910569105691057, 0.16318234610917537, 0.15331010452961671]"
23,"[0.1840882694541231, 0.4878048780487805, 0.23983739837398374, 0.20092915214866433, 0.1718931475029036, 0.15098722415795587]"
24,"[0.18292682926829268, 0.5121951219512195, 0.2415795586527294, 0.2073170731707317, 0.18176538908246226, 0.15040650406504066]"
25,"[0.18292682926829268, 0.5447154471544715, 0.24796747967479674, 0.20847851335656215, 0.19221835075493612, 0.1521486643437863]"
26,"[0.18118466898954705, 0.5609756097560976, 0.25319396051103366, 0.21370499419279906, 0.19628339140534262, 0.1521486643437863]"
27,"[0.1800232288037166, 0.5772357723577236, 0.25667828106852497, 0.21660859465737514, 0.20034843205574912, 0.14924506387921022]"
28,"[0.18466898954703834, 0.5894308943089431, 0.2584204413472706, 0.21951219512195122, 0.20034843205574912, 0.148664343786295]"
29,"[0.18989547038327526, 0.6056910569105691, 0.26364692218350755, 0.22009291521486643, 0.20092915214866433, 0.1521486643437863]"
30,"[0.18931475029036005, 0.6178861788617886, 0.26713124274099886, 0.2229965156794425, 0.20150987224157957, 0.15098722415795587]"
31,"[0.19047619047619047, 0.6382113821138211, 0.2700348432055749, 0.2224157955865273, 0.20034843205574912, 0.14982578397212543]"
32,"[0.18989547038327526, 0.6422764227642277, 0.27409988385598144, 0.22415795586527293, 0.1991869918699187, 0.15156794425087108]"
33,"[0.19047619047619047, 0.6544715447154471, 0.27584204413472707, 0.22473867595818817, 0.20209059233449478, 0.15389082462253195]"
34,"[0.1910569105691057, 0.6666666666666666, 0.27932636469221833, 0.2264808362369338, 0.20209059233449478, 0.156794425087108]"
35,"[0.1916376306620209, 0.6829268292682927, 0.28281068524970965, 0.23170731707317074, 0.20499419279907086, 0.156794425087108]"
36,"[0.19744483159117304, 0.6829268292682927, 0.2845528455284553, 0.2346109175377468, 0.2032520325203252, 0.15969802555168408]"
37,"[0.1957026713124274, 0.6951219512195121, 0.2862950058072009, 0.23983739837398374, 0.2038327526132404, 0.16144018583042974]"
38,"[0.19628339140534262, 0.7073170731707317, 0.2880371660859466, 0.24390243902439024, 0.2032520325203252, 0.16434378629500582]"
39,"[0.1951219512195122, 0.7195121951219512, 0.289198606271777, 0.24738675958188153, 0.2032520325203252, 0.16608594657375145]"
40,"[0.19337979094076654, 0.7317073170731707, 0.2955865272938444, 0.2508710801393728, 0.20267131242741, 0.16608594657375145]"
41,"[0.18873403019744484, 0.7398373983739838, 0.2955865272938444, 0.25609756097560976, 0.20267131242741, 0.17015098722415795]"
42,"[0.18118466898954705, 0.7520325203252033, 0.29849012775842043, 0.2590011614401858, 0.20441347270615565, 0.17247386759581881]"
43,"[0.17886178861788618, 0.7520325203252033, 0.29965156794425085, 0.2613240418118467, 0.20615563298490128, 0.17247386759581881]"
44,"[0.17711962833914052, 0.7642276422764228, 0.3008130081300813, 0.26306620209059234, 0.20789779326364694, 0.17363530778164923]"
45,"[0.1718931475029036, 0.7682926829268293, 0.30255516840882696, 0.2619047619047619, 0.20963995354239257, 0.17305458768873402]"
46,"[0.17015098722415795, 0.7682926829268293, 0.3048780487804878, 0.2607433217189315, 0.20847851335656215, 0.17421602787456447]"
47,"[0.16202090592334495, 0.7723577235772358, 0.3060394889663182, 0.2613240418118467, 0.20847851335656215, 0.17479674796747968]"
48,"[0.16144018583042974, 0.7764227642276422, 0.305458768873403, 0.2607433217189315, 0.20905923344947736, 0.17305458768873402]"
49,"[0.15737514518002324, 0.7886178861788617, 0.31010452961672474, 0.2590011614401858, 0.20905923344947736, 0.1713124274099884]"
50,"[0.15563298490127758, 0.7926829268292683, 0.3124274099883856, 0.2601626016260163, 0.21022067363530778, 0.17363530778164923]"
51,"[0.14982578397212543, 0.8008130081300813, 0.3164924506387921, 0.2590011614401858, 0.21196283391405343, 0.17479674796747968]"
52,"[0.14518002322880372, 0.8130081300813008, 0.31881533101045295, 0.2578397212543554, 0.21196283391405343, 0.17363530778164923]"
53,"[0.14227642276422764, 0.8292682926829268, 0.32171893147502906, 0.2572590011614402, 0.21254355400696864, 0.17247386759581881]"
54,"[0.13763066202090593, 0.8373983739837398, 0.32926829268292684, 0.25319396051103366, 0.21254355400696864, 0.17073170731707318]"
