,acc
0,"[0.0975609756097561, 0.3252032520325203, 0.28397212543554007, 0.14285714285714285, 0.16608594657375145, 0.25261324041811845]"
1,"[0.0975609756097561, 0.3252032520325203, 0.26306620209059234, 0.12137049941927991, 0.1678281068524971, 0.21312427409988385]"
2,"[0.0975609756097561, 0.3252032520325203, 0.2607433217189315, 0.12137049941927991, 0.18583042973286876, 0.17073170731707318]"
3,"[0.0975609756097561, 0.3252032520325203, 0.24099883855981416, 0.14169570267131243, 0.18815331010452963, 0.1678281068524971]"
4,"[0.13763066202090593, 0.3252032520325203, 0.21718931475029035, 0.14227642276422764, 0.18815331010452963, 0.1672473867595819]"
5,"[0.1840882694541231, 0.3252032520325203, 0.21660859465737514, 0.16260162601626016, 0.18873403019744484, 0.16666666666666666]"
6,"[0.18466898954703834, 0.3252032520325203, 0.19686411149825783, 0.14750290360046459, 0.20963995354239257, 0.16666666666666666]"
7,"[0.18524970963995355, 0.17886178861788618, 0.17421602787456447, 0.16318234610917537, 0.21080139372822299, 0.16666666666666666]"
8,"[0.18524970963995355, 0.17479674796747968, 0.1521486643437863, 0.18466898954703834, 0.21138211382113822, 0.16666666666666666]"
9,"[0.18699186991869918, 0.17479674796747968, 0.15098722415795587, 0.18699186991869918, 0.21138211382113822, 0.16666666666666666]"
10,"[0.18699186991869918, 0.17479674796747968, 0.13066202090592335, 0.18757259001161442, 0.19279907084785133, 0.14692218350754935]"
11,"[0.18699186991869918, 0.17073170731707318, 0.1289198606271777, 0.20499419279907086, 0.1910569105691057, 0.14634146341463414]"
12,"[0.18699186991869918, 0.17073170731707318, 0.12601626016260162, 0.2073170731707317, 0.19047619047619047, 0.12601626016260162]"
13,"[0.18699186991869918, 0.17073170731707318, 0.1254355400696864, 0.20905923344947736, 0.17073170731707318, 0.12427409988385599]"
14,"[0.18699186991869918, 0.16666666666666666, 0.1445993031358885, 0.20905923344947736, 0.17015098722415795, 0.12427409988385599]"
15,"[0.18699186991869918, 0.16666666666666666, 0.12717770034843207, 0.20963995354239257, 0.16898954703832753, 0.12369337979094076]"
16,"[0.18699186991869918, 0.16666666666666666, 0.12601626016260162, 0.20963995354239257, 0.16898954703832753, 0.12369337979094076]"
17,"[0.18699186991869918, 0.17073170731707318, 0.12659698025551683, 0.20963995354239257, 0.18699186991869918, 0.12369337979094076]"
18,"[0.18699186991869918, 0.17479674796747968, 0.12659698025551683, 0.21080139372822299, 0.18815331010452963, 0.12427409988385599]"
19,"[0.18699186991869918, 0.17479674796747968, 0.12601626016260162, 0.21080139372822299, 0.18873403019744484, 0.12427409988385599]"
20,"[0.18699186991869918, 0.17479674796747968, 0.12659698025551683, 0.21080139372822299, 0.18873403019744484, 0.12427409988385599]"
21,"[0.18699186991869918, 0.17479674796747968, 0.12775842044134728, 0.21080139372822299, 0.18873403019744484, 0.12427409988385599]"
22,"[0.18699186991869918, 0.17886178861788618, 0.12775842044134728, 0.21080139372822299, 0.18873403019744484, 0.12427409988385599]"
