,acc
0,"[0.21138211382113822, 0.13240418118466898, 0.18699186991869918, 0.16144018583042974, 0.13937282229965156, 0.1132404181184669]"
1,"[0.21951219512195122, 0.14285714285714285, 0.19396051103368175, 0.18118466898954705, 0.14285714285714285, 0.12253193960511034]"
2,"[0.24390243902439024, 0.15563298490127758, 0.19744483159117304, 0.20615563298490128, 0.14227642276422764, 0.1329849012775842]"
3,"[0.2682926829268293, 0.16957026713124274, 0.20209059233449478, 0.2229965156794425, 0.13879210220673635, 0.1445993031358885]"
4,"[0.2601626016260163, 0.18699186991869918, 0.20905923344947736, 0.23983739837398374, 0.12659698025551683, 0.1527293844367015]"
5,"[0.27235772357723576, 0.1986062717770035, 0.21080139372822299, 0.2572590011614402, 0.11440185830429733, 0.15853658536585366]"
6,"[0.2764227642276423, 0.20615563298490128, 0.21196283391405343, 0.27293844367015097, 0.1173054587688734, 0.16202090592334495]"
7,"[0.2804878048780488, 0.20441347270615565, 0.20847851335656215, 0.27990708478513354, 0.11846689895470383, 0.1678281068524971]"
8,"[0.27235772357723576, 0.20441347270615565, 0.21428571428571427, 0.2845528455284553, 0.11788617886178862, 0.16550522648083624]"
9,"[0.27235772357723576, 0.2032520325203252, 0.21196283391405343, 0.2857142857142857, 0.11904761904761904, 0.1672473867595819]"
10,"[0.2682926829268293, 0.20615563298490128, 0.21254355400696864, 0.289198606271777, 0.11788617886178862, 0.16666666666666666]"
11,"[0.27235772357723576, 0.20963995354239257, 0.21602787456445993, 0.2926829268292683, 0.11904761904761904, 0.1672473867595819]"
12,"[0.2804878048780488, 0.21022067363530778, 0.21660859465737514, 0.29442508710801396, 0.11846689895470383, 0.17073170731707318]"
13,"[0.2926829268292683, 0.21196283391405343, 0.21544715447154472, 0.2979094076655052, 0.12020905923344948, 0.17305458768873402]"
14,"[0.2967479674796748, 0.21777003484320556, 0.21544715447154472, 0.29965156794425085, 0.1207897793263647, 0.17421602787456447]"
15,"[0.3130081300813008, 0.2224157955865273, 0.21660859465737514, 0.3008130081300813, 0.12020905923344948, 0.17363530778164923]"
16,"[0.3252032520325203, 0.22996515679442509, 0.2183507549361208, 0.29965156794425085, 0.11904761904761904, 0.1753774680603949]"
