,acc
50,"[0.1997677119628339, 0.16666666666666666, 0.16492450638792103, 0.22880371660859466, 0.1765389082462253, 0.2073170731707317]"
51,"[0.19221835075493612, 0.17479674796747968, 0.16318234610917537, 0.21312427409988385, 0.18873403019744484, 0.20615563298490128]"
52,"[0.19047619047619047, 0.16666666666666666, 0.16492450638792103, 0.21312427409988385, 0.18873403019744484, 0.17886178861788618]"
53,"[0.19047619047619047, 0.16666666666666666, 0.16666666666666666, 0.21312427409988385, 0.18873403019744484, 0.12137049941927991]"
54,"[0.19047619047619047, 0.16666666666666666, 0.17770034843205576, 0.21312427409988385, 0.18989547038327526, 0.12137049941927991]"
55,"[0.19047619047619047, 0.16666666666666666, 0.14924506387921022, 0.21370499419279906, 0.19047619047619047, 0.12137049941927991]"
56,"[0.19047619047619047, 0.16666666666666666, 0.13588850174216027, 0.21370499419279906, 0.19047619047619047, 0.12137049941927991]"
57,"[0.19047619047619047, 0.16666666666666666, 0.14518002322880372, 0.2148664343786295, 0.19047619047619047, 0.12137049941927991]"
58,"[0.19047619047619047, 0.16666666666666666, 0.14924506387921022, 0.21428571428571427, 0.19047619047619047, 0.12137049941927991]"
59,"[0.19047619047619047, 0.16666666666666666, 0.16550522648083624, 0.21370499419279906, 0.18989547038327526, 0.12137049941927991]"
60,"[0.19047619047619047, 0.16666666666666666, 0.17421602787456447, 0.21370499419279906, 0.19047619047619047, 0.11904761904761904]"
61,"[0.19047619047619047, 0.16666666666666666, 0.16376306620209058, 0.21370499419279906, 0.18873403019744484, 0.11846689895470383]"
62,"[0.19047619047619047, 0.16666666666666666, 0.16608594657375145, 0.21312427409988385, 0.18873403019744484, 0.14634146341463414]"
63,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.21312427409988385, 0.18873403019744484, 0.18931475029036005]"
64,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.21312427409988385, 0.18873403019744484, 0.20789779326364694]"
65,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.21312427409988385, 0.18873403019744484, 0.20905923344947736]"
66,"[0.19047619047619047, 0.18699186991869918, 0.16434378629500582, 0.21312427409988385, 0.18873403019744484, 0.20963995354239257]"
67,"[0.19221835075493612, 0.1910569105691057, 0.16434378629500582, 0.21370499419279906, 0.18873403019744484, 0.20963995354239257]"
68,"[0.19221835075493612, 0.16666666666666666, 0.16434378629500582, 0.21196283391405343, 0.17363530778164923, 0.20963995354239257]"
69,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.22764227642276422, 0.13879210220673635, 0.20963995354239257]"
70,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.21370499419279906, 0.1207897793263647, 0.20963995354239257]"
71,"[0.27293844367015097, 0.16666666666666666, 0.16434378629500582, 0.19279907084785133, 0.12311265969802555, 0.20963995354239257]"
72,"[0.23635307781649245, 0.16666666666666666, 0.16434378629500582, 0.17073170731707318, 0.12253193960511034, 0.20963995354239257]"
73,"[0.21777003484320556, 0.16666666666666666, 0.16434378629500582, 0.17015098722415795, 0.12253193960511034, 0.20963995354239257]"
74,"[0.21544715447154472, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
75,"[0.20209059233449478, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
76,"[0.1916376306620209, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
77,"[0.1910569105691057, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
78,"[0.1910569105691057, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
79,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
80,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
81,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
82,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
83,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
84,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
85,"[0.1910569105691057, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
86,"[0.1910569105691057, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
87,"[0.1916376306620209, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
88,"[0.21370499419279906, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
89,"[0.227061556329849, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
90,"[0.21138211382113822, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
91,"[0.2590011614401858, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
92,"[0.23867595818815332, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
93,"[0.2694541231126597, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
94,"[0.19047619047619047, 0.16666666666666666, 0.16434378629500582, 0.16898954703832753, 0.12253193960511034, 0.20963995354239257]"
