,acc
49,"[0.6788617886178862, 0.37572590011614404, 0.24854819976771197, 0.227061556329849, 0.1480836236933798, 0.12311265969802555]"
50,"[0.6869918699186992, 0.3786295005807201, 0.24680603948896632, 0.22415795586527293, 0.14750290360046459, 0.12369337979094076]"
51,"[0.6869918699186992, 0.3780487804878049, 0.2450638792102207, 0.22415795586527293, 0.1480836236933798, 0.12369337979094076]"
52,"[0.7032520325203252, 0.3797909407665505, 0.2462253193960511, 0.227061556329849, 0.148664343786295, 0.12253193960511034]"
53,"[0.7195121951219512, 0.38559814169570267, 0.24796747967479674, 0.22764227642276422, 0.14692218350754935, 0.12253193960511034]"
54,"[0.7195121951219512, 0.38501742160278746, 0.24854819976771197, 0.22764227642276422, 0.14692218350754935, 0.12020905923344948]"
55,"[0.7235772357723578, 0.3867595818815331, 0.24912891986062718, 0.22822299651567945, 0.14634146341463414, 0.12020905923344948]"
56,"[0.7276422764227642, 0.3867595818815331, 0.2508710801393728, 0.22996515679442509, 0.14750290360046459, 0.1207897793263647]"
57,"[0.7276422764227642, 0.3861788617886179, 0.25203252032520324, 0.22996515679442509, 0.14750290360046459, 0.12253193960511034]"
58,"[0.7276422764227642, 0.38559814169570267, 0.251451800232288, 0.22996515679442509, 0.1480836236933798, 0.12311265969802555]"
59,"[0.7317073170731707, 0.3873403019744483, 0.25261324041811845, 0.23228803716608595, 0.1480836236933798, 0.12311265969802555]"
60,"[0.7439024390243902, 0.3879210220673635, 0.25203252032520324, 0.2346109175377468, 0.14692218350754935, 0.12427409988385599]"
61,"[0.7479674796747967, 0.3873403019744483, 0.25493612078977934, 0.23577235772357724, 0.14576074332171893, 0.12311265969802555]"
62,"[0.7520325203252033, 0.3902439024390244, 0.25493612078977934, 0.23635307781649245, 0.1445993031358885, 0.12195121951219512]"
63,"[0.7601626016260162, 0.3908246225319396, 0.25493612078977934, 0.23577235772357724, 0.14343786295005806, 0.12020905923344948]"
64,"[0.7682926829268293, 0.39314750290360045, 0.25435540069686413, 0.23519163763066203, 0.1440185830429733, 0.12137049941927991]"
65,"[0.7804878048780488, 0.39314750290360045, 0.25667828106852497, 0.23635307781649245, 0.14343786295005806, 0.1207897793263647]"
66,"[0.7845528455284553, 0.3943089430894309, 0.25667828106852497, 0.23693379790940766, 0.14343786295005806, 0.11962833914053426]"
67,"[0.7926829268292683, 0.39605110336817656, 0.25435540069686413, 0.23809523809523808, 0.14343786295005806, 0.11904761904761904]"
68,"[0.7926829268292683, 0.397212543554007, 0.25609756097560976, 0.24041811846689895, 0.14343786295005806, 0.11962833914053426]"
69,"[0.7926829268292683, 0.39605110336817656, 0.2584204413472706, 0.24099883855981416, 0.14227642276422764, 0.11962833914053426]"
70,"[0.7967479674796748, 0.39663182346109177, 0.259581881533101, 0.24390243902439024, 0.14227642276422764, 0.11846689895470383]"
71,"[0.7967479674796748, 0.3989547038327526, 0.259581881533101, 0.24448315911730545, 0.14285714285714285, 0.11846689895470383]"
72,"[0.8008130081300813, 0.397212543554007, 0.2578397212543554, 0.24680603948896632, 0.14285714285714285, 0.1173054587688734]"
73,"[0.8008130081300813, 0.3977932636469222, 0.2584204413472706, 0.24680603948896632, 0.1440185830429733, 0.11788617886178862]"
74,"[0.8048780487804879, 0.3995354239256678, 0.2601626016260163, 0.24738675958188153, 0.14343786295005806, 0.11846689895470383]"
75,"[0.8170731707317073, 0.40069686411149824, 0.2601626016260163, 0.2502903600464576, 0.14285714285714285, 0.11962833914053426]"
76,"[0.8170731707317073, 0.4024390243902439, 0.2613240418118467, 0.24912891986062718, 0.14285714285714285, 0.12020905923344948]"
77,"[0.8211382113821138, 0.40301974448315914, 0.2601626016260163, 0.2508710801393728, 0.14285714285714285, 0.1207897793263647]"
78,"[0.8252032520325203, 0.40301974448315914, 0.2601626016260163, 0.251451800232288, 0.14227642276422764, 0.1207897793263647]"
79,"[0.8252032520325203, 0.40418118466898956, 0.2607433217189315, 0.25203252032520324, 0.14227642276422764, 0.12137049941927991]"
80,"[0.8252032520325203, 0.40418118466898956, 0.2607433217189315, 0.25493612078977934, 0.14227642276422764, 0.12253193960511034]"
81,"[0.8333333333333334, 0.40418118466898956, 0.2607433217189315, 0.25609756097560976, 0.14227642276422764, 0.12253193960511034]"
82,"[0.8333333333333334, 0.40418118466898956, 0.2607433217189315, 0.25551684088269455, 0.14227642276422764, 0.12311265969802555]"
83,"[0.8333333333333334, 0.40476190476190477, 0.26248548199767713, 0.25551684088269455, 0.14169570267131243, 0.1207897793263647]"
84,"[0.8333333333333334, 0.40418118466898956, 0.26248548199767713, 0.25609756097560976, 0.14227642276422764, 0.12020905923344948]"
85,"[0.8333333333333334, 0.40360046457607435, 0.26248548199767713, 0.2584204413472706, 0.14227642276422764, 0.1207897793263647]"
86,"[0.8333333333333334, 0.40418118466898956, 0.2619047619047619, 0.2590011614401858, 0.14285714285714285, 0.11904761904761904]"
87,"[0.8333333333333334, 0.40476190476190477, 0.2613240418118467, 0.2601626016260163, 0.14285714285714285, 0.11962833914053426]"
88,"[0.8333333333333334, 0.40476190476190477, 0.2607433217189315, 0.259581881533101, 0.14285714285714285, 0.11962833914053426]"
89,"[0.8333333333333334, 0.40476190476190477, 0.2607433217189315, 0.259581881533101, 0.1440185830429733, 0.11962833914053426]"
90,"[0.8333333333333334, 0.40534262485482, 0.2607433217189315, 0.259581881533101, 0.1445993031358885, 0.11962833914053426]"
91,"[0.8333333333333334, 0.40534262485482, 0.2601626016260163, 0.2601626016260163, 0.1445993031358885, 0.11962833914053426]"
92,"[0.8333333333333334, 0.4059233449477352, 0.2601626016260163, 0.2601626016260163, 0.1445993031358885, 0.11904761904761904]"
