,acc
49,"[0.1835075493612079, 0.16666666666666666, 0.1329849012775842, 0.2038327526132404, 0.18524970963995355, 0.12775842044134728]"
50,"[0.1835075493612079, 0.16666666666666666, 0.1329849012775842, 0.2038327526132404, 0.18524970963995355, 0.12775842044134728]"
51,"[0.1835075493612079, 0.16666666666666666, 0.1329849012775842, 0.2038327526132404, 0.18466898954703834, 0.12775842044134728]"
52,"[0.1835075493612079, 0.16666666666666666, 0.13763066202090593, 0.20092915214866433, 0.1835075493612079, 0.12775842044134728]"
53,"[0.18118466898954705, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
54,"[0.18234610917537747, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
55,"[0.18118466898954705, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
56,"[0.18118466898954705, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
57,"[0.18118466898954705, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
58,"[0.18118466898954705, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
59,"[0.18118466898954705, 0.15040650406504066, 0.13763066202090593, 0.1991869918699187, 0.1835075493612079, 0.16202090592334495]"
60,"[0.1835075493612079, 0.16666666666666666, 0.14227642276422764, 0.17073170731707318, 0.1835075493612079, 0.21660859465737514]"
61,"[0.1835075493612079, 0.16666666666666666, 0.1806039488966318, 0.15737514518002324, 0.1806039488966318, 0.21660859465737514]"
62,"[0.1835075493612079, 0.16666666666666666, 0.1806039488966318, 0.15737514518002324, 0.14924506387921022, 0.21660859465737514]"
63,"[0.1835075493612079, 0.16666666666666666, 0.1806039488966318, 0.15737514518002324, 0.11614401858304298, 0.21660859465737514]"
64,"[0.1835075493612079, 0.16666666666666666, 0.1806039488966318, 0.15737514518002324, 0.11788617886178862, 0.21660859465737514]"
65,"[0.1835075493612079, 0.16666666666666666, 0.1806039488966318, 0.15737514518002324, 0.11788617886178862, 0.21660859465737514]"
66,"[0.1835075493612079, 0.16666666666666666, 0.1806039488966318, 0.15737514518002324, 0.11846689895470383, 0.21660859465737514]"
67,"[0.1835075493612079, 0.16666666666666666, 0.1806039488966318, 0.15737514518002324, 0.11033681765389082, 0.21660859465737514]"
68,"[0.1835075493612079, 0.16666666666666666, 0.1806039488966318, 0.15737514518002324, 0.15098722415795587, 0.21660859465737514]"
69,"[0.1835075493612079, 0.16666666666666666, 0.18176538908246226, 0.15737514518002324, 0.1765389082462253, 0.21660859465737514]"
70,"[0.1835075493612079, 0.16666666666666666, 0.1445993031358885, 0.15737514518002324, 0.1835075493612079, 0.21660859465737514]"
71,"[0.1835075493612079, 0.16666666666666666, 0.13763066202090593, 0.18815331010452963, 0.1835075493612079, 0.21660859465737514]"
72,"[0.1835075493612079, 0.14227642276422764, 0.13763066202090593, 0.18757259001161442, 0.1835075493612079, 0.15737514518002324]"
73,"[0.1835075493612079, 0.16666666666666666, 0.13763066202090593, 0.1991869918699187, 0.1835075493612079, 0.1295005807200929]"
74,"[0.1835075493612079, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
75,"[0.1835075493612079, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
76,"[0.1835075493612079, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
77,"[0.1835075493612079, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
78,"[0.18466898954703834, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
79,"[0.18583042973286876, 0.16666666666666666, 0.13763066202090593, 0.20034843205574912, 0.1835075493612079, 0.13066202090592335]"
80,"[0.18583042973286876, 0.16666666666666666, 0.13763066202090593, 0.1997677119628339, 0.1835075493612079, 0.13066202090592335]"
81,"[0.18583042973286876, 0.16666666666666666, 0.13763066202090593, 0.2032520325203252, 0.1835075493612079, 0.13066202090592335]"
82,"[0.18583042973286876, 0.16666666666666666, 0.13763066202090593, 0.2038327526132404, 0.1835075493612079, 0.13124274099883856]"
83,"[0.18583042973286876, 0.16666666666666666, 0.13763066202090593, 0.2038327526132404, 0.1835075493612079, 0.13182346109175377]"
84,"[0.18583042973286876, 0.16666666666666666, 0.13763066202090593, 0.2038327526132404, 0.1835075493612079, 0.13124274099883856]"
85,"[0.18583042973286876, 0.16666666666666666, 0.16376306620209058, 0.2038327526132404, 0.1835075493612079, 0.13066202090592335]"
86,"[0.18583042973286876, 0.16666666666666666, 0.2259001161440186, 0.2038327526132404, 0.1835075493612079, 0.13066202090592335]"
87,"[0.18583042973286876, 0.16666666666666666, 0.31010452961672474, 0.2038327526132404, 0.1835075493612079, 0.13066202090592335]"
88,"[0.18583042973286876, 0.16666666666666666, 0.30952380952380953, 0.2038327526132404, 0.18118466898954705, 0.13124274099883856]"
89,"[0.18583042973286876, 0.16666666666666666, 0.30952380952380953, 0.2038327526132404, 0.14111498257839722, 0.13182346109175377]"
90,"[0.18583042973286876, 0.16666666666666666, 0.30952380952380953, 0.2038327526132404, 0.13008130081300814, 0.1254355400696864]"
91,"[0.18583042973286876, 0.16666666666666666, 0.30952380952380953, 0.20267131242741, 0.1207897793263647, 0.1991869918699187]"
92,"[0.18583042973286876, 0.16666666666666666, 0.30952380952380953, 0.2038327526132404, 0.11904761904761904, 0.21022067363530778]"
93,"[0.18699186991869918, 0.16666666666666666, 0.30952380952380953, 0.20267131242741, 0.11904761904761904, 0.24274099883855982]"
94,"[0.18815331010452963, 0.21138211382113822, 0.30952380952380953, 0.20209059233449478, 0.11904761904761904, 0.23519163763066203]"
95,"[0.18815331010452963, 0.1910569105691057, 0.30952380952380953, 0.20789779326364694, 0.11904761904761904, 0.23403019744483158]"
96,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.1794425087108014, 0.11904761904761904, 0.23519163763066203]"
97,"[0.18815331010452963, 0.21138211382113822, 0.30952380952380953, 0.1521486643437863, 0.11904761904761904, 0.23693379790940766]"
98,"[0.18815331010452963, 0.17073170731707318, 0.30952380952380953, 0.13763066202090593, 0.11904761904761904, 0.23809523809523808]"
99,"[0.18815331010452963, 0.17479674796747968, 0.30952380952380953, 0.12601626016260162, 0.11904761904761904, 0.23867595818815332]"
100,"[0.18815331010452963, 0.17073170731707318, 0.30952380952380953, 0.11091753774680604, 0.11904761904761904, 0.23809523809523808]"
101,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.09698025551684088, 0.11904761904761904, 0.23867595818815332]"
102,"[0.18815331010452963, 0.16260162601626016, 0.30952380952380953, 0.09175377468060394, 0.11904761904761904, 0.23809523809523808]"
103,"[0.1916376306620209, 0.16260162601626016, 0.30952380952380953, 0.08362369337979095, 0.11904761904761904, 0.23809523809523808]"
104,"[0.1916376306620209, 0.16260162601626016, 0.30952380952380953, 0.08013937282229965, 0.11904761904761904, 0.23809523809523808]"
105,"[0.18931475029036005, 0.16260162601626016, 0.30952380952380953, 0.07955865272938444, 0.11904761904761904, 0.23809523809523808]"
106,"[0.18931475029036005, 0.16260162601626016, 0.30952380952380953, 0.07955865272938444, 0.11904761904761904, 0.23809523809523808]"
107,"[0.18931475029036005, 0.16260162601626016, 0.30952380952380953, 0.078397212543554, 0.11904761904761904, 0.23809523809523808]"
108,"[0.18989547038327526, 0.16666666666666666, 0.30952380952380953, 0.07781649245063879, 0.11904761904761904, 0.23809523809523808]"
109,"[0.18989547038327526, 0.16666666666666666, 0.30952380952380953, 0.07781649245063879, 0.11904761904761904, 0.23809523809523808]"
110,"[0.2032520325203252, 0.16666666666666666, 0.30952380952380953, 0.078397212543554, 0.11904761904761904, 0.23809523809523808]"
111,"[0.21138211382113822, 0.17073170731707318, 0.30952380952380953, 0.07781649245063879, 0.11904761904761904, 0.23809523809523808]"
112,"[0.21312427409988385, 0.17073170731707318, 0.30952380952380953, 0.078397212543554, 0.11904761904761904, 0.23809523809523808]"
113,"[0.21660859465737514, 0.17073170731707318, 0.30952380952380953, 0.07781649245063879, 0.11904761904761904, 0.23809523809523808]"
114,"[0.24041811846689895, 0.16666666666666666, 0.30952380952380953, 0.07781649245063879, 0.11904761904761904, 0.23809523809523808]"
115,"[0.23867595818815332, 0.16666666666666666, 0.30952380952380953, 0.07665505226480836, 0.11904761904761904, 0.23809523809523808]"
116,"[0.23809523809523808, 0.16666666666666666, 0.30952380952380953, 0.07549361207897794, 0.11904761904761904, 0.23809523809523808]"
117,"[0.23635307781649245, 0.16666666666666666, 0.30952380952380953, 0.07665505226480836, 0.11904761904761904, 0.23809523809523808]"
118,"[0.23635307781649245, 0.16260162601626016, 0.30952380952380953, 0.07665505226480836, 0.11904761904761904, 0.23867595818815332]"
119,"[0.23635307781649245, 0.16666666666666666, 0.30952380952380953, 0.07723577235772358, 0.11904761904761904, 0.23751451800232287]"
120,"[0.23809523809523808, 0.16666666666666666, 0.30952380952380953, 0.07723577235772358, 0.11904761904761904, 0.23693379790940766]"
121,"[0.24912891986062718, 0.16260162601626016, 0.30952380952380953, 0.07549361207897794, 0.11904761904761904, 0.23693379790940766]"
122,"[0.23983739837398374, 0.16666666666666666, 0.30952380952380953, 0.07665505226480836, 0.11904761904761904, 0.23751451800232287]"
