,acc
49,"[0.21022067363530778, 0.524390243902439, 0.2462253193960511, 0.20963995354239257, 0.25551684088269455, 0.21196283391405343]"
50,"[0.21138211382113822, 0.6666666666666666, 0.22996515679442509, 0.20963995354239257, 0.25609756097560976, 0.19221835075493612]"
51,"[0.21312427409988385, 0.6747967479674797, 0.2508710801393728, 0.20963995354239257, 0.23519163763066203, 0.1916376306620209]"
52,"[0.2346109175377468, 0.8211382113821138, 0.2502903600464576, 0.21022067363530778, 0.23403019744483158, 0.18931475029036005]"
53,"[0.23577235772357724, 0.8252032520325203, 0.2706155632984901, 0.21022067363530778, 0.23403019744483158, 0.18757259001161442]"
54,"[0.25551684088269455, 0.8252032520325203, 0.29036004645760743, 0.21022067363530778, 0.2346109175377468, 0.16840882694541232]"
55,"[0.25667828106852497, 0.8252032520325203, 0.2706155632984901, 0.21022067363530778, 0.23403019744483158, 0.15040650406504066]"
56,"[0.2961672473867596, 0.8252032520325203, 0.27235772357723576, 0.21138211382113822, 0.23519163763066203, 0.14750290360046459]"
57,"[0.2961672473867596, 0.8252032520325203, 0.29500580720092917, 0.1916376306620209, 0.23344947735191637, 0.14750290360046459]"
58,"[0.2961672473867596, 0.967479674796748, 0.3159117305458769, 0.19047619047619047, 0.251451800232288, 0.14576074332171893]"
59,"[0.2961672473867596, 0.983739837398374, 0.335075493612079, 0.1910569105691057, 0.23228803716608595, 0.14518002322880372]"
60,"[0.2961672473867596, 0.983739837398374, 0.35365853658536583, 0.1910569105691057, 0.23170731707317074, 0.14518002322880372]"
61,"[0.2961672473867596, 0.983739837398374, 0.3554006968641115, 0.1910569105691057, 0.23228803716608595, 0.1254355400696864]"
62,"[0.27584204413472707, 0.983739837398374, 0.3554006968641115, 0.1916376306620209, 0.2311265969802555, 0.1248548199767712]"
63,"[0.2961672473867596, 0.983739837398374, 0.33681765389082463, 0.19221835075493612, 0.21138211382113822, 0.1248548199767712]"
64,"[0.2938443670150987, 0.983739837398374, 0.3356562137049942, 0.19221835075493612, 0.21080139372822299, 0.1254355400696864]"
65,"[0.29500580720092917, 0.983739837398374, 0.3344947735191638, 0.19221835075493612, 0.21022067363530778, 0.14518002322880372]"
