,acc
0,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13124274099883856, 0.11033681765389082, 0.16666666666666666]"
1,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13124274099883856, 0.11033681765389082, 0.16666666666666666]"
2,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13182346109175377, 0.11033681765389082, 0.16666666666666666]"
3,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13182346109175377, 0.11091753774680604, 0.16666666666666666]"
4,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.1329849012775842, 0.11033681765389082, 0.16666666666666666]"
5,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13472706155632985, 0.11207897793263646, 0.16666666666666666]"
6,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13356562137049943, 0.11265969802555169, 0.16666666666666666]"
7,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13472706155632985, 0.11382113821138211, 0.16666666666666666]"
8,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13646922183507548, 0.11440185830429733, 0.16666666666666666]"
9,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13704994192799072, 0.1248548199767712, 0.16666666666666666]"
10,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.13879210220673635, 0.17363530778164923, 0.16666666666666666]"
11,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.15911730545876887, 0.19047619047619047, 0.16666666666666666]"
12,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.21370499419279906, 0.19047619047619047, 0.16666666666666666]"
13,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16666666666666666]"
14,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16666666666666666]"
15,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16666666666666666]"
16,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16666666666666666]"
17,"[0.11033681765389082, 0.16666666666666666, 0.26306620209059234, 0.21428571428571427, 0.19047619047619047, 0.22067363530778164]"
18,"[0.10336817653890824, 0.16666666666666666, 0.2770034843205575, 0.10278745644599303, 0.13472706155632985, 0.2259001161440186]"
19,"[0.10220673635307782, 0.16666666666666666, 0.28164924506387923, 0.09581881533101046, 0.13124274099883856, 0.22764227642276422]"
20,"[0.10220673635307782, 0.16666666666666666, 0.2862950058072009, 0.09233449477351917, 0.1295005807200929, 0.22938443670150988]"
21,"[0.10104529616724739, 0.16666666666666666, 0.2862950058072009, 0.09117305458768873, 0.12833914053426249, 0.22938443670150988]"
