,acc
0,"[0.12195121951219512, 0.32113821138211385, 0.18466898954703834, 0.14343786295005806, 0.15969802555168408, 0.10336817653890824]"
1,"[0.14169570267131243, 0.18699186991869918, 0.2073170731707317, 0.140534262485482, 0.1835075493612079, 0.11846689895470383]"
2,"[0.14227642276422764, 0.17886178861788618, 0.18757259001161442, 0.16260162601626016, 0.18641114982578397, 0.11904761904761904]"
3,"[0.18466898954703834, 0.17479674796747968, 0.16666666666666666, 0.22531939605110338, 0.18931475029036005, 0.11904761904761904]"
4,"[0.18641114982578397, 0.17073170731707318, 0.14576074332171893, 0.20847851335656215, 0.1672473867595819, 0.1794425087108014]"
5,"[0.18989547038327526, 0.17073170731707318, 0.1440185830429733, 0.18815331010452963, 0.1672473867595819, 0.2032520325203252]"
6,"[0.1916376306620209, 0.17073170731707318, 0.14518002322880372, 0.18757259001161442, 0.1672473867595819, 0.2038327526132404]"
7,"[0.1916376306620209, 0.17073170731707318, 0.14227642276422764, 0.1678281068524971, 0.1672473867595819, 0.18583042973286876]"
8,"[0.18815331010452963, 0.3170731707317073, 0.14227642276422764, 0.16840882694541232, 0.16666666666666666, 0.18641114982578397]"
9,"[0.18815331010452963, 0.32113821138211385, 0.14343786295005806, 0.16666666666666666, 0.14518002322880372, 0.16492450638792103]"
10,"[0.19221835075493612, 0.32926829268292684, 0.16666666666666666, 0.16666666666666666, 0.14634146341463414, 0.16434378629500582]"
11,"[0.22996515679442509, 0.3333333333333333, 0.18989547038327526, 0.16492450638792103, 0.16550522648083624, 0.16434378629500582]"
12,"[0.2311265969802555, 0.3333333333333333, 0.20847851335656215, 0.16492450638792103, 0.16550522648083624, 0.18524970963995355]"
13,"[0.22996515679442509, 0.32926829268292684, 0.21138211382113822, 0.16434378629500582, 0.16608594657375145, 0.18641114982578397]"
14,"[0.22996515679442509, 0.32926829268292684, 0.21196283391405343, 0.16550522648083624, 0.16550522648083624, 0.18641114982578397]"
15,"[0.2311265969802555, 0.32926829268292684, 0.23344947735191637, 0.1672473867595819, 0.16318234610917537, 0.16898954703832753]"
16,"[0.2311265969802555, 0.3333333333333333, 0.25435540069686413, 0.16550522648083624, 0.14227642276422764, 0.16608594657375145]"
17,"[0.23228803716608595, 0.3333333333333333, 0.25261324041811845, 0.1672473867595819, 0.12253193960511034, 0.14634146341463414]"
18,"[0.23228803716608595, 0.3333333333333333, 0.2148664343786295, 0.1672473867595819, 0.12253193960511034, 0.1445993031358885]"
19,"[0.23228803716608595, 0.3333333333333333, 0.23519163763066203, 0.16840882694541232, 0.12195121951219512, 0.12659698025551683]"
20,"[0.2311265969802555, 0.33739837398373984, 0.23519163763066203, 0.1678281068524971, 0.12195121951219512, 0.12601626016260162]"
21,"[0.2264808362369338, 0.34552845528455284, 0.23344947735191637, 0.16666666666666666, 0.12253193960511034, 0.14343786295005806]"
22,"[0.1678281068524971, 0.34552845528455284, 0.23344947735191637, 0.14634146341463414, 0.12311265969802555, 0.14343786295005806]"
23,"[0.14692218350754935, 0.34959349593495936, 0.23577235772357724, 0.14982578397212543, 0.1248548199767712, 0.14227642276422764]"
24,"[0.14576074332171893, 0.35365853658536583, 0.23809523809523808, 0.15389082462253195, 0.14518002322880372, 0.14343786295005806]"
25,"[0.13066202090592335, 0.35772357723577236, 0.2578397212543554, 0.17305458768873402, 0.14750290360046459, 0.14169570267131243]"
26,"[0.14227642276422764, 0.3617886178861789, 0.2584204413472706, 0.17363530778164923, 0.14982578397212543, 0.14227642276422764]"
27,"[0.14634146341463414, 0.5040650406504065, 0.2584204413472706, 0.1765389082462253, 0.13008130081300814, 0.1016260162601626]"
28,"[0.14750290360046459, 0.5040650406504065, 0.2781649245063879, 0.21254355400696864, 0.15156794425087108, 0.1016260162601626]"
29,"[0.14634146341463414, 0.6382113821138211, 0.29732868757259, 0.19221835075493612, 0.1521486643437863, 0.12137049941927991]"
30,"[0.10743321718931476, 0.6463414634146342, 0.3147502903600465, 0.19279907084785133, 0.15389082462253195, 0.09872241579558652]"
31,"[0.12659698025551683, 0.8008130081300813, 0.2775842044134727, 0.21370499419279906, 0.17247386759581881, 0.10046457607433217]"
32,"[0.1091753774680604, 0.8008130081300813, 0.23403019744483158, 0.21428571428571427, 0.13008130081300814, 0.12195121951219512]"
33,"[0.14518002322880372, 0.8130081300813008, 0.25435540069686413, 0.21370499419279906, 0.1480836236933798, 0.14227642276422764]"
34,"[0.1016260162601626, 0.8130081300813008, 0.27526132404181186, 0.19628339140534262, 0.12427409988385599, 0.14227642276422764]"
35,"[0.1016260162601626, 0.8130081300813008, 0.2967479674796748, 0.21602787456445993, 0.12659698025551683, 0.16202090592334495]"
36,"[0.10278745644599303, 0.8130081300813008, 0.33681765389082463, 0.21602787456445993, 0.1440185830429733, 0.17015098722415795]"
37,"[0.14227642276422764, 0.8170731707317073, 0.3205574912891986, 0.21428571428571427, 0.14750290360046459, 0.17015098722415795]"
