,acc
0,"[0.23809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"[0.23809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[0.23809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[0.23809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[0.23809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[0.23809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,"[0.23809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[0.23809523809523808, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"[0.19628339140534262, 0.12601626016260162, 0.0, 0.17363530778164923, 0.14576074332171893, 0.0]"
9,"[0.18466898954703834, 0.16666666666666666, 0.15911730545876887, 0.1997677119628339, 0.1765389082462253, 0.20557491289198607]"
10,"[0.18989547038327526, 0.16260162601626016, 0.16666666666666666, 0.2073170731707317, 0.18176538908246226, 0.21428571428571427]"
11,"[0.18989547038327526, 0.16260162601626016, 0.16666666666666666, 0.20789779326364694, 0.18234610917537747, 0.21022067363530778]"
12,"[0.19047619047619047, 0.16666666666666666, 0.16666666666666666, 0.20847851335656215, 0.18176538908246226, 0.20963995354239257]"
13,"[0.19047619047619047, 0.16666666666666666, 0.16666666666666666, 0.20963995354239257, 0.18234610917537747, 0.1951219512195122]"
14,"[0.1910569105691057, 0.17073170731707318, 0.1602787456445993, 0.20789779326364694, 0.18234610917537747, 0.18292682926829268]"
15,"[0.1910569105691057, 0.16666666666666666, 0.15505226480836237, 0.20847851335656215, 0.18292682926829268, 0.14692218350754935]"
16,"[0.1916376306620209, 0.16666666666666666, 0.15389082462253195, 0.20963995354239257, 0.1840882694541231, 0.13704994192799072]"
17,"[0.1910569105691057, 0.16666666666666666, 0.15098722415795587, 0.20963995354239257, 0.1835075493612079, 0.13588850174216027]"
18,"[0.19047619047619047, 0.16666666666666666, 0.13937282229965156, 0.20963995354239257, 0.1835075493612079, 0.13472706155632985]"
19,"[0.19047619047619047, 0.16666666666666666, 0.13763066202090593, 0.20963995354239257, 0.1835075493612079, 0.13588850174216027]"
20,"[0.19047619047619047, 0.16666666666666666, 0.13472706155632985, 0.20963995354239257, 0.1835075493612079, 0.13530778164924506]"
21,"[0.19047619047619047, 0.16260162601626016, 0.13472706155632985, 0.20963995354239257, 0.1835075493612079, 0.13472706155632985]"
22,"[0.19047619047619047, 0.16666666666666666, 0.13472706155632985, 0.20963995354239257, 0.1840882694541231, 0.13530778164924506]"
23,"[0.19047619047619047, 0.16666666666666666, 0.13414634146341464, 0.21022067363530778, 0.18466898954703834, 0.13530778164924506]"
24,"[0.19047619047619047, 0.16666666666666666, 0.13472706155632985, 0.21138211382113822, 0.18466898954703834, 0.13646922183507548]"
