,acc
0,"[0.10859465737514518, 0.04878048780487805, 0.08652729384436701, 0.18873403019744484, 0.15563298490127758, 0.11440185830429733]"
1,"[0.11265969802555169, 0.056910569105691054, 0.09698025551684088, 0.1991869918699187, 0.16376306620209058, 0.12833914053426249]"
2,"[0.1248548199767712, 0.06910569105691057, 0.10278745644599303, 0.2038327526132404, 0.1718931475029036, 0.15098722415795587]"
3,"[0.1480836236933798, 0.08536585365853659, 0.11440185830429733, 0.20847851335656215, 0.16957026713124274, 0.16608594657375145]"
4,"[0.17073170731707318, 0.09349593495934959, 0.11788617886178862, 0.21428571428571427, 0.16144018583042974, 0.17305458768873402]"
5,"[0.16957026713124274, 0.10569105691056911, 0.12659698025551683, 0.20789779326364694, 0.15505226480836237, 0.18757259001161442]"
6,"[0.1794425087108014, 0.11788617886178862, 0.13472706155632985, 0.2038327526132404, 0.15156794425087108, 0.1910569105691057]"
7,"[0.1910569105691057, 0.15447154471544716, 0.14576074332171893, 0.1997677119628339, 0.1445993031358885, 0.19337979094076654]"
8,"[0.18524970963995355, 0.16260162601626016, 0.15156794425087108, 0.19686411149825783, 0.14285714285714285, 0.20267131242741]"
9,"[0.1753774680603949, 0.17886178861788618, 0.15447154471544716, 0.19396051103368175, 0.14111498257839722, 0.20499419279907086]"
10,"[0.1753774680603949, 0.1951219512195122, 0.15969802555168408, 0.1951219512195122, 0.140534262485482, 0.20557491289198607]"
11,"[0.16898954703832753, 0.2032520325203252, 0.16376306620209058, 0.19396051103368175, 0.14169570267131243, 0.2073170731707317]"
12,"[0.1672473867595819, 0.2073170731707317, 0.16318234610917537, 0.19396051103368175, 0.14285714285714285, 0.20789779326364694]"
13,"[0.16898954703832753, 0.21544715447154472, 0.16434378629500582, 0.1957026713124274, 0.1440185830429733, 0.2073170731707317]"
14,"[0.16898954703832753, 0.21951219512195122, 0.16608594657375145, 0.19802555168408828, 0.1440185830429733, 0.2067363530778165]"
15,"[0.16608594657375145, 0.22357723577235772, 0.16840882694541232, 0.20034843205574912, 0.14343786295005806, 0.20615563298490128]"
16,"[0.16666666666666666, 0.22764227642276422, 0.16957026713124274, 0.20092915214866433, 0.14518002322880372, 0.2073170731707317]"
17,"[0.16666666666666666, 0.23577235772357724, 0.17247386759581881, 0.20499419279907086, 0.1480836236933798, 0.20267131242741]"
18,"[0.16376306620209058, 0.23983739837398374, 0.17305458768873402, 0.20615563298490128, 0.14924506387921022, 0.2032520325203252]"
19,"[0.16144018583042974, 0.2682926829268293, 0.17711962833914052, 0.20905923344947736, 0.15098722415795587, 0.20441347270615565]"
20,"[0.15795586527293845, 0.2886178861788618, 0.17828106852497097, 0.21138211382113822, 0.15331010452961671, 0.20267131242741]"
21,"[0.16492450638792103, 0.2926829268292683, 0.17886178861788618, 0.21254355400696864, 0.15505226480836237, 0.2038327526132404]"
22,"[0.16608594657375145, 0.3048780487804878, 0.1806039488966318, 0.21544715447154472, 0.16144018583042974, 0.2067363530778165]"
23,"[0.17073170731707318, 0.3130081300813008, 0.18466898954703834, 0.21718931475029035, 0.16376306620209058, 0.2038327526132404]"
24,"[0.1794425087108014, 0.3333333333333333, 0.18641114982578397, 0.21602787456445993, 0.16957026713124274, 0.1991869918699187]"
25,"[0.18118466898954705, 0.34146341463414637, 0.18583042973286876, 0.22067363530778164, 0.17363530778164923, 0.19744483159117304]"
26,"[0.1806039488966318, 0.3699186991869919, 0.18989547038327526, 0.22473867595818817, 0.18176538908246226, 0.20150987224157957]"
27,"[0.18699186991869918, 0.3943089430894309, 0.19628339140534262, 0.22415795586527293, 0.19337979094076654, 0.20209059233449478]"
