,acc
0,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.11846689895470383, 0.09698025551684088, 0.14111498257839722]"
1,"[0.14285714285714285, 0.16666666666666666, 0.11904761904761904, 0.11904761904761904, 0.0975609756097561, 0.14169570267131243]"
2,"[0.14285714285714285, 0.17073170731707318, 0.11962833914053426, 0.11962833914053426, 0.13763066202090593, 0.14227642276422764]"
3,"[0.14285714285714285, 0.17073170731707318, 0.11962833914053426, 0.09872241579558652, 0.14169570267131243, 0.12195121951219512]"
4,"[0.09872241579558652, 0.17073170731707318, 0.09872241579558652, 0.11962833914053426, 0.16376306620209058, 0.09988385598141696]"
5,"[0.1440185830429733, 0.3252032520325203, 0.11904761904761904, 0.14227642276422764, 0.18641114982578397, 0.11904761904761904]"
6,"[0.18466898954703834, 0.32113821138211385, 0.14169570267131243, 0.1440185830429733, 0.18699186991869918, 0.13937282229965156]"
7,"[0.21138211382113822, 0.3252032520325203, 0.16376306620209058, 0.16492450638792103, 0.20905923344947736, 0.11904761904761904]"
8,"[0.2346109175377468, 0.3252032520325203, 0.16492450638792103, 0.16608594657375145, 0.18815331010452963, 0.11904761904761904]"
9,"[0.19221835075493612, 0.32926829268292684, 0.14634146341463414, 0.16608594657375145, 0.18815331010452963, 0.11904761904761904]"
10,"[0.1916376306620209, 0.32926829268292684, 0.16666666666666666, 0.18815331010452963, 0.22996515679442509, 0.12137049941927991]"
11,"[0.19047619047619047, 0.33739837398373984, 0.16666666666666666, 0.22531939605110338, 0.18757259001161442, 0.14285714285714285]"
12,"[0.19047619047619047, 0.32926829268292684, 0.1672473867595819, 0.1678281068524971, 0.16608594657375145, 0.14343786295005806]"
13,"[0.18931475029036005, 0.32926829268292684, 0.09988385598141696, 0.16840882694541232, 0.16666666666666666, 0.16608594657375145]"
14,"[0.18699186991869918, 0.32926829268292684, 0.10046457607433217, 0.14924506387921022, 0.16434378629500582, 0.16666666666666666]"
15,"[0.18466898954703834, 0.3252032520325203, 0.12020905923344948, 0.16898954703832753, 0.16492450638792103, 0.1445993031358885]"
16,"[0.12253193960511034, 0.3252032520325203, 0.12137049941927991, 0.18989547038327526, 0.14518002322880372, 0.1440185830429733]"
17,"[0.12137049941927991, 0.32926829268292684, 0.14343786295005806, 0.20963995354239257, 0.16434378629500582, 0.1445993031358885]"
18,"[0.12137049941927991, 0.32926829268292684, 0.14343786295005806, 0.1910569105691057, 0.16492450638792103, 0.14576074332171893]"
19,"[0.1207897793263647, 0.32926829268292684, 0.14750290360046459, 0.21196283391405343, 0.16376306620209058, 0.16666666666666666]"
20,"[0.10046457607433217, 0.32926829268292684, 0.16840882694541232, 0.21138211382113822, 0.16376306620209058, 0.16666666666666666]"
21,"[0.10046457607433217, 0.32926829268292684, 0.18989547038327526, 0.18989547038327526, 0.16318234610917537, 0.16608594657375145]"
22,"[0.10046457607433217, 0.32926829268292684, 0.21080139372822299, 0.18873403019744484, 0.16144018583042974, 0.16434378629500582]"
23,"[0.10046457607433217, 0.32926829268292684, 0.21138211382113822, 0.18989547038327526, 0.1602787456445993, 0.14343786295005806]"
24,"[0.10046457607433217, 0.32926829268292684, 0.21138211382113822, 0.18989547038327526, 0.13879210220673635, 0.14285714285714285]"
25,"[0.09930313588850175, 0.32926829268292684, 0.21138211382113822, 0.19047619047619047, 0.13879210220673635, 0.14343786295005806]"
26,"[0.09698025551684088, 0.32926829268292684, 0.21138211382113822, 0.21080139372822299, 0.13937282229965156, 0.16318234610917537]"
27,"[0.09349593495934959, 0.32926829268292684, 0.21254355400696864, 0.1910569105691057, 0.13879210220673635, 0.18699186991869918]"
28,"[0.053426248548199766, 0.32926829268292684, 0.21254355400696864, 0.1910569105691057, 0.12020905923344948, 0.18757259001161442]"
