,acc
0,"[0.19047619047619047, 0.16260162601626016, 0.11904761904761904, 0.21428571428571427, 0.18815331010452963, 0.11962833914053426]"
1,"[0.19047619047619047, 0.16666666666666666, 0.1207897793263647, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
2,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
3,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
4,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
5,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
6,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
7,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
8,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
9,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
10,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
11,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
12,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
13,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
14,"[0.18583042973286876, 0.17073170731707318, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.12020905923344948]"
15,"[0.14576074332171893, 0.14227642276422764, 0.11904761904761904, 0.21312427409988385, 0.18989547038327526, 0.1248548199767712]"
16,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21254355400696864, 0.1753774680603949, 0.16318234610917537]"
17,"[0.14634146341463414, 0.16666666666666666, 0.11846689895470383, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
18,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
19,"[0.14634146341463414, 0.16260162601626016, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16434378629500582]"
20,"[0.14634146341463414, 0.16260162601626016, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16550522648083624]"
21,"[0.14634146341463414, 0.16666666666666666, 0.11962833914053426, 0.21428571428571427, 0.19047619047619047, 0.16434378629500582]"
22,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16434378629500582]"
23,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16492450638792103]"
24,"[0.14634146341463414, 0.16260162601626016, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16492450638792103]"
25,"[0.14634146341463414, 0.16260162601626016, 0.11962833914053426, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
26,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
27,"[0.14634146341463414, 0.16666666666666666, 0.11846689895470383, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
28,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
29,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
30,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
31,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
32,"[0.14634146341463414, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16318234610917537]"
33,"[0.14750290360046459, 0.16666666666666666, 0.11904761904761904, 0.21370499419279906, 0.19047619047619047, 0.16318234610917537]"
34,"[0.14750290360046459, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.18931475029036005, 0.16318234610917537]"
35,"[0.14750290360046459, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16202090592334495]"
36,"[0.17828106852497097, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.16202090592334495]"
37,"[0.18989547038327526, 0.16666666666666666, 0.12137049941927991, 0.21428571428571427, 0.19047619047619047, 0.16202090592334495]"
38,"[0.19047619047619047, 0.16666666666666666, 0.12137049941927991, 0.20847851335656215, 0.19047619047619047, 0.16202090592334495]"
39,"[0.19047619047619047, 0.16666666666666666, 0.12195121951219512, 0.21428571428571427, 0.17828106852497097, 0.16376306620209058]"
40,"[0.19047619047619047, 0.14227642276422764, 0.12195121951219512, 0.21428571428571427, 0.19047619047619047, 0.11962833914053426]"
41,"[0.19047619047619047, 0.16666666666666666, 0.12195121951219512, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
42,"[0.19047619047619047, 0.16666666666666666, 0.1207897793263647, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
43,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
44,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
45,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
46,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
47,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
48,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
49,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
50,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
51,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
52,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
53,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
54,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
55,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
56,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
57,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
58,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
59,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
60,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
61,"[0.19047619047619047, 0.16666666666666666, 0.11904761904761904, 0.21428571428571427, 0.19047619047619047, 0.11904761904761904]"
62,"[0.19047619047619047, 0.21544715447154472, 0.16202090592334495, 0.218931475029036, 0.13066202090592335, 0.11904761904761904]"
63,"[0.19047619047619047, 0.16666666666666666, 0.16202090592334495, 0.17247386759581881, 0.12601626016260162, 0.2032520325203252]"
64,"[0.19047619047619047, 0.16666666666666666, 0.16202090592334495, 0.1713124274099884, 0.12601626016260162, 0.20499419279907086]"
65,"[0.19047619047619047, 0.16666666666666666, 0.16260162601626016, 0.1713124274099884, 0.12427409988385599, 0.20499419279907086]"
66,"[0.19047619047619047, 0.16666666666666666, 0.16318234610917537, 0.1718931475029036, 0.12427409988385599, 0.20557491289198607]"
