,acc
49,"[0.10220673635307782, 0.8699186991869918, 0.3554006968641115, 0.2183507549361208, 0.2073170731707317, 0.15737514518002324]"
50,"[0.10394889663182347, 0.8699186991869918, 0.35714285714285715, 0.22009291521486643, 0.20963995354239257, 0.15795586527293845]"
51,"[0.10278745644599303, 0.8821138211382114, 0.359465737514518, 0.21660859465737514, 0.20847851335656215, 0.15795586527293845]"
52,"[0.10511033681765389, 0.8902439024390244, 0.3606271777003484, 0.21718931475029035, 0.20905923344947736, 0.1602787456445993]"
53,"[0.1091753774680604, 0.9065040650406504, 0.3612078977932636, 0.21544715447154472, 0.2067363530778165, 0.16144018583042974]"
54,"[0.11091753774680604, 0.926829268292683, 0.3635307781649245, 0.2148664343786295, 0.20847851335656215, 0.16144018583042974]"
55,"[0.1132404181184669, 0.943089430894309, 0.36585365853658536, 0.21022067363530778, 0.20847851335656215, 0.16260162601626016]"
56,"[0.11672473867595819, 0.9512195121951219, 0.37282229965156793, 0.20963995354239257, 0.21080139372822299, 0.16318234610917537]"
57,"[0.12195121951219512, 0.9715447154471545, 0.37630662020905925, 0.21022067363530778, 0.20963995354239257, 0.16318234610917537]"
58,"[0.12369337979094076, 0.9715447154471545, 0.3780487804878049, 0.20905923344947736, 0.21196283391405343, 0.16318234610917537]"
59,"[0.12601626016260162, 0.9796747967479674, 0.3792102206736353, 0.2067363530778165, 0.21138211382113822, 0.16318234610917537]"
60,"[0.12833914053426249, 0.983739837398374, 0.3792102206736353, 0.2032520325203252, 0.21080139372822299, 0.16376306620209058]"
61,"[0.13356562137049943, 0.983739837398374, 0.38095238095238093, 0.19802555168408828, 0.20963995354239257, 0.16376306620209058]"
62,"[0.13995354239256677, 0.983739837398374, 0.3803716608594657, 0.1997677119628339, 0.21138211382113822, 0.16434378629500582]"
63,"[0.14576074332171893, 0.9878048780487805, 0.3803716608594657, 0.19744483159117304, 0.21428571428571427, 0.16492450638792103]"
64,"[0.15447154471544716, 0.991869918699187, 0.38095238095238093, 0.19686411149825783, 0.21602787456445993, 0.16550522648083624]"
65,"[0.15505226480836237, 0.991869918699187, 0.38153310104529614, 0.1951219512195122, 0.21660859465737514, 0.16550522648083624]"
66,"[0.16376306620209058, 0.991869918699187, 0.38153310104529614, 0.194541231126597, 0.218931475029036, 0.16550522648083624]"
67,"[0.1678281068524971, 0.991869918699187, 0.38153310104529614, 0.1957026713124274, 0.21951219512195122, 0.16550522648083624]"
68,"[0.1713124274099884, 0.991869918699187, 0.3832752613240418, 0.1957026713124274, 0.22009291521486643, 0.16550522648083624]"
69,"[0.17247386759581881, 0.991869918699187, 0.3832752613240418, 0.1951219512195122, 0.22009291521486643, 0.16550522648083624]"
70,"[0.17421602787456447, 0.991869918699187, 0.3832752613240418, 0.194541231126597, 0.22067363530778164, 0.16492450638792103]"
71,"[0.1806039488966318, 0.991869918699187, 0.3832752613240418, 0.19396051103368175, 0.2218350754936121, 0.16492450638792103]"
72,"[0.18234610917537747, 0.991869918699187, 0.3832752613240418, 0.19396051103368175, 0.2229965156794425, 0.16492450638792103]"
73,"[0.1840882694541231, 0.9878048780487805, 0.3832752613240418, 0.19337979094076654, 0.2229965156794425, 0.16492450638792103]"
