,acc
0,"[0.23228803716608595, 0.008130081300813009, 0.010452961672473868, 0.006968641114982578, 0.007549361207897794, 0.009872241579558653]"
1,"[0.18815331010452963, 0.15447154471544716, 0.16492450638792103, 0.15331010452961671, 0.1132404181184669, 0.20615563298490128]"
2,"[0.1835075493612079, 0.16666666666666666, 0.16898954703832753, 0.16550522648083624, 0.1207897793263647, 0.21370499419279906]"
3,"[0.18583042973286876, 0.16666666666666666, 0.16898954703832753, 0.16550522648083624, 0.1207897793263647, 0.21370499419279906]"
4,"[0.18873403019744484, 0.16666666666666666, 0.16898954703832753, 0.16550522648083624, 0.1207897793263647, 0.21370499419279906]"
5,"[0.18699186991869918, 0.16666666666666666, 0.16898954703832753, 0.16550522648083624, 0.1207897793263647, 0.21370499419279906]"
6,"[0.18699186991869918, 0.16666666666666666, 0.17073170731707318, 0.16550522648083624, 0.1207897793263647, 0.21370499419279906]"
7,"[0.18699186991869918, 0.16666666666666666, 0.17015098722415795, 0.16550522648083624, 0.1207897793263647, 0.21370499419279906]"
8,"[0.18699186991869918, 0.16666666666666666, 0.17015098722415795, 0.16550522648083624, 0.1207897793263647, 0.21312427409988385]"
9,"[0.18699186991869918, 0.16666666666666666, 0.17015098722415795, 0.16550522648083624, 0.1207897793263647, 0.2148664343786295]"
10,"[0.18699186991869918, 0.16260162601626016, 0.17015098722415795, 0.16550522648083624, 0.11846689895470383, 0.2148664343786295]"
11,"[0.18699186991869918, 0.16666666666666666, 0.17015098722415795, 0.16550522648083624, 0.11904761904761904, 0.2148664343786295]"
12,"[0.18699186991869918, 0.16666666666666666, 0.17015098722415795, 0.16550522648083624, 0.11904761904761904, 0.2148664343786295]"
13,"[0.18699186991869918, 0.16666666666666666, 0.17015098722415795, 0.16550522648083624, 0.11904761904761904, 0.2148664343786295]"
14,"[0.18699186991869918, 0.16666666666666666, 0.17015098722415795, 0.16550522648083624, 0.11904761904761904, 0.2148664343786295]"
15,"[0.18699186991869918, 0.16666666666666666, 0.17015098722415795, 0.16550522648083624, 0.11904761904761904, 0.2148664343786295]"
16,"[0.18699186991869918, 0.16666666666666666, 0.17015098722415795, 0.16550522648083624, 0.11904761904761904, 0.2148664343786295]"
