,acc
52,"[0.17305458768873402, 0.36585365853658536, 0.26364692218350755, 0.19396051103368175, 0.1521486643437863, 0.15737514518002324]"
53,"[0.18873403019744484, 0.23577235772357724, 0.18931475029036005, 0.19686411149825783, 0.15447154471544716, 0.1521486643437863]"
54,"[0.18873403019744484, 0.22764227642276422, 0.16376306620209058, 0.20034843205574912, 0.15389082462253195, 0.13879210220673635]"
55,"[0.19047619047619047, 0.22357723577235772, 0.15795586527293845, 0.20092915214866433, 0.1713124274099884, 0.13356562137049943]"
56,"[0.18815331010452963, 0.22764227642276422, 0.15795586527293845, 0.20092915214866433, 0.1718931475029036, 0.1329849012775842]"
57,"[0.18757259001161442, 0.22764227642276422, 0.1753774680603949, 0.20209059233449478, 0.17305458768873402, 0.13182346109175377]"
58,"[0.18699186991869918, 0.26422764227642276, 0.18757259001161442, 0.20441347270615565, 0.156794425087108, 0.14692218350754935]"
59,"[0.18989547038327526, 0.34959349593495936, 0.1910569105691057, 0.20847851335656215, 0.15795586527293845, 0.13066202090592335]"
60,"[0.19047619047619047, 0.34959349593495936, 0.18583042973286876, 0.22415795586527293, 0.15911730545876887, 0.13008130081300814]"
61,"[0.18931475029036005, 0.34552845528455284, 0.18524970963995355, 0.22415795586527293, 0.19047619047619047, 0.13066202090592335]"
62,"[0.18931475029036005, 0.34146341463414637, 0.18931475029036005, 0.23867595818815332, 0.17247386759581881, 0.13066202090592335]"
63,"[0.18931475029036005, 0.34146341463414637, 0.20499419279907086, 0.2502903600464576, 0.18699186991869918, 0.13066202090592335]"
64,"[0.1916376306620209, 0.3861788617886179, 0.23693379790940766, 0.25319396051103366, 0.14634146341463414, 0.13008130081300814]"
65,"[0.19337979094076654, 0.44715447154471544, 0.26248548199767713, 0.25261324041811845, 0.1445993031358885, 0.14285714285714285]"
66,"[0.19396051103368175, 0.45121951219512196, 0.2619047619047619, 0.2694541231126597, 0.13588850174216027, 0.14576074332171893]"
67,"[0.19396051103368175, 0.45121951219512196, 0.2607433217189315, 0.27119628339140534, 0.13124274099883856, 0.14576074332171893]"
68,"[0.19396051103368175, 0.4634146341463415, 0.26480836236933797, 0.27119628339140534, 0.13182346109175377, 0.14634146341463414]"
69,"[0.194541231126597, 0.46747967479674796, 0.26248548199767713, 0.2700348432055749, 0.13414634146341464, 0.14576074332171893]"
70,"[0.1957026713124274, 0.46747967479674796, 0.2613240418118467, 0.2706155632984901, 0.13530778164924506, 0.14576074332171893]"
71,"[0.19802555168408828, 0.4715447154471545, 0.26248548199767713, 0.2700348432055749, 0.13646922183507548, 0.14576074332171893]"
72,"[0.20034843205574912, 0.4715447154471545, 0.2613240418118467, 0.2700348432055749, 0.13646922183507548, 0.14518002322880372]"
73,"[0.20441347270615565, 0.47560975609756095, 0.2601626016260163, 0.27990708478513354, 0.13763066202090593, 0.1445993031358885]"
74,"[0.20557491289198607, 0.47560975609756095, 0.2607433217189315, 0.28339140534262486, 0.13937282229965156, 0.14576074332171893]"
75,"[0.20557491289198607, 0.47560975609756095, 0.2601626016260163, 0.27293844367015097, 0.13995354239256677, 0.14518002322880372]"
76,"[0.20615563298490128, 0.4796747967479675, 0.2607433217189315, 0.2694541231126597, 0.14518002322880372, 0.14576074332171893]"
77,"[0.20557491289198607, 0.5691056910569106, 0.27526132404181186, 0.2688734030197445, 0.16957026713124274, 0.14692218350754935]"
78,"[0.20092915214866433, 0.5894308943089431, 0.2781649245063879, 0.2688734030197445, 0.1713124274099884, 0.14750290360046459]"
79,"[0.1997677119628339, 0.5975609756097561, 0.2880371660859466, 0.2682926829268293, 0.17305458768873402, 0.1480836236933798]"
80,"[0.1986062717770035, 0.6056910569105691, 0.3083623693379791, 0.2677119628339141, 0.17479674796747968, 0.14634146341463414]"
81,"[0.19744483159117304, 0.6178861788617886, 0.3124274099883856, 0.26713124274099886, 0.17770034843205576, 0.14692218350754935]"
82,"[0.19628339140534262, 0.6219512195121951, 0.3159117305458769, 0.2682926829268293, 0.17770034843205576, 0.14634146341463414]"
83,"[0.1951219512195122, 0.6300813008130082, 0.31881533101045295, 0.2677119628339141, 0.17886178861788618, 0.14634146341463414]"
84,"[0.19396051103368175, 0.6341463414634146, 0.3205574912891986, 0.2682926829268293, 0.17828106852497097, 0.14692218350754935]"
85,"[0.19279907084785133, 0.6341463414634146, 0.32171893147502906, 0.2677119628339141, 0.1800232288037166, 0.14518002322880372]"
86,"[0.19279907084785133, 0.6463414634146342, 0.3228803716608595, 0.26713124274099886, 0.1794425087108014, 0.14634146341463414]"
87,"[0.19047619047619047, 0.6504065040650406, 0.3246225319396051, 0.2682926829268293, 0.18176538908246226, 0.14576074332171893]"
88,"[0.19221835075493612, 0.6585365853658537, 0.32636469221835074, 0.23983739837398374, 0.18176538908246226, 0.14518002322880372]"
89,"[0.19221835075493612, 0.6585365853658537, 0.31997677119628337, 0.23577235772357724, 0.18234610917537747, 0.14518002322880372]"
90,"[0.19221835075493612, 0.6626016260162602, 0.3153310104529617, 0.23519163763066203, 0.19686411149825783, 0.14518002322880372]"
91,"[0.19047619047619047, 0.6626016260162602, 0.313588850174216, 0.23344947735191637, 0.1991869918699187, 0.14518002322880372]"
92,"[0.19047619047619047, 0.6626016260162602, 0.313588850174216, 0.23228803716608595, 0.1840882694541231, 0.14518002322880372]"
93,"[0.19047619047619047, 0.6707317073170732, 0.3130081300813008, 0.23170731707317074, 0.18524970963995355, 0.14518002322880372]"
94,"[0.19047619047619047, 0.6707317073170732, 0.3130081300813008, 0.23170731707317074, 0.1840882694541231, 0.14576074332171893]"
95,"[0.19047619047619047, 0.6707317073170732, 0.3124274099883856, 0.22996515679442509, 0.18466898954703834, 0.14576074332171893]"
96,"[0.19047619047619047, 0.6707317073170732, 0.3124274099883856, 0.2305458768873403, 0.18524970963995355, 0.14518002322880372]"
97,"[0.18583042973286876, 0.6707317073170732, 0.3118466898954704, 0.2311265969802555, 0.18583042973286876, 0.14576074332171893]"
98,"[0.18583042973286876, 0.6707317073170732, 0.31068524970963995, 0.2305458768873403, 0.18641114982578397, 0.14576074332171893]"
99,"[0.18583042973286876, 0.6707317073170732, 0.31010452961672474, 0.2305458768873403, 0.18699186991869918, 0.14576074332171893]"
100,"[0.18583042973286876, 0.6707317073170732, 0.31010452961672474, 0.2305458768873403, 0.18641114982578397, 0.14576074332171893]"
101,"[0.18583042973286876, 0.6707317073170732, 0.30952380952380953, 0.2305458768873403, 0.18641114982578397, 0.14576074332171893]"
102,"[0.18583042973286876, 0.6747967479674797, 0.3089430894308943, 0.2305458768873403, 0.18699186991869918, 0.14518002322880372]"
103,"[0.18583042973286876, 0.6747967479674797, 0.3089430894308943, 0.2311265969802555, 0.18757259001161442, 0.14518002322880372]"
104,"[0.18583042973286876, 0.6788617886178862, 0.3077816492450639, 0.23170731707317074, 0.18931475029036005, 0.14518002322880372]"
105,"[0.18815331010452963, 0.6788617886178862, 0.2897793263646922, 0.23286875725900116, 0.1910569105691057, 0.14576074332171893]"
106,"[0.18815331010452963, 0.6869918699186992, 0.2897793263646922, 0.23635307781649245, 0.20905923344947736, 0.14576074332171893]"
107,"[0.18815331010452963, 0.6991869918699187, 0.29036004645760743, 0.251451800232288, 0.21022067363530778, 0.14576074332171893]"
108,"[0.18815331010452963, 0.8252032520325203, 0.29094076655052264, 0.2508710801393728, 0.21080139372822299, 0.14634146341463414]"
109,"[0.18815331010452963, 0.8252032520325203, 0.29094076655052264, 0.23344947735191637, 0.20963995354239257, 0.14576074332171893]"
110,"[0.18815331010452963, 0.8252032520325203, 0.29210220673635306, 0.23403019744483158, 0.21080139372822299, 0.14576074332171893]"
111,"[0.18815331010452963, 0.8252032520325203, 0.29152148664343785, 0.23403019744483158, 0.21022067363530778, 0.1445993031358885]"
112,"[0.18815331010452963, 0.8252032520325203, 0.29210220673635306, 0.23519163763066203, 0.21080139372822299, 0.1445993031358885]"
113,"[0.18815331010452963, 0.8252032520325203, 0.29210220673635306, 0.23577235772357724, 0.20963995354239257, 0.1440185830429733]"
114,"[0.18815331010452963, 0.8252032520325203, 0.2926829268292683, 0.23751451800232287, 0.21022067363530778, 0.1440185830429733]"
115,"[0.18815331010452963, 0.8252032520325203, 0.29210220673635306, 0.23867595818815332, 0.1951219512195122, 0.14343786295005806]"
116,"[0.18931475029036005, 0.8252032520325203, 0.29210220673635306, 0.25435540069686413, 0.21138211382113822, 0.1440185830429733]"
117,"[0.18931475029036005, 0.8252032520325203, 0.29210220673635306, 0.25493612078977934, 0.21138211382113822, 0.1440185830429733]"
118,"[0.18931475029036005, 0.8252032520325203, 0.2926829268292683, 0.25493612078977934, 0.21196283391405343, 0.1440185830429733]"
119,"[0.18931475029036005, 0.8252032520325203, 0.2926829268292683, 0.25493612078977934, 0.21196283391405343, 0.1440185830429733]"
120,"[0.18931475029036005, 0.8252032520325203, 0.29210220673635306, 0.25493612078977934, 0.21312427409988385, 0.1445993031358885]"
121,"[0.18931475029036005, 0.8292682926829268, 0.2926829268292683, 0.25493612078977934, 0.21370499419279906, 0.1445993031358885]"
122,"[0.19047619047619047, 0.8292682926829268, 0.2932636469221835, 0.25493612078977934, 0.21370499419279906, 0.1445993031358885]"
123,"[0.19047619047619047, 0.8292682926829268, 0.2938443670150987, 0.25493612078977934, 0.21428571428571427, 0.1445993031358885]"
124,"[0.19047619047619047, 0.8292682926829268, 0.313588850174216, 0.25493612078977934, 0.21428571428571427, 0.1445993031358885]"
125,"[0.18815331010452963, 0.8292682926829268, 0.3321718931475029, 0.25493612078977934, 0.2148664343786295, 0.14576074332171893]"
126,"[0.18815331010452963, 0.967479674796748, 0.3356562137049942, 0.25493612078977934, 0.2148664343786295, 0.14576074332171893]"
127,"[0.18815331010452963, 0.975609756097561, 0.37398373983739835, 0.25493612078977934, 0.2148664343786295, 0.14518002322880372]"
128,"[0.18815331010452963, 0.975609756097561, 0.3780487804878049, 0.25493612078977934, 0.21544715447154472, 0.14518002322880372]"
129,"[0.18815331010452963, 0.975609756097561, 0.3792102206736353, 0.25551684088269455, 0.23577235772357724, 0.14518002322880372]"
