,Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
0,GRU,10,10,15.0,12.510354838709677,0.5209129032258064,0.38783870967741935,3.605709677419355,0.9828258064516129,-0.0030354838709677422,0.532141935483871,0.49060967741935485,6.129032258064516,6.129032258064516,12.258064516129032,1.6774193548387097,1.4193548387096775,8.903225806451612,0.17907096774193548,0.21580645161290324,1.6774193548387097
1,GRU,10,15,15.0,13.048961290322582,0.5433741935483871,0.4005096774193549,3.629883870967742,0.9929645161290322,-0.0021161290322580643,0.5328322580645162,0.5243709677419355,5.935483870967742,6.516129032258065,12.451612903225806,1.5483870967741935,1.096774193548387,9.35483870967742,0.1618709677419355,0.19066451612903224,1.5483870967741935
2,GRU,20,20,15.0,12.76048064516129,0.5315354838709677,0.3905677419354839,3.679441935483871,0.9912677419354838,-0.001432258064516129,0.493958064516129,0.5150387096774194,6.354838709677419,6.548387096774194,12.903225806451612,1.8064516129032258,0.9032258064516129,9.290322580645162,0.20641935483870968,0.23855483870967742,1.8064516129032258
3,GRU,20,25,15.0,12.461912903225807,0.5176354838709678,0.3909483870967742,3.6110709677419357,0.9834774193548387,-0.004206451612903226,0.506283870967742,0.5001709677419355,5.967741935483871,6.354838709677419,12.32258064516129,1.5161290322580645,1.1935483870967742,9.290322580645162,0.1604032258064516,0.19347096774193548,1.5161290322580645
4,GRU,30,30,15.0,13.034206451612905,0.5430870967741935,0.3932741935483871,3.6778064516129034,0.9919193548387097,0.0,0.5202129032258065,0.508283870967742,6.516129032258065,6.387096774193548,12.903225806451612,1.903225806451613,1.0,9.096774193548388,0.21100967741935484,0.24193225806451613,1.903225806451613
5,GRU,30,35,15.0,12.568377419354839,0.5236806451612904,0.38118709677419355,3.6291193548387097,0.982,0.0,0.5000096774193549,0.5218741935483872,6.225806451612903,6.225806451612903,12.451612903225806,1.5161290322580645,1.064516129032258,9.419354838709678,0.1634032258064516,0.18996129032258063,1.5161290322580645
6,GRU,40,40,15.0,12.681622580645163,0.5283548387096775,0.39838709677419354,3.611977419354839,0.9897870967741935,-0.0004612903225806452,0.5099709677419355,0.527158064516129,6.419354838709677,5.870967741935484,12.290322580645162,1.3548387096774193,1.064516129032258,9.580645161290322,0.1376258064516129,0.15790967741935483,1.3548387096774193
7,GRU,40,45,15.0,12.153861290322581,0.5061935483870967,0.384241935483871,3.646370967741935,0.9706935483870968,-0.0016193548387096774,0.5027645161290323,0.4761,6.161290322580645,6.419354838709677,12.580645161290322,1.7096774193548387,1.1290322580645162,9.161290322580646,0.18415161290322582,0.2323,1.7096774193548387
8,GRU,50,50,15.0,12.940564516129033,0.5391935483870968,0.39206129032258064,3.654441935483871,0.9846483870967743,0.0,0.516,0.5245129032258063,6.419354838709677,6.258064516129032,12.67741935483871,1.5806451612903225,0.9032258064516129,9.516129032258064,0.16998387096774192,0.1894225806451613,1.5806451612903225
9,GRU,50,55,15.0,12.87703870967742,0.5365387096774193,0.3910774193548387,3.6559967741935484,0.9752032258064517,0.0,0.5145516129032258,0.5158032258064517,6.193548387096774,6.483870967741935,12.67741935483871,1.6451612903225807,0.967741935483871,9.387096774193548,0.1787774193548387,0.2105483870967742,1.6451612903225807
10,GRUA,10,10,15.0,4.396909677419355,0.16931290322580647,0.17887096774193548,3.4760322580645164,0.49921612903225804,-0.03769032258064516,0.18463225806451614,0.16383225806451612,6.193548387096774,6.193548387096774,12.387096774193548,1.8387096774193548,2.4516129032258065,7.709677419354839,0.21606774193548386,0.31351935483870963,1.8387096774193548
11,GRUA,10,15,15.0,3.7288032258064514,0.14466774193548387,0.16403225806451613,3.4785290322580646,0.46230000000000004,-0.032116129032258064,0.1399483870967742,0.15561935483870967,6.096774193548387,5.806451612903226,11.903225806451612,1.6451612903225807,2.2580645161290325,8.096774193548388,0.19626774193548385,0.2928193548387097,1.6451612903225807
12,GRUA,20,20,15.0,3.0748193548387097,0.11484516129032259,0.13178387096774194,3.5791870967741937,0.3616548387096774,-0.03467741935483871,0.09934516129032257,0.12207096774193549,7.096774193548387,6.67741935483871,13.774193548387096,2.5161290322580645,2.193548387096774,7.290322580645161,0.3665774193548387,0.7239774193548387,2.5161290322580645
13,GRUA,20,25,15.0,2.4774290322580645,0.08949677419354839,0.11336451612903226,3.4947032258064517,0.29955806451612904,-0.03776451612903226,0.11029032258064517,0.06914516129032258,5.903225806451613,7.451612903225806,13.35483870967742,2.6129032258064515,2.806451612903226,6.580645161290323,0.4371258064516129,0.8504903225806452,2.6129032258064515
14,GRUA,30,30,15.0,1.4251064516129033,0.05186774193548387,0.06609354838709677,3.210941935483871,0.17591290322580644,-0.02227741935483871,0.051258064516129034,0.0567483870967742,5.548387096774194,6.741935483870968,12.290322580645162,2.2580645161290325,4.064516129032258,5.67741935483871,0.3260548387096774,0.8881709677419355,2.2580645161290325
15,GRUA,30,35,15.0,1.8031161290322582,0.06383225806451613,0.078,3.532009677419355,0.21678064516129034,-0.026335483870967742,0.06736774193548387,0.05935806451612904,6.096774193548387,7.032258064516129,13.129032258064516,2.5806451612903225,2.5161290322580645,6.903225806451613,0.5158709677419354,1.1449709677419353,2.5806451612903225
16,GRUA,40,40,15.0,1.5435,0.05847741935483871,0.07040322580645161,3.2897322580645163,0.19728064516129035,-0.01751935483870968,0.055777419354838716,0.06833870967741935,5.67741935483871,5.903225806451613,11.580645161290322,2.4516129032258065,3.935483870967742,5.612903225806452,0.3868935483870968,0.8725322580645162,2.4516129032258065
17,GRUA,40,45,15.0,1.1127967741935483,0.03825806451612903,0.04862258064516129,3.3737322580645164,0.12971290322580645,-0.02366451612903226,0.043835483870967744,0.036225806451612906,7.193548387096774,5.774193548387097,12.96774193548387,2.2903225806451615,3.3225806451612905,6.387096774193548,0.47523548387096776,0.7885193548387096,2.2903225806451615
