,accuracy,loss
0,tensor(0.4933),1.0465373444557189
1,tensor(0.4833),1.0155193656682968
2,tensor(0.4833),1.0031750798225403
3,tensor(0.5100),1.0027921003103257
4,tensor(0.5367),0.999392454624176
5,tensor(0.5300),0.9830930608510972
6,tensor(0.6233),0.8735434427857399
7,tensor(0.7333),0.7303798535466194
8,tensor(0.8467),0.5560350178182125
9,tensor(0.8133),0.4867974404990673
10,tensor(0.8367),0.4015926617383957
11,tensor(0.8200),0.37531038776040077
12,tensor(0.8167),0.35225326135754587
13,tensor(0.8400),0.33216124191880225
14,tensor(0.8333),0.3454952500760555
15,tensor(0.8900),0.31986931055784223
16,tensor(0.9233),0.3272585578262806
17,tensor(0.9700),0.26749159544706347
18,tensor(0.9533),0.2676022866368294
19,tensor(0.8700),0.39731443449854853
20,tensor(0.9800),0.24892402589321136
