,accuracy,loss
0,tensor(0.5367),0.996566264629364
1,tensor(0.5400),0.9941969680786132
2,tensor(0.4900),1.0070594251155853
3,tensor(0.5300),0.9876584261655807
4,tensor(0.5400),0.9782176738977433
5,tensor(0.6800),0.9033800613880157
6,tensor(0.5167),1.0270056766271591
7,tensor(0.6700),0.8277993220090866
8,tensor(0.7033),0.7339165729284286
9,tensor(0.6833),0.6954368069767952
10,tensor(0.6800),0.7012045097351074
11,tensor(0.6667),0.6952212691307068
12,tensor(0.6833),0.6743155181407928
13,tensor(0.6500),0.6826409375667573
14,tensor(0.6700),0.6748212003707885
15,tensor(0.6667),0.6743899285793304
16,tensor(0.6500),0.8300690966844558
17,tensor(0.6500),0.6797492176294326
18,tensor(0.6833),0.6667138016223908
19,tensor(0.6733),0.6706256574392319
20,tensor(0.6700),0.690203052163124
21,tensor(0.6933),0.7174189931154251
22,tensor(0.6767),0.6781388401985169
23,tensor(0.6400),0.6733549791574478
24,tensor(0.7000),0.6645750719308853
25,tensor(0.7367),0.6450870740413666
26,tensor(0.6867),0.7056480884552002
27,tensor(0.7300),0.8855159211158753
28,tensor(0.6233),1.097830668091774
29,tensor(0.6667),0.8800572115182876
30,tensor(0.7133),0.7128181648254395
31,tensor(0.7667),0.6221718913316727
32,tensor(0.7367),0.5833959773182869
33,tensor(0.8200),0.4529813177883625
34,tensor(0.8367),0.36601895198225975
35,tensor(0.8667),0.34133820831775663
36,tensor(0.7567),0.6191141548752784
37,tensor(0.8533),0.3962084662914276
38,tensor(0.9200),0.3006046059727669
39,tensor(0.9200),0.2806691247224808
40,tensor(0.8967),0.28375049293041227
41,tensor(0.9367),0.24704990789294243
42,tensor(0.9233),0.2501842895150185
43,tensor(0.9433),0.2448840106278658
44,tensor(0.9467),0.23762758739292622
45,tensor(0.9600),0.21968437306582927
46,tensor(0.9667),0.19422114148736
47,tensor(0.9633),0.1882646407186985
48,tensor(0.9600),0.19124788880348206
49,tensor(0.9467),0.1968247617036104
50,tensor(0.9500),0.18679904595017433
51,tensor(0.9533),0.17510099463164808
52,tensor(0.9633),0.15801979407668112
53,tensor(0.9567),0.16628644961863756
54,tensor(0.9567),0.17006885815411807
55,tensor(0.9567),0.1604975901544094
56,tensor(0.9733),0.12690405003726482
