,accuracy,loss
0,tensor(0.4900),1.090098379254341
1,tensor(0.4467),1.0799523615837097
2,tensor(0.4700),1.0172906863689422
3,tensor(0.5367),0.9973889291286469
4,tensor(0.5200),0.9854938495159149
5,tensor(0.6233),0.9488716566562653
6,tensor(0.7033),0.8534582895040512
7,tensor(0.6867),0.8222550758719445
8,tensor(0.6900),0.7885115537047386
9,tensor(0.6867),0.7787243822216987
10,tensor(0.6900),0.7395161908864974
11,tensor(0.7033),0.7482599404454231
12,tensor(0.7200),0.6901984557509422
13,tensor(0.6833),0.6896322840452194
14,tensor(0.6800),0.71478903144598
15,tensor(0.7133),0.6820523476600647
16,tensor(0.7100),0.6855763050913811
17,tensor(0.7900),0.5910995185375214
18,tensor(0.7833),0.6831215995550156
19,tensor(0.8000),0.6439863795042038
20,tensor(0.7933),0.59227643430233
21,tensor(0.8233),0.574671590179205
22,tensor(0.8433),0.5464277368783951
23,tensor(0.7800),0.5766584610939026
24,tensor(0.8167),0.5397499172389507
25,tensor(0.8267),0.5223675090074539
26,tensor(0.8133),0.5287391926348209
27,tensor(0.8733),0.47686165988445284
28,tensor(0.8600),0.4747961899638176
29,tensor(0.8433),0.5186234007775784
30,tensor(0.8867),0.432518835067749
31,tensor(0.8533),0.461289564371109
32,tensor(0.9067),0.3747711466997862
33,tensor(0.8767),0.42703718386590483
34,tensor(0.8767),0.3852821320295334
35,tensor(0.8967),0.33909986443817614
36,tensor(0.9067),0.314902581050992
37,tensor(0.8867),0.32968378566205503
38,tensor(0.8900),0.31965440299361947
39,tensor(0.9233),0.28220848385244607
40,tensor(0.9333),0.25476066004484893
41,tensor(0.9233),0.25828575640916823
42,tensor(0.8967),0.30837983518838885
43,tensor(0.9100),0.24606295343488455
44,tensor(0.9267),0.22269068043679
45,tensor(0.9167),0.22549553535878658
46,tensor(0.9167),0.2226899705827236
47,tensor(0.9000),0.24244551910087467
48,tensor(0.9200),0.19877183532342316
49,tensor(0.9200),0.19731441229581834
50,tensor(0.9333),0.1699804529827088
51,tensor(0.9267),0.2051278865057975
52,tensor(0.9600),0.17704293015412986
53,tensor(0.9500),0.17323792329989374
54,tensor(0.9267),0.21574328382499516
55,tensor(0.9667),0.15587074204348028
56,tensor(0.9667),0.12912948748096822
57,tensor(0.9533),0.13924198520369827
58,tensor(0.9567),0.14123087886720895
59,tensor(0.9633),0.1414227775670588
60,tensor(0.9200),0.20556577751412988
61,tensor(0.9833),0.12032170751132071
