,accuracy,loss
0,tensor(0.4900),1.0273625558614732
1,tensor(0.4800),1.0143118673563003
2,tensor(0.5233),1.0033809781074523
3,tensor(0.5433),0.9914728081226349
4,tensor(0.5767),0.9667909163236618
5,tensor(0.6767),0.9061085548996926
6,tensor(0.7433),0.7507005067169666
7,tensor(0.7500),0.7056670048832894
8,tensor(0.7600),0.6539320147037506
9,tensor(0.8000),0.6350306510925293
10,tensor(0.8700),0.4722537299990654
11,tensor(0.8767),0.365612673163414
12,tensor(0.9467),0.27442168690264224
13,tensor(0.9167),0.2778929091244936
14,tensor(0.9233),0.27358044300228357
15,tensor(0.9800),0.19370031861588358
