,accuracy,loss
0,tensor(0.4933),1.0191294813156129
1,tensor(0.4367),1.0230709117650987
2,tensor(0.5000),1.0063418084383011
3,tensor(0.5700),0.9911798775196076
4,tensor(0.5200),1.0080951577425004
5,tensor(0.4900),1.0027264332771302
6,tensor(0.5267),0.998084003329277
7,tensor(0.5467),0.9984865128993988
8,tensor(0.4700),1.0112225008010864
9,tensor(0.4933),1.004140754342079
10,tensor(0.5300),0.9985137468576432
11,tensor(0.5300),0.9972834509611129
12,tensor(0.5200),0.9970830702781677
13,tensor(0.5133),1.0057802867889405
14,tensor(0.5200),1.0068367254734039
15,tensor(0.5533),0.9913147336244583
16,tensor(0.5900),0.9738827168941497
17,tensor(0.5867),0.9224114036560058
18,tensor(0.6733),0.6983875370025635
19,tensor(0.6600),0.6793313038349151
20,tensor(0.6967),0.6685422110557556
21,tensor(0.6600),0.6758763492107391
22,tensor(0.6900),0.6685314005613328
23,tensor(0.6500),0.6810152965784073
24,tensor(0.6600),0.6689179897308349
25,tensor(0.6733),0.6715952402353287
26,tensor(0.6533),0.6792515307664871
27,tensor(0.6867),0.6665430501103401
28,tensor(0.6767),0.6714363586902619
29,tensor(0.6800),0.6653925833106041
30,tensor(0.6700),0.6699573820829392
31,tensor(0.6633),0.6706685900688172
32,tensor(0.6867),0.6641688084602356
33,tensor(0.7167),0.6550185784697533
34,tensor(0.7367),0.6444588112831116
35,tensor(0.7300),0.6219851380586624
36,tensor(0.7600),0.6165711563825608
37,tensor(0.7533),0.550874662399292
38,tensor(0.7867),0.45074122965335844
39,tensor(0.8400),0.40863419204950335
40,tensor(0.8467),0.39904582500457764
41,tensor(0.8400),0.38621691733598706
42,tensor(0.8467),0.36607441276311875
43,tensor(0.8800),0.35952457070350646
44,tensor(0.8233),0.3457512666285038
45,tensor(0.8633),0.34245064660906793
46,tensor(0.8200),0.34895360872149467
47,tensor(0.8700),0.33887690752744676
48,tensor(0.8933),0.33777348637580873
49,tensor(0.8700),0.3274142874777317
50,tensor(0.8833),0.32570391714572905
51,tensor(0.9000),0.329039231389761
52,tensor(0.9000),0.3248766128718853
53,tensor(0.9000),0.3201543201506138
54,tensor(0.9167),0.29903149977326393
55,tensor(0.9167),0.2832426072657108
56,tensor(0.8933),0.28391792222857476
57,tensor(0.9000),0.27100526183843615
58,tensor(0.9200),0.24439161837100984
59,tensor(0.9267),0.21696107946336268
60,tensor(0.9533),0.17602892592549324
61,tensor(0.9467),0.17183912556618453
62,tensor(0.9833),0.15660223439335824
