,accuracy,loss
0,tensor(0.5233),1.0306657421588898
1,tensor(0.5200),1.002863082885742
2,tensor(0.4500),1.0297536951303483
3,tensor(0.5267),1.0054773056507111
4,tensor(0.5000),1.0077505546808243
5,tensor(0.5167),1.003208673596382
6,tensor(0.5267),1.0012484794855119
7,tensor(0.4467),1.0193740969896317
8,tensor(0.4967),1.004561408162117
9,tensor(0.4733),1.0109409648180008
10,tensor(0.5167),1.0014647895097732
11,tensor(0.5533),0.9917992246150971
12,tensor(0.4967),1.0045808845758437
13,tensor(0.5100),1.000077537894249
14,tensor(0.5033),1.0096763557195663
15,tensor(0.5233),1.0031084513664246
16,tensor(0.5567),0.9860540699958801
17,tensor(0.5367),1.000965770483017
18,tensor(0.5033),1.0095991450548172
19,tensor(0.5033),1.003179036974907
20,tensor(0.4900),1.0114490562677383
21,tensor(0.5400),0.994729967713356
22,tensor(0.5300),1.0090239387750626
23,tensor(0.4967),1.0065541338920594
24,tensor(0.5000),1.0047869819402695
25,tensor(0.5167),0.995165314078331
26,tensor(0.4967),1.0125363236665725
27,tensor(0.5200),1.003147897720337
28,tensor(0.4833),1.002558649778366
29,tensor(0.5233),1.0031378936767579
30,tensor(0.5200),0.998951542377472
31,tensor(0.4967),1.005545687675476
32,tensor(0.5000),0.9976568043231964
33,tensor(0.4700),1.0023830145597459
34,tensor(0.5600),0.9918656253814697
35,tensor(0.5800),0.972975201010704
36,tensor(0.5000),1.0179769587516785
37,tensor(0.5233),0.9979687738418579
38,tensor(0.5600),0.9926574939489364
39,tensor(0.5800),0.9859522712230683
40,tensor(0.5200),1.000097165107727
41,tensor(0.4433),1.0060489398241044
42,tensor(0.5100),0.9987003540992737
43,tensor(0.5167),0.9982025730609894
44,tensor(0.5167),0.9955663591623306
45,tensor(0.5467),0.9801842206716538
46,tensor(0.5233),0.9818892580270767
47,tensor(0.5000),0.9999423086643219
48,tensor(0.5400),0.966110827922821
49,tensor(0.6200),0.8726058900356293
50,tensor(0.6500),0.7224191454052925
51,tensor(0.6633),0.6895723670721055
52,tensor(0.6933),0.6833134546875954
53,tensor(0.6633),0.673958591222763
54,tensor(0.6333),0.6971053600311279
55,tensor(0.5233),1.1057310044765472
56,tensor(0.4867),1.0270376586914063
57,tensor(0.5433),0.9694753986597061
58,tensor(0.5800),0.9409755915403366
