,Model Identifier,Matrix
18,RNN-10-10-18,"[[ 0.          0.61112518  0.45672481  0.86791861  0.20274387  0.43621341
   0.61112518  0.98550287  0.          0.61112518  0.43621341  0.63275011]
 [-0.05538826  0.25421469 -0.00916522 -0.05538826 -0.05538826 -0.00916522
   0.25421469 -0.03550532  0.          0.25421469 -0.00916522  0.21769497]]"
19,RNN-10-10-19,"[[0.99537844 0.99537844 0.3216673  0.         0.99537844 0.39691153
  0.46566705 0.99537844 0.99537844 0.01377398 0.86557394 0.00402277]
 [0.         0.         0.66234979 0.93671044 0.09187649 0.64507205
  0.39720288 0.         0.09187649 0.93671044 0.03786072 0.16731893]]"
20,RNN-10-10-20,"[[ 0.67066179  0.58890155  0.69455479  0.19768587  0.67066179  0.78558882
   0.07666506  0.         -0.04648103  0.17371359  0.51147907  0.33959868]
 [ 0.1201695  -0.01364202  0.06819698 -0.01364202  0.1201695   0.
  -0.01364202 -0.01364202  0.00877554 -0.01364202 -0.01364202 -0.01364202]]"
21,RNN-10-10-21,"[[0.58389406 0.89088234 0.89088234 0.51403893 0.83448654 0.44118114
  0.         0.80793466 0.69773916 0.58389406 0.12843498 0.29470428]
 [0.8734907  0.8734907  0.         0.15574781 0.60910343 0.22498927
  0.8734907  0.60910343 0.35939205 0.8734907  0.60910343 0.25033699]]"
22,RNN-10-10-22,"[[0.37732506 0.97354677 0.06017006 0.         0.37732506 0.77989701
  0.0287263  0.00930353 0.97354677 0.93212967 0.90864452 0.83561483]
 [0.84308232 0.         0.89531987 0.84308232 0.38818965 0.18490467
  0.93531987 0.84308232 0.08416516 0.05661628 0.04416516 0.160498  ]]"
23,RNN-10-10-23,"[[0.99970178 0.06240226 0.4699204  0.         0.4699204  0.99970178
  0.80614875 0.99970178 0.46026403 0.41999888 0.99970178 0.32240226]
 [0.50397633 0.         0.86530736 0.92530736 0.86530736 0.35755255
  0.72774732 0.15933541 0.86530736 0.86530736 0.26019918 0.86530736]]"
24,RNN-10-10-24,"[[5.07499349e-01 5.07499349e-01 4.09915098e-01 9.73324797e-01
  0.00000000e+00 5.21684330e-02 3.43937892e-01 1.84399644e-01
  9.73324797e-01 4.28916443e-01 5.07499349e-01 4.09915098e-01]
 [4.92750449e-01 4.92750449e-01 2.37079652e-01 0.00000000e+00
  8.23814529e-04 4.52750449e-01 4.17881766e-01 8.43702114e-02
  0.00000000e+00 4.92750449e-01 4.92750449e-01 2.37079652e-01]]"
25,RNN-10-10-25,"[[0.14085393 0.51777828 0.51777828 0.51777828 0.03888914 0.51777828
  0.25888914 0.25888914 0.00064862 0.25888914 0.51777828 0.        ]
 [0.0069786  0.23816576 0.23816576 0.34211992 0.12510048 0.23816576
  0.44629155 0.44629155 0.         0.44629155 0.23816576 0.54373421]]"
26,RNN-10-10-26,"[[1.02653812 0.59752707 0.40260589 0.83685925 0.11453778 0.73947663
  0.83685925 0.04160003 0.93595162 0.47100917 0.         0.14587926]
 [0.93973865 0.93973865 0.34017798 0.         0.5632124  0.08979775
  0.00984651 0.7645419  0.77698663 0.28220957 0.93973865 0.54981735]]"
27,RNN-10-10-27,"[[0.61047897 0.40182424 0.53651256 0.64067447 0.         0.61047897
  0.61047897 0.20630366 0.51177043 0.64067447 0.20630366 0.30664667]
 [0.34290122 0.13586898 0.07988348 0.02997902 0.01571119 0.24117789
  0.         0.50515685 0.21309672 0.02997902 0.50515685 0.14966321]]"
28,RNN-10-10-28,"[[-0.08090811 -0.08090811 -0.01167875 -0.08090811 -0.08090811  0.
   0.11328201 -0.08090811  0.11328201  0.11328201 -0.08090811 -0.08090811]
 [ 0.90436586  0.15357914  0.66285057  0.86436586  0.27559564  0.
   0.47264011  0.26308785  0.48791991  0.47264011  0.          0.26308785]]"
29,RNN-10-10-29,"[[0.99272715 0.99272715 0.99272715 0.99272715 0.         0.67392111
  0.34885018 0.99272715 0.14185616 0.67392111 0.99272715 0.99272715]
 [0.12479202 0.12479202 0.04200104 0.12479202 0.01211719 0.04200104
  0.12479202 0.04200104 0.         0.04200104 0.12479202 0.08881465]]"
30,RNN-10-10-30,"[[ 0.59775103  0.4810536  -0.00512697  0.59775103  0.07810411  0.71971909
   0.71971909  0.71971909 -0.00512697 -0.00512697  0.20284704  0.        ]
 [ 0.5363559   0.31529328  0.77830829  0.02562219  0.17341464  0.24394224
   0.          0.06040102  0.77830829  0.77830829  0.5363559   0.77830829]]"
31,RNNA-10-10-0,"[[0.27194255 0.17447065 0.36565065 0.27194255 0.22906519 0.11641153
  0.27194255 0.27194255 0.0340969  0.19820353 0.         0.14083518]
 [0.07553836 0.13618593 0.00052215 0.07553836 0.15357466 0.15357466
  0.         0.07553836 0.22799264 0.11799403 0.22799264 0.1694682 ]]"
32,RNNA-10-10-1,"[[-0.01025615  0.18786791  0.28010221  0.34515081  0.31640348  0.
   0.35701113 -0.03068483  0.15888845  0.00418824  0.24167943  0.21180076]
 [ 0.50440267  0.42175604  0.43950042  0.1233455  -0.06883344 -0.08257533
  -0.0840921   0.50440267  0.50440267  0.          0.333541    0.39505934]]"
33,RNNA-10-10-2,"[[ 0.31091219  0.          0.31091219  0.16363971  0.16363971  0.32510947
   0.06873931  0.16363971  0.0162649   0.31091219  0.10386284  0.16363971]
 [-0.02782169  0.18826379  0.          0.09646363  0.09646363 -0.02782169
   0.0463585   0.02823464  0.18826379 -0.02782169  0.07319694  0.06678183]]"
34,RNNA-10-10-3,"[[ 0.24856391  0.29178578  0.2065666   0.11458456  0.29178578  0.15809623
   0.04254846  0.          0.30197076  0.30197076  0.30197076  0.03391477]
 [ 0.00620827  0.00971892  0.00460363 -0.00162261  0.00971892  0.
   0.10176159 -0.00162261  0.06155909  0.06155909  0.06155909  0.02653328]]"
35,RNNA-10-10-4,"[[ 0.38120713  0.3571845   0.          0.36204401  0.36752648  0.0715086
   0.38120713  0.22994445  0.3571845   0.02968318 -0.0362049   0.36752648]
 [ 0.16179437  0.17289585  0.          0.17289585  0.07711584  0.16179437
   0.05766316  0.16179437  0.10201809  0.16179437  0.00119026  0.07711584]]"
36,RNNA-10-10-5,"[[-0.07075354 -0.05941231  0.         -0.05662141  0.08759223 -0.0098557
  -0.0298557   0.0790447   0.02101211  0.02101211 -0.07075354 -0.04132627]
 [ 0.          0.12502601  0.16154085  0.29672967  0.28690816  0.29853776
   0.25580119  0.16154085  0.22796505  0.22796505  0.2761856   0.12013519]]"
37,RNNA-10-10-6,"[[-0.00300321  0.11699679 -0.10164801  0.11699679  0.0755797   0.
   0.11699679  0.11699679  0.03435017 -0.05668125 -0.11952065 -0.01668125]
 [ 0.04022475 -0.00331724  0.15732468  0.0999292  -0.02390455  0.
   0.12548121  0.10614693  0.12057896  0.1297758   0.18280714 -0.0082046 ]]"
38,RNNA-10-10-7,"[[ 1.32261525e-01 -2.30048610e-04  5.55396734e-02 -2.30048610e-04
   4.68408475e-03 -2.30048610e-04 -2.30048610e-04  7.22166096e-02
   1.51810728e-02  3.40468986e-02 -2.30048610e-04  0.00000000e+00]
 [ 0.00000000e+00  3.58618283e-01  2.32741311e-01  3.58618283e-01
   3.58618283e-01  3.58618283e-01  3.58618283e-01  1.11281399e-01
   1.73767754e-01  2.79455162e-01  3.58618283e-01  3.46370019e-01]]"
39,RNNA-10-10-8,"[[ 0.35724637  0.11133188  0.34552028  0.01537166  0.01537166 -0.03399191
   0.01537166  0.0275014   0.01537166  0.13233054  0.          0.15924405]
 [ 0.16918365  0.26009951  0.21102426  0.38518406  0.38518406  0.
   0.39905228  0.39905228  0.39905228  0.32434553  0.36495318  0.24808535]]"
40,RNNA-10-10-9,"[[0.4038876  0.41216095 0.39600118 0.03081124 0.3302896  0.67975148
  0.25778691 0.2621262  0.14735502 0.4993556  0.         0.41216095]
 [0.35042547 0.35042547 0.35042547 0.35042547 0.05600656 0.
  0.27954772 0.27469287 0.35042547 0.18825687 0.30527636 0.3437462 ]]"
