Kind,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Kmeans_song_1_treshold,Kmeans_song_2_treshold,Kmeans_song_3_treshold,Kmeans_song_4_treshold,Song_1_Nodes_exceeding_treshold,Song_2_Nodes_exceeding_treshold,Song_3_Nodes_exceeding_treshold,Song_4_Nodes_exceeding_treshold,Total_Nodes_exceeding_treshold,degree_2_overlapp,degree_3_overlapp,degree_4_overlapp,sum_of_degree_overlapp,Total_Overlapp_percentage_by20,overlapp_column1,overlapp_column2,overlapp_column3,overlapp_column4,overlapp_column5,overlapp_column6,overlapp_column7,overlapp_column8,overlapp_column9,overlapp_column10,overlapp_column11,overlapp_column12,overlapp_column13,overlapp_column14,overlapp_column15,overlapp_column16,overlapp_column17,overlapp_column18,overlapp_column19,overlapp_column20
GRU,46,37.002,0.4625,0.2896,0.8113,0.0,0.3844,0.4282,0.3958,0.4006,13,13,12,11,49,6,5,5,16,0.005875,0.5,1.0,0.75,0.75,0.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.0,0.75,0.0,0.75,0.75
GRU,47,36.9016,0.4612,0.2938,0.8112,-0.0042,0.3636,0.4288,0.4015,0.4298,14,12,11,11,48,6,4,5,15,0.0055,1.0,0.75,0.0,0.5,0.0,0.5,0.75,0.75,1.0,0.5,1.0,0.5,1.0,0.75,0.5,1.0,0.0,0.5,0.0,0.0
GRU,48,36.7079,0.4588,0.2895,0.8113,0.0,0.4088,0.4299,0.3972,0.3821,13,12,11,12,48,7,5,4,16,0.005625,0.75,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.75,0.75,0.5,0.75,0.0,0.5,0.0,1.0,0.75,0.5,0.5,1.0
GRU,49,37.0834,0.4635,0.2945,0.8112,-0.003,0.3945,0.3987,0.406,0.408,13,13,11,12,49,7,7,3,17,0.005875,0.5,0.75,0.0,0.75,0.5,0.75,0.5,1.0,0.75,0.5,0.5,0.75,0.0,0.5,0.0,1.0,0.75,0.5,0.75,1.0
GRUA,0,27.7194,0.3463,0.257,0.7696,-0.0065,0.4099,0.354,0.3539,0.3155,12,8,8,9,37,7,3,2,12,0.003875,0.75,0.75,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.75,0.5,0.0
GRUA,1,32.7372,0.4092,0.2916,0.8112,0.0,0.4286,0.3835,0.3935,0.3489,11,11,11,10,43,5,8,1,14,0.00475,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.75,1.0,0.75,0.0,0.5,0.5,0.75,0.5,0.5,0.75,0.0,0.5,0.75
GRUA,2,21.9727,0.2746,0.2538,0.8111,-0.0039,0.4325,0.3448,0.2674,0.342,11,6,5,4,26,5,1,2,8,0.002625,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.75
GRUA,3,26.8141,0.3351,0.2751,0.7672,-0.0035,0.4177,0.37,0.3743,0.3304,13,7,6,7,33,2,4,1,7,0.0025,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.75,0.0,0.75,0.0,0.0
GRUA,4,19.1955,0.2399,0.2245,0.8111,0.0,0.3724,0.2787,0.2435,0.1673,13,4,5,9,31,5,1,3,9,0.003125,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.75,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0
GRUA,5,25.8031,0.3225,0.2499,0.7851,0.0,0.395,0.354,0.3228,0.3241,11,8,8,8,35,4,3,2,9,0.003125,0.75,0.5,0.0,0.75,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0
GRUA,6,28.8907,0.3611,0.2716,0.7993,0.0,0.3979,0.3772,0.3537,0.385,12,9,7,9,37,5,5,1,11,0.003625,0.5,0.5,0.0,0.0,0.5,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.75
GRUA,7,29.9704,0.3743,0.2732,0.7854,-0.0105,0.4057,0.3763,0.3322,0.3592,10,10,11,10,41,5,5,3,13,0.004625,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.75,1.0,0.5,0.5,0.5,0.0,0.75,0.75,0.5,0.75
GRUA,8,32.7776,0.4097,0.2895,0.8113,-0.0018,0.4375,0.3918,0.4115,0.387,13,10,8,9,40,5,3,4,12,0.004375,1.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.75,0.0,0.75,1.0,1.0,1.0,0.5,0.0
GRUA,9,23.5742,0.2946,0.2703,0.8113,-0.0028,0.4393,0.329,0.3191,0.3028,12,7,5,6,30,4,1,3,8,0.002875,0.5,0.0,0.75,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0
GRUA,10,25.078,0.3135,0.2615,0.8107,0.0,0.3953,0.3205,0.3365,0.367,10,9,6,8,33,4,4,2,10,0.0035,0.5,0.0,0.75,1.0,0.0,0.0,0.5,0.0,0.0,0.75,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.5,0.75,0.0
