Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
RNNA,10,10,9,6.8325,0.2847,0.1665,4.0,0.6506,0.0,0.2798,0.1973,7,9,16,4,0,8,0.5,0.5,2.0463
RNNA,10,10,10,2.1153,0.0881,0.0469,3.9069,0.17,0.0,0.0762,0.079,6,9,15,3,0,9,0.3333,0.3333,0.6027
RNNA,10,10,11,4.7705,0.1969,0.1665,3.1699,0.4516,-0.0228,0.2178,0.2552,4,5,9,0,3,9,0.0,0.0,0.5868
RNNA,10,10,12,6.4715,0.2691,0.2607,3.7004,0.7399,-0.0048,0.1086,0.4172,7,6,13,1,0,11,0.0909,0.0909,0.8894
RNNA,10,10,13,7.7215,0.3217,0.2115,3.9069,0.7552,0.0,0.2343,0.3245,9,6,15,3,0,9,0.3333,0.3333,1.9474
RNNA,10,10,14,2.715,0.1127,0.1046,3.585,0.3428,-0.0041,0.1342,0.0811,7,5,12,4,4,4,0.5,1.0,0.6665
RNNA,10,10,15,8.1882,0.34,0.2733,3.585,0.8847,-0.0068,0.488,0.2292,4,8,12,0,0,12,0.0,0.0,1.5944
RNNA,10,10,16,4.9691,0.2015,0.2242,3.3219,0.6141,-0.0238,0.0544,0.3204,2,8,10,1,3,8,0.0909,0.125,0.3488
RNNA,10,10,17,8.7305,0.3638,0.2252,3.7004,0.7663,0.0,0.3645,0.3325,6,7,13,1,0,11,0.0909,0.0909,2.0571
RNNA,10,10,18,3.4666,0.1401,0.1563,4.0,0.3803,-0.0218,0.0154,0.1846,7,9,16,5,1,6,0.7143,0.8333,0.2328
RNNA,10,10,19,1.502,0.0626,0.0251,4.3923,0.0845,0.0,0.032,0.0412,11,10,21,10,1,1,5.0,10.0,0.657
