,Model Identifier,Matrix
19,RNN-10-10-19,"[[0.9729286  0.9729286  0.39125484 0.         0.9729286  0.45119991
  0.32554954 0.9729286  0.83499666 0.00129288 0.9729286  0.0871873 ]
 [0.17477875 0.15977629 0.45848883 0.87204201 0.         0.39301013
  0.90813842 0.15977629 0.64784546 0.96423482 0.01025755 0.49389966]]"
20,RNN-10-10-20,"[[ 0.39301169  0.83542442  0.52633036  0.5692652   0.39301169  0.7527778
   0.20274524  0.          0.03717191  0.5692652   0.57442577  0.5692652 ]
 [ 0.19919273 -0.04377297 -0.01046364 -0.02797654  0.19919273 -0.04548945
  -0.02797654  0.         -0.04548945 -0.02797654 -0.03880895 -0.02797654]]"
21,RNN-10-10-21,"[[0.25138808 0.38633735 0.94041979 0.94041979 0.78222788 0.94041979
  0.         0.78222788 0.53230636 0.29671978 0.78222788 0.86517556]
 [0.77647367 0.77647367 0.         0.20439971 0.63187466 0.25806429
  0.77647367 0.63187466 0.43716791 0.71563514 0.63187466 0.30699496]]"
22,RNN-10-10-22,"[[0.36756624 0.98124487 0.08524996 0.         0.36756624 0.76691367
  0.06971177 0.         0.98124487 0.94514847 0.87722224 0.84743335]
 [0.84694761 0.05191284 0.84694761 0.9245593  0.37663509 0.12975225
  0.86481762 0.9245593  0.02068726 0.         0.19749746 0.11083638]]"
23,RNN-10-10-23,"[[ 0.86260406 -0.0032203   0.43644303  0.          0.38247662  0.86260406
   0.81425939  0.86260406  0.26195474  0.37024396  0.86260406  0.43644303]
 [ 0.63420776  0.          0.98144193  0.98144193  0.98144193  0.47892082
   0.97347281  0.16021389  0.98144193  0.98144193  0.34947625  0.98144193]]"
24,RNN-10-10-24,"[[0.64497674 0.64497674 0.37529654 0.99513254 0.         0.15430134
  0.50370124 0.05459314 0.99513254 0.50370124 0.64497674 0.37529654]
 [0.28979711 0.28979711 0.45937254 0.         0.17845648 0.10913777
  0.28979711 0.001898   0.         0.45937254 0.28979711 0.45937254]]"
25,RNN-10-10-25,"[[ 0.13826609  0.50028856  0.50028856  0.50028856 -0.00565557  0.50028856
   0.27060229  0.27060229  0.01060229  0.27060229  0.44942689  0.        ]
 [-0.05208411  0.23058035  0.23058035  0.60979737  0.10268029  0.23058035
   0.38011109  0.38011109  0.          0.38011109  0.24499079  0.63819842]]"
26,RNN-10-10-26,"[[9.95181072e-01 9.29714686e-02 5.92380567e-01 9.48281513e-01
  3.69290907e-01 7.96534583e-01 9.95181072e-01 2.48944846e-01
  9.95181072e-01 6.08136778e-01 0.00000000e+00 4.33650532e-01]
 [9.96438862e-01 9.96438862e-01 7.37549725e-01 1.34055822e-04
  3.96261297e-01 5.70663189e-02 0.00000000e+00 6.22146534e-01
  1.58839559e-01 7.37549725e-01 9.96438862e-01 4.16261297e-01]]"
27,RNN-10-10-27,"[[ 4.17067043e-01  4.17067043e-01  2.10143868e-01  4.41490694e-01
   0.00000000e+00  4.17067043e-01  3.02010379e-01  2.37692743e-01
   1.06110408e-01  4.41490694e-01  2.10143868e-01  5.88670060e-02]
 [ 5.52118922e-01  5.03654517e-02  1.47265053e-01 -3.41075297e-03
   1.61753329e-02  3.67643833e-01 -2.27578815e-04  2.58841061e-01
   1.86648252e-01  0.00000000e+00  2.58841061e-01  1.86648252e-01]]"
28,RNN-10-10-28,"[[-0.08016846 -0.08016846 -0.02836911  0.         -0.08016846 -0.08016846
   0.19880016 -0.08016846  0.19880016  0.19880016 -0.08016846 -0.08016846]
 [ 0.88892239  0.08013643  0.74170267  0.88892239  0.26110311  0.
   0.42472413  0.20068467  0.42472413  0.42472413  0.          0.26110311]]"
