,Model Identifier,Matrix
338,GRU-10-15-28,"[[0.98531282 0.98531282 0.06948208 0.40979475 0.         0.98531282
  0.40979475 0.06948208 0.24729059 0.76177098 0.06948208 0.5608687 ]
 [0.98819522 0.         0.98819522 0.46198846 0.98819522 0.01124114
  0.46198846 0.98819522 0.68915773 0.93519132 0.98819522 0.24731313]]"
339,GRU-10-15-29,"[[0.42457802 0.96328667 0.96328667 0.78955032 0.96328667 0.96328667
  0.         0.         0.07299289 0.2242106  0.96328667 0.        ]
 [0.26051854 0.90665148 0.         0.10236861 0.         0.
  0.90665148 0.90665148 0.21892695 0.58453715 0.51190778 0.90665148]]"
340,GRU-10-15-30,"[[0.43062555 0.         0.9759066  0.9759066  0.25703266 0.
  0.9759066  0.         0.70525338 0.92018878 0.01835551 0.9759066 ]
 [0.99329824 0.99329824 0.24120313 0.26535531 0.50874516 0.99329824
  0.         0.99329824 0.76092983 0.01245918 0.96574936 0.        ]]"
341,GRUA-10-15-0,"[[ 0.20839175  0.09439235  0.03158632  0.09439235  0.02404393  0.03984168
   0.02032858 -0.01041993  0.          0.09439235 -0.0102042   0.07691349]
 [ 0.01176348  0.21941223  0.053596    0.23450998  0.20354994  0.18932216
   0.05808798  0.07271789  0.07361333  0.21941223  0.02904306  0.        ]]"
342,GRUA-10-15-1,"[[ 0.08402332  0.08402332  0.08402332  0.08402332  0.08402332  0.01435072
   0.          0.13275435  0.3819829   0.08402332  0.08402332 -0.05654273]
 [ 0.05949536  0.         -0.10666567  0.05949536  0.05949536 -0.00928305
  -0.10666567 -0.10666567 -0.09869655  0.05949536  0.05949536 -0.10666567]]"
343,GRUA-10-15-2,"[[-0.01531793  0.         -0.02561724  0.13640938  0.06498151  0.13640938
   0.13640938  0.01911465 -0.02561724 -0.02561724  0.13640938 -0.02561724]
 [ 0.83773755  0.4231152   0.99685794  0.          0.17776429  0.
   0.          0.36341518  0.67647237  0.99685794  0.          0.99685794]]"
344,GRUA-10-15-3,"[[ 0.06651886  0.2696999   0.00799683  0.46365796  0.37831855  0.1674141
   0.11984672  0.25676299  0.          0.16231964  0.          0.48339115]
 [ 0.04138991  0.08603385 -0.05729461 -0.09201121 -0.09201121 -0.09201121
   0.04138991  0.129519   -0.05729461  0.         -0.05729461 -0.09201121]]"
345,GRUA-10-15-4,"[[ 0.60082511  0.05879385  0.11067805  0.04553948  0.03261944  0.60082511
   0.11067805  0.09373155  0.04553948  0.46772467  0.          0.11147996]
 [-0.01778633  0.59254896  0.43886831  0.50377056  0.49622168  0.
   0.38663064  0.40183378  0.50377056  0.00458531  0.13778461  0.37598926]]"
346,GRUA-10-15-5,"[[ 0.08980217  0.38968664  0.25527284  0.38968664  0.          0.
   0.09308286  0.06877067  0.          0.          0.29094361  0.        ]
 [ 0.31355814  0.18258518 -0.0018559   0.18258518  0.49364568  0.49364568
   0.29577801  0.32798022  0.49364568  0.49364568  0.          0.49364568]]"
347,GRUA-10-15-6,"[[ 0.62791918  0.27165007  0.27165007  0.31442717  0.62791918  0.62791918
   0.12529624  0.57957451  0.62791918  0.62791918  0.          0.57957451]
 [-0.00275659  0.25438666  0.25438666  0.25438666 -0.00275659 -0.00275659
   0.08750946  0.00642116 -0.00275659 -0.00275659  0.          0.00642116]]"
348,GRUA-10-15-7,"[[0.02719174 0.11542168 0.         0.         0.02719174 0.11542168
  0.12396921 0.01027473 0.         0.01027473 0.11542168 0.11741899]
 [0.32751442 0.2506527  0.00951972 0.00951972 0.         0.2506527
  0.2506527  0.32751442 0.00951972 0.29161964 0.34851308 0.22406144]]"
349,GRUA-10-15-8,"[[ 0.22246597  0.22246597  0.          0.12547393  0.1919567   0.05349165
   0.05349165  0.06072402  0.05349165  0.01502958  0.11985218  0.22246597]
 [ 0.0846856   0.02368694  0.120782   -0.01020263 -0.03209573  0.120782
   0.120782    0.02368694  0.120782    0.         -0.00138437 -0.0579043 ]]"
350,GRUA-10-15-9,"[[-6.50895056e-04  2.43086794e-01  8.88680666e-02  2.24821553e-01
   0.00000000e+00  2.57867350e-01  1.75163531e-01  1.16592594e-01
   3.11758590e-03  2.24821553e-01  2.66470334e-01  1.75163531e-01]
 [ 1.47212839e-02  0.00000000e+00  3.34417568e-02 -7.92138735e-03
   1.34417568e-02 -2.23988001e-03 -8.93519660e-03 -5.52663198e-03
   3.34417568e-02  4.58928818e-02 -4.63084273e-03 -4.11127971e-05]]"
351,GRUA-10-15-10,"[[0.15183899 0.03407599 0.18045058 0.15183899 0.00450188 0.05084228
  0.18045058 0.07202659 0.15183899 0.11482557 0.18045058 0.        ]
 [0.4316652  0.65403053 0.25755176 0.41535259 0.73685586 0.58341359
  0.24310332 0.68002901 0.41535259 0.         0.23085506 0.73685586]]"
352,GRUA-10-15-11,"[[0.19688041 0.19688041 0.02730555 0.21623109 0.0969838  0.24377997
  0.12741982 0.19688041 0.01254029 0.24377997 0.19688041 0.        ]
 [0.56411086 0.43906424 0.67044886 0.08183161 0.49498763 0.00661402
  0.53247542 0.01407256 0.72531754 0.         0.01407256 0.67044886]]"
353,GRUA-10-15-12,"[[0.12450602 0.13119817 0.13807072 0.13807072 0.13807072 0.13807072
  0.13807072 0.13807072 0.13807072 0.13807072 0.12450602 0.        ]
 [0.03163991 0.06836821 0.02918085 0.02918085 0.02918085 0.02918085
  0.02918085 0.01124891 0.02918085 0.03425381 0.0488468  0.        ]]"
354,GRUA-10-15-13,"[[ 0.05871227  0.08214072  0.03136246  0.          0.04111623  0.02412579
   0.03124334  0.05871227  0.08214072  0.08214072  0.02412579  0.        ]
 [ 0.05410215 -0.00018939 -0.01067612  0.05410215  0.          0.15907858
   0.13152971  0.00355363 -0.03331298  0.02109825 -0.03404036 -0.03331298]]"
355,GRUA-10-15-14,"[[ 0.61010691  0.52958722  0.83351425  0.83351425  0.83351425  0.83351425
   0.51370196  0.17949554  0.          0.83351425  0.29579538  0.42868405]
 [ 0.05745602 -0.0568341  -0.02951429  0.00445212  0.         -0.0568341
   0.05745602 -0.04984581  0.2157327  -0.0568341   0.17075627  0.2157327 ]]"
356,GRUA-10-15-15,"[[ 0.0810387   0.13154976  0.09795389  0.11383915  0.13154976  0.
   0.13154976  0.02652602 -0.0028822   0.13154976 -0.00115581  0.13154976]
 [ 0.00675423 -0.01361734  0.          0.15360304 -0.01361734 -0.02414271
  -0.01361734  0.10250213 -0.02183626 -0.01361734  0.11931638 -0.01361734]]"
357,GRUA-10-15-16,"[[ 0.07186385 -0.0049164   0.08177633  0.08177633  0.08177633 -0.00099511
   0.08177633 -0.0049164   0.08177633  0.00559225  0.         -0.0049164 ]
 [ 0.20829131  0.20829131  0.          0.01078095  0.01078095  0.20829131
   0.01078095  0.20829131  0.01078095  0.11998662  0.08243751  0.20829131]]"
358,GRUA-10-15-17,"[[ 0.49778369  0.03990102  0.05422902  0.84592652  0.49778369  0.55816919
   0.41587575  0.7015409   0.53615925  0.22492519  0.84592652  0.        ]
 [-0.05472091  0.04485493  0.05316505 -0.07788339 -0.06654754  0.
  -0.05589946 -0.07990313  0.00424728 -0.03124147  0.04485493  0.04485493]]"
359,GRUA-10-15-18,"[[-0.01481322  0.         -0.02002388 -0.02002388 -0.00180418 -0.00772846
  -0.02002388 -0.02002388 -0.02002388 -0.02002388  0.09096377 -0.02002388]
 [ 0.10513951  0.10513951  0.10513951 -0.00198176  0.         -0.01100509
   0.10513951  0.10513951  0.10513951  0.06778432  0.10513951  0.00585537]]"
360,GRUA-10-15-19,"[[ 0.51886358  0.          0.10041163  0.43607773  0.00655324  0.31659436
   0.45726072  0.2437575   0.72881482  0.05913462  0.67308981  0.72881482]
 [ 0.20849017  0.1192023  -0.00325346  0.01333049  0.04931454  0.15790367
   0.01333049  0.0686158   0.01380686  0.20849017  0.          0.01380686]]"
361,GRUA-10-15-20,"[[ 0.21303367  0.05077804  0.21303367 -0.01819102  0.21303367  0.01450715
   0.21303367  0.21303367  0.         -0.01819102  0.0040262   0.21303367]
 [ 0.03458445  0.          0.03458445  0.21749053  0.03458445  0.31867849
   0.03458445  0.03458445  0.24780455  0.10500826  0.36703845  0.03458445]]"
362,GRUA-10-15-21,"[[-0.00601911 -0.04020728 -0.0022392   0.02564721 -0.01066274  0.00976424
  -0.03584921 -0.01066274  0.04174361  0.         -0.00256227 -0.00944685]
 [ 0.17970192  0.02467954  0.          0.09976785  0.17970192  0.10554903
   0.08024413  0.17970192  0.21215304  0.15889083  0.17479967  0.15889083]]"
363,GRUA-10-15-22,"[[ 0.09852266 -0.07568102  0.09852266 -0.07568102 -0.07059345 -0.07568102
   0.         -0.07568102 -0.07568102 -0.07568102  0.09852266  0.09852266]
 [ 0.          0.53710412  0.          0.86126895  0.63626673  0.86126895
   0.57579241  0.67213061  0.86126895  0.86126895  0.          0.        ]]"
364,GRUA-10-15-23,"[[ 0.08917057  0.08917057  0.08917057  0.          0.08917057  0.08917057
   0.02406907 -0.00426356 -0.00426356  0.08917057  0.08917057  0.00365063]
 [ 0.40587921  0.05675998  0.05162564  0.51959544  0.06065771  0.05343609
   0.61560735  0.28361717  0.          0.13577728  0.05527092  0.60805847]]"
365,GRUA-10-15-24,"[[-0.01136933  0.09675008 -0.01614622  0.00749399  0.09675008  0.09675008
   0.09675008  0.05472603 -0.01614622 -0.01614622  0.          0.09675008]
 [ 0.48300599  0.01530634  0.48300599  0.38315246  0.01359769  0.01359769
   0.01359769  0.48024752  0.48300599  0.48300599  0.          0.01359769]]"
366,GRUA-10-15-25,"[[ 0.57881043 -0.00428348  0.1930657   0.08583055  0.46582183  0.78783655
   0.33107035  0.22771592  0.02127625  0.          0.78783655  0.51272139]
 [ 0.11625779  0.07725644 -0.06527834  0.11625779 -0.16374221 -0.17331764
  -0.14986911 -0.13678239  0.         -0.15308553 -0.17331764  0.00691447]]"
367,GRUA-10-15-26,"[[ 0.0444233   0.03197218  0.0444233   0.          0.03197218  0.03197218
   0.0444233  -0.02921482  0.0444233  -0.04491352  0.02974399 -0.03939394]
 [ 0.04318495  0.14800965  0.20617247  0.15295299  0.14800965  0.14800965
   0.04318495  0.06536303  0.         -0.0534267   0.02873651 -0.0539662 ]]"
368,GRUA-10-15-27,"[[ 0.0613841   0.02813719  0.0613841   0.0613841  -0.04934063  0.02813719
   0.         -0.00092697 -0.04056358  0.00487191 -0.04959277 -0.02622022]
 [ 0.31511024  0.0867219   0.00363156  0.25632958  0.41675821  0.0867219
   0.25567361  0.35633977  0.04655215  0.37775687  0.20312798  0.        ]]"
369,GRUA-10-15-28,"[[ 0.27309226  0.73219647  0.57296301  0.54750799  0.11878687  0.36451202
   0.81503066 -0.00448449  0.81503066 -0.00448449  0.23309226  0.        ]
 [ 0.15539735  0.00290903  0.10139986  0.04194916  0.03308417  0.44514856
  -0.02085551  0.44514856  0.          0.44514856  0.15539735  0.44514856]]"
370,GRUA-10-15-29,"[[ 0.03922879 -0.02110332  0.3751043   0.40590294  0.          0.76070965
   0.38487156  0.76070965  0.29642316  0.76070965  0.63090515  0.17859019]
 [ 0.47909319  0.42632524  0.19381219  0.1315459   0.47909319 -0.00198687
   0.18588929  0.          0.24755972  0.01291948  0.05137355  0.37289231]]"
371,GRUA-10-15-30,"[[ 0.25188495  0.25188495  0.02139552 -0.00283473 -0.00715676  0.25188495
  -0.00715676 -0.00383338  0.20555774  0.          0.2469827   0.25188495]
 [ 0.06208909  0.04901722  0.26540125  0.38195297  0.38500439  0.06208909
   0.          0.34941622  0.06709908  0.34679548  0.03597963  0.06208909]]"
372,RNN-20-20-0,"[[0.26871335 0.88101154 0.00960166 0.45096417 0.98365817 0.
  0.88101154 0.46726956 0.98365817 0.08275302 0.         0.7537715 ]
 [0.35211196 0.46622716 0.         0.77095261 0.03197558 0.01181722
  0.49377604 0.77095261 0.03197558 0.22336696 0.01181722 0.10556478]]"
373,RNN-20-20-1,"[[0.98679661 0.         0.88414998 0.59663915 0.98679661 0.92537951
  0.34982505 0.04970638 0.24153583 0.68790159 0.         0.75021818]
 [0.         0.02879087 0.49538049 0.49538049 0.         0.49538049
  0.22564771 0.44237659 0.22564771 0.11715752 0.02879087 0.44237659]]"
374,RNN-20-20-2,"[[ 0.26710713  0.99857907  0.57129017  0.50980784  0.          0.99857907
   0.50980784  0.83632345  0.03597911  0.99857907  0.35161593  0.99857907]
 [ 0.67087232 -0.00126561  0.19395777  0.63600364  0.          0.63600364
   0.33151458  0.03025515  0.58376609  0.63600364  0.67087232 -0.00126561]]"
375,RNN-20-20-3,"[[ 0.02907207  0.35736926 -0.07921715  0.02907207  0.49805321 -0.07921715
   0.49805321 -0.09446932  0.35736926  0.          0.49805321 -0.08809413]
 [ 0.97075692  0.49330204  0.87340354  0.97075692  0.          0.87340354
   0.          0.97075692  0.44006467  0.12442167  0.70768771  0.97075692]]"
376,RNN-20-20-4,"[[ 8.05216580e-01  8.05216580e-01  8.05216580e-01  5.47294955e-01
   5.07950661e-01  8.05216580e-01  8.05216580e-01  6.34265266e-01
   8.05216580e-01  2.94179200e-01  8.05216580e-01  0.00000000e+00]
 [-5.28816691e-02 -5.28816691e-02 -5.28816691e-02  2.34848078e-01
   2.62167886e-01  0.00000000e+00  6.60034564e-04  3.33177709e-01
   1.12828212e-01  3.33177709e-01  1.45431332e-01  6.05061540e-02]]"
377,RNN-20-20-5,"[[0.00614166 0.40225586 0.40225586 0.03296709 0.03296709 0.17360656
  0.17360656 0.17360656 0.15084487 0.00614166 0.03296709 0.        ]
 [0.44040971 0.98988203 0.98988203 0.         0.02000903 0.73368385
  0.73368385 0.73368385 0.24187697 0.44040971 0.         0.42701466]]"
378,RNN-20-20-6,"[[0.97875329 0.         0.54360598 0.97875329 0.3491293  0.97875329
  0.45013138 0.92789163 0.3491293  0.03797944 0.97875329 0.97875329]
 [0.212162   0.9701596  0.78334599 0.         0.9701596  0.
  0.9701596  0.17851743 0.9701596  0.53920829 0.11530988 0.        ]]"
379,RNN-20-20-7,"[[ 0.0122231   0.42711418  0.53205752  0.          0.37876951  0.05736637
   0.42711418 -0.00666641  0.42711418  0.48350999  0.19596111  0.19596111]
 [ 1.06708033  0.          0.34202856  0.92998527  0.69502185  0.0103239
   0.75381976  0.88959427  0.50683425  0.25975564  0.91714314  0.86959427]]"
380,RNN-20-20-8,"[[ 0.09987245 -0.00859031  0.         -0.00859031  0.65514546  0.65514546
   0.20828074  0.65514546  0.31750138 -0.00859031  0.02451531  0.2342231 ]
 [ 0.87784319  0.99740055  0.99740055  0.99740055  0.00930353  0.
   0.50868267  0.99740055  0.04263071  0.99740055  0.61366751  0.48747903]]"
381,RNN-20-20-9,"[[0.01153554 0.49821211 0.91243866 0.         0.99527285 0.91243866
  0.04168653 0.3741484  0.99527285 0.91243866 0.74630688 0.99527285]
 [0.99172776 0.99172776 0.16936262 0.99172776 0.00733606 0.41136651
  0.         0.78482985 0.02100955 0.38302184 0.29213429 0.02100955]]"
382,RNN-20-20-10,"[[0.78038096 0.83677677 0.78038096 0.42371413 0.78038096 0.33982444
  0.31290184 0.5967497  0.91202099 0.         0.14985686 0.78038096]
 [0.09927158 0.2959811  0.18429998 0.12561168 0.0444029  0.01129373
  0.18429998 0.         0.2959811  0.23958529 0.00287348 0.0444029 ]]"
383,RNN-20-20-11,"[[ 0.22616334  0.0203504   0.          0.89072672  0.0203504   0.5314108
   0.99567006  0.99567006  0.80264592  0.99567006  0.44910131  0.37439404]
 [ 0.22078403 -0.01131958  0.26522511  0.01665163 -0.01131958  0.08357533
   0.         -0.01131958  0.28871026 -0.01131958  0.1525828   0.16603439]]"
384,RNN-20-20-12,"[[0.99676382 0.1880624  0.41823004 0.99676382 0.94590215 0.
  0.99676382 0.04342011 0.69054428 0.99676382 0.96921494 0.97676382]
 [0.31206285 0.07464424 0.64472898 0.         0.00192019 0.42495986
  0.         0.48547991 0.31206285 0.04067645 0.02191108 0.10895999]]"
385,RNN-20-20-13,"[[ 0.99048522  0.86827233  0.99048522  0.47391015  0.9580341   0.9580341
   0.          0.00943929  0.99048522  0.40004745  0.03735022  0.916617  ]
 [-0.03775412 -0.07134999 -0.07134999  0.19193215 -0.0636111  -0.05546473
   0.14227413 -0.05546473 -0.07134999  0.19193215  0.         -0.05546473]]"
386,RNN-20-20-14,"[[-0.03163299  0.          0.075805    0.55698134  0.79971899 -0.03163299
   0.75137432 -0.0059093   0.75137432  0.39698299  0.25591035  0.75137432]
 [ 0.98009703  0.98009703  0.15059208  0.92812451  0.01890078  0.98009703
   0.0558898   0.98009703  0.98009703  0.63404997  0.41879044  0.        ]]"
387,RNN-20-20-15,"[[0.42152923 0.02386173 0.36049072 0.         0.69721338 0.75863228
  0.01173753 0.15998677 0.42152923 0.09075801 0.67579628 0.69721338]
 [0.99601966 0.99601966 0.99601966 0.94115098 0.31987817 0.
  0.99601966 0.83504522 0.87646231 0.56484283 0.06395615 0.19127552]]"
388,RNN-20-20-16,"[[ 0.9388569   0.41032776  0.82746293  0.14059499  0.85388047 -0.0027519
   0.9388569   0.9388569   0.9388569   0.9388569   0.53773016  0.        ]
 [ 0.          0.5210279   0.99759272  0.75777521  0.94458882  0.99759272
   0.02160885  0.99759272  0.          0.          0.32683778  0.00709297]]"
389,RNN-20-20-17,"[[8.98211570e-01 7.46249829e-01 0.00000000e+00 5.08834215e-01
  6.48034557e-01 8.94880108e-04 9.12214125e-01 0.00000000e+00
  3.93579924e-01 8.75694398e-01 4.09518171e-01 4.68834215e-01]
 [0.00000000e+00 1.81939492e-02 3.07360536e-01 3.07360536e-01
  5.57430583e-02 2.62557763e-03 0.00000000e+00 3.07360536e-01
  3.85363226e-01 4.53632262e-02 3.85363226e-01 1.67360536e-01]]"
390,RNN-20-20-18,"[[4.62210513e-01 8.59515898e-01 6.84507799e-01 9.16035626e-01
  9.16035626e-01 1.72164307e-01 8.59515898e-01 9.49642344e-02
  4.04813603e-01 0.00000000e+00 1.35365004e-01 9.16035626e-01]
 [3.56067916e-01 6.23411986e-01 1.53951046e-01 0.00000000e+00
  1.14104342e-02 3.02529168e-01 7.19303258e-04 5.77798645e-01
  6.23411986e-01 6.23411986e-01 3.23732809e-01 9.11567564e-02]]"
391,RNN-20-20-19,"[[0.98325769 0.         0.41122651 0.         0.98325769 0.39534124
  0.25012903 0.7847028  0.98325769 0.53756343 0.39534124 0.1483001 ]
 [0.         0.99107176 0.75540096 0.99107176 0.16887994 0.75540096
  0.99107176 0.99107176 0.         0.36671777 0.75540096 0.62596067]]"
392,RNN-20-20-20,"[[0.9938307  0.37126933 0.12568944 0.54052865 0.41246036 0.9938307
  0.         0.30231726 0.9938307  0.30231726 0.07603142 0.85608633]
 [0.01645258 0.63765027 0.9336158  0.23047162 0.535381   0.
  0.8038113  0.75546663 0.01645258 0.75546663 0.9336158  0.38066223]]"
393,RNN-20-20-21,"[[0.97050087 0.16518246 0.         0.62289891 0.99884554 0.92084285
  0.66963181 0.04005022 0.39018467 0.08437467 0.64480355 0.99884554]
 [0.08598224 0.19325153 0.81502101 0.42674783 0.         0.08598224
  0.40037486 0.81502101 0.61951106 0.86031426 0.42674783 0.01946555]]"
394,RNN-20-20-22,"[[0.99513254 0.06018527 0.99513254 0.39714039 0.56547617 0.
  0.26733589 0.02867425 0.99513254 0.99513254 0.         0.99513254]
 [0.         0.99946555 0.         0.37633211 0.60117738 0.99946555
  0.250836   0.99946555 0.         0.         0.99946555 0.0507913 ]]"
395,RNN-20-20-23,"[[ 0.17688705  0.78983806  0.57693757  0.          0.99884554  0.99884554
   0.          0.78498283  0.99884554  0.39944257  0.99884554  0.99884554]
 [ 0.80293926  0.32374345  0.6490367   0.80293926 -0.01712838  0.00904763
   0.80293926  0.3690367   0.          0.08899474 -0.01712838 -0.01712838]]"
396,RNN-20-20-24,"[[0.07704292 0.63238234 0.02936002 0.56330038 0.63238234 0.07704292
  0.54896077 0.2232564  0.63238234 0.         0.         0.54235413]
 [0.84814744 0.38934039 0.98922008 0.5476792  0.98922008 0.84814744
  0.60296451 0.13858023 0.         0.98922008 0.98922008 0.66119011]]"
397,RNN-20-20-25,"[[ 0.89259782  0.59243941  0.79888973  0.89259782  0.93608298  0.04682635
   0.89259782  0.93608298  0.01069113  0.25360849  0.83731251  0.        ]
 [-0.01253252  0.49960345  0.02312535  0.36493164  0.          0.80247799
   0.11614764 -0.01253252  0.89471554  0.89471554  0.31406998  0.89471554]]"
398,RNN-20-20-26,"[[ 0.23404885  0.          0.3642886   0.57198743  0.3642886   0.0047335
   0.04674117  0.13864825  0.57198743  0.26245141  0.57198743  0.48274565]
 [ 0.78108375  0.83680157  0.52108375  0.59427014  0.21207954  0.83680157
   0.69610733  0.40679363  0.0025932   0.83680157  0.         -0.06507331]]"
399,RNN-20-20-27,"[[0.96050563 0.04559431 0.29757239 0.96050563 0.80746064 0.
  0.96050563 0.49570389 0.67809366 0.96050563 0.96050563 0.67609977]
 [0.60688687 0.10789554 0.45831009 0.         0.26606375 0.70307982
  0.         0.82846063 0.82846063 0.82846063 0.02922564 0.82846063]]"
400,RNN-20-20-28,"[[ 0.74793004  0.07086574  0.78038117  0.74793004  0.74793004  0.74793004
   0.          0.83605913  0.83605913 -0.03060773  0.24515298  0.74793004]
 [ 0.30221863 -0.06363699  0.30221863  0.30221863  0.30221863  0.30221863
   0.          0.30221863  0.30221863 -0.10809373 -0.09784494  0.30221863]]"
401,RNN-20-20-29,"[[0.88958085 0.47228931 0.         0.88958085 0.00933523 0.76004663
  0.24512003 0.24512003 0.02735978 0.88958085 0.38731288 0.        ]
 [0.99882865 0.35441153 0.99882865 0.5168812  0.02209616 0.47435792
  0.71107132 0.19013114 0.         0.5168812  0.38721358 0.99882865]]"
402,RNN-20-20-30,"[[ 0.83045797  0.88773736  0.93628489  0.02427121  0.          0.19173059
   0.83045797  0.90873601  0.78516472  0.05517078  0.35802084  0.93628489]
 [ 0.19678352 -0.0303166   0.         -0.06082817  0.77461262  0.77461262
   0.19678352  0.01678452  0.72375096 -0.02121817  0.77461262 -0.06082817]]"
403,RNNA-20-20-0,"[[ 0.01201882  0.08434143  0.         -0.00778087 -0.00778087  0.05032032
   0.07381605  0.07804952  0.08434143  0.07804952  0.0681546   0.01201882]
 [ 0.72065499  0.00154554  0.25456028  0.72065499  0.72196834  0.10357876
   0.40879538  0.45021247  0.4639555   0.39036797  0.          0.59420578]]"
404,RNNA-20-20-1,"[[ 0.10935959  0.11226453  0.01483375  0.03562063 -0.00971788  0.09773015
   0.05271569  0.          0.01483375  0.10935959  0.09773015 -0.0084413 ]
 [ 0.01685465  0.00379712  0.09214422  0.          0.07652679  0.01685465
   0.09214422  0.09214422  0.09214422  0.05655807  0.05655807  0.03165582]]"
405,RNNA-20-20-2,"[[-0.01507374  0.03925104  0.03642579  0.03642579  0.03642579  0.
  -0.01507374 -0.03304323  0.03642579  0.03642579 -0.03313429 -0.03227479]
 [-0.0404803  -0.0204839   0.          0.00844459 -0.02890879  0.00844459
  -0.0404803  -0.01910429 -0.0411582  -0.0411582  -0.04057973 -0.01910429]]"
406,RNNA-20-20-3,"[[ 0.22954677  0.02987868  0.27340297  0.          0.3631042   0.27340297
   0.32874679  0.3347168   0.37207017  0.1296976   0.35571545  0.37207017]
 [ 0.00922869  0.13477925  0.04044805  0.13477925  0.10643458 -0.00103588
   0.00162474 -0.00062986 -0.00104017  0.00922869  0.         -0.00089787]]"
407,RNNA-20-20-4,"[[ 0.0006265   0.02638248  0.01285388  0.04133235  0.01285388 -0.00132807
  -0.00132807  0.02638248  0.         -0.00132807 -0.00132807 -0.00132807]
 [-0.02726212 -0.02726212  0.01013234 -0.02726212 -0.01476991  0.
  -0.02726212 -0.00373588 -0.02726212 -0.02726212 -0.02726212 -0.02726212]]"
408,RNNA-20-20-5,"[[ 5.47867831e-03  1.58206563e-02 -2.62596502e-03  1.03381914e-02
  -3.85437696e-03  0.00000000e+00 -3.85437696e-03 -2.62596502e-03
  -3.85437696e-03  5.47867831e-03 -1.75941647e-04 -3.85437696e-03]
 [ 4.11996251e-01  3.87438265e-01  4.43968407e-01  2.48776737e-01
   1.07135880e-01  3.04494555e-01  4.28870657e-01  4.11996251e-01
   3.11913644e-01  3.76957010e-01  0.00000000e+00  9.66280403e-03]]"
409,RNNA-20-20-6,"[[ 0.09498738  0.16314456  0.          0.27247228  0.27247228  0.16314456
   0.14007861  0.01079114  0.03974029  0.27247228  0.02776533  0.27247228]
 [ 0.01289621  0.          0.24960532 -0.09047356 -0.09047356  0.05165585
  -0.00299926  0.22205644  0.15028927 -0.09047356  0.12749783 -0.09047356]]"
410,RNNA-20-20-7,"[[ 0.10910191 -0.04167731  0.00708062 -0.06993888  0.00708062 -0.02167731
  -0.05413956  0.02534142 -0.06993888 -0.05173151 -0.06239001  0.        ]
 [ 0.02227387  0.02227387  0.02227387 -0.02549893  0.02227387  0.00552815
   0.00552815  0.00079827 -0.02588409  0.00552815  0.         -0.00819001]]"
411,RNNA-20-20-8,"[[-0.01203164  0.00593785  0.03013572  0.03013572 -0.02385754  0.04442709
  -0.01203164 -0.02385754 -0.01271976  0.          0.01540118  0.03561819]
 [ 0.67122549  0.62168781  0.0292885  -0.00307649  0.71264259  0.33035822
   0.69264259  0.1655871   0.71264259  0.          0.41835758  0.26177288]]"
412,RNNA-20-20-9,"[[-0.00994133 -0.00994133  0.01215972 -0.00994133  0.01215972 -0.00627698
   0.01483224 -0.00994133 -0.00627698 -0.00994133 -0.002552    0.        ]
 [ 0.69723043  0.71590173  0.56697907  0.13620752  0.7248677   0.67203263
   0.48119333  0.69723043  0.67203263  0.29617826  0.64879966  0.        ]]"
413,RNNA-20-20-10,"[[ 1.66387296e-01  8.02615169e-02  4.17008130e-02  0.00000000e+00
   1.26407839e-01  5.12647328e-02  1.66387296e-01  1.56120069e-01
   5.16291933e-06  1.66387296e-01  8.72419679e-02  1.01988265e-01]
 [ 4.27823113e-02 -5.88072468e-03  5.28222374e-02  5.37644397e-02
   0.00000000e+00  5.17376114e-02  4.76845613e-02  4.27823113e-02
   5.35504114e-02  4.27823113e-02  2.43482920e-02  7.04988144e-03]]"
414,RNNA-20-20-11,"[[ 0.0311439   0.01679453  0.01679453  0.          0.02489717  0.01679453
   0.030044    0.030044    0.0412553   0.030044    0.0511439   0.01679453]
 [ 0.04201149  0.09854412  0.09854412  0.04201149 -0.02578591  0.09854412
   0.01138029  0.00827555 -0.00164636  0.          0.01138029  0.09854412]]"
415,RNNA-20-20-12,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 4.44089210e-16 0.00000000e+00 4.44089210e-16
  0.00000000e+00 0.00000000e+00 4.44089210e-16 8.88178420e-16]
 [1.32687137e-01 0.00000000e+00 6.68948530e-02 7.89782593e-02
  1.07784887e-01 6.68948530e-02 1.07784887e-01 9.92373576e-02
  1.07784887e-01 5.77170994e-02 9.08773918e-02 1.07784887e-01]]"
416,RNNA-20-20-13,"[[ 0.16470362  0.16470362  0.16470362  0.03292332  0.15247096  0.16470362
   0.05176255  0.          0.05176255  0.03292332 -0.00317308  0.05176255]
 [ 0.002185    0.00584058  0.002185    0.          0.02090938  0.
   0.04745297  0.06993673  0.1131143   0.          0.08842689  0.1131143 ]]"
417,RNNA-20-20-14,"[[ 0.02168143  0.07137136  0.0917898   0.07019986  0.02464525  0.01371849
   0.07137136  0.07137136  0.07137136  0.07137136  0.          0.032034  ]
 [ 0.05020844  0.05020844  0.01887501 -0.00252429  0.00315596  0.00342792
   0.04743313  0.05020844  0.          0.0109768  -0.00493018  0.0109768 ]]"
