,Kind,Min_Length,Max_Length,Unnamed: 0,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
0,GRU,10,10,139.0,15.0,12.586503225806451,0.524141935483871,0.39011612903225806,3.5978999999999997,0.9881935483870968,-0.001435483870967742,0.5204387096774193,0.5144161290322581,6.354838709677419,5.806451612903226,1.4516129032258065,1.2903225806451613,9.258064516129032,0.1517774193548387,0.18696774193548388,2.550367741935484
1,GRU,10,15,325.0,15.0,12.821429032258063,0.5342161290322581,0.40245806451612903,3.569477419354839,0.9945935483870968,-2.258064516129032e-05,0.5421322580645161,0.5294354838709678,5.709677419354839,6.258064516129032,1.3548387096774193,1.3870967741935485,9.258064516129032,0.1420967741935484,0.17586774193548388,2.454325806451613
2,GRU,20,20,511.0,15.0,12.637529032258064,0.5264612903225806,0.38869677419354837,3.6198129032258066,0.985016129032258,-0.0012096774193548388,0.5076193548387097,0.5223709677419355,6.225806451612903,6.161290322580645,1.4838709677419355,1.096774193548387,9.419354838709678,0.16128387096774194,0.20174516129032258,2.545690322580645
3,GRU,20,25,697.0,15.0,12.484125806451614,0.5185516129032258,0.38920000000000005,3.6113419354838707,0.9864225806451613,-0.003977419354838709,0.5139870967741935,0.49802580645161293,5.967741935483871,6.32258064516129,1.6451612903225807,1.3548387096774193,9.0,0.17125483870967742,0.21410645161290323,2.5254290322580646
4,GRU,30,30,883.0,15.0,12.847051612903226,0.5352774193548386,0.3896741935483871,3.683283870967742,0.9902000000000001,-0.0001225806451612903,0.5100612903225806,0.5053,6.516129032258065,6.419354838709677,2.064516129032258,1.1290322580645162,8.806451612903226,0.24666451612903226,0.30988387096774195,2.7294419354838713
5,GRU,30,35,1069.0,15.0,12.816454838709678,0.5340225806451613,0.38343548387096776,3.6815387096774197,0.9846129032258064,0.0,0.5089193548387096,0.507183870967742,6.387096774193548,6.516129032258065,2.129032258064516,1.2258064516129032,8.64516129032258,0.24539354838709676,0.3048354838709677,2.841551612903226
6,GRU,40,40,1255.0,15.0,12.633261290322581,0.5263548387096775,0.4049322580645161,3.6027354838709678,0.9920774193548387,-0.00018064516129032257,0.5097451612903227,0.5275967741935483,6.483870967741935,5.709677419354839,1.096774193548387,0.9032258064516129,10.0,0.10771612903225807,0.1232,2.1637193548387095
7,GRU,40,45,1441.0,15.0,12.267261290322582,0.5110774193548386,0.3836548387096774,3.634587096774194,0.9747870967741935,-0.0007548387096774193,0.4947064516129032,0.49744516129032257,6.451612903225806,6.032258064516129,1.6774193548387097,1.1935483870967742,9.129032258064516,0.18170967741935484,0.22206129032258062,2.386825806451613
8,GRU,50,50,1627.0,15.0,12.692632258064517,0.5288612903225807,0.38917741935483874,3.6200064516129036,0.9797645161290321,-3.8709677419354835e-05,0.5213,0.5182129032258064,6.193548387096774,6.161290322580645,1.2903225806451613,0.9354838709677419,9.774193548387096,0.13225161290322582,0.14990967741935482,2.438803225806452
9,GRU,50,55,1813.0,15.0,13.000645161290322,0.5416935483870968,0.3940064516129032,3.7040870967741935,0.9786870967741936,0.0,0.4984548387096774,0.5187419354838709,6.516129032258065,6.580645161290323,2.096774193548387,1.0,8.903225806451612,0.22902258064516126,0.2631096774193548,2.7492903225806455
10,GRUA,10,10,170.0,15.0,4.602238709677419,0.17323225806451611,0.17963548387096773,3.570490322580645,0.5008967741935484,-0.04121612903225807,0.17707096774193548,0.15566451612903226,6.354838709677419,6.903225806451613,2.064516129032258,1.8064516129032258,8.129032258064516,0.258858064516129,0.325741935483871,0.7284032258064517
11,GRUA,10,15,356.0,15.0,4.051654838709677,0.1519774193548387,0.17807741935483873,3.551261290322581,0.48752903225806454,-0.0466516129032258,0.14721612903225806,0.15251935483870968,6.419354838709677,6.032258064516129,1.7419354838709677,1.8387096774193548,8.419354838709678,0.2068064516129032,0.28206451612903227,0.46638064516129035
12,GRUA,20,20,542.0,15.0,2.936222580645161,0.11023548387096774,0.13202580645161288,3.531367741935484,0.3630677419354839,-0.03319032258064516,0.08071290322580645,0.13954193548387098,6.838709677419355,5.935483870967742,2.0,2.193548387096774,7.806451612903226,0.26985806451612904,0.4456516129032258,0.34444516129032254
13,GRUA,20,25,728.0,15.0,2.2925193548387095,0.08315806451612903,0.11032903225806451,3.4254225806451615,0.2911709677419355,-0.035422580645161295,0.10549354838709678,0.07234516129032259,5.709677419354839,6.483870967741935,2.225806451612903,2.870967741935484,6.903225806451613,0.4836451612903226,0.9319387096774193,0.25333225806451615
14,GRUA,30,30,914.0,15.0,1.4186354838709676,0.04975483870967742,0.06417741935483871,3.337354838709677,0.1680258064516129,-0.02750967741935484,0.04798387096774194,0.05664193548387097,6.387096774193548,6.0,2.096774193548387,3.225806451612903,6.67741935483871,0.28090645161290323,0.34024516129032256,0.13893548387096774
15,GRUA,30,35,1100.0,15.0,1.7630451612903226,0.06450967741935484,0.0785967741935484,3.5131548387096774,0.21283225806451614,-0.02894516129032258,0.07425161290322581,0.04753225806451613,6.451612903225806,6.419354838709677,3.032258064516129,2.806451612903226,6.161290322580645,0.43774193548387097,0.7934612903225806,0.2388483870967742
16,GRUA,40,40,1286.0,15.0,1.6167935483870968,0.061219354838709675,0.0731483870967742,3.2363677419354837,0.20026129032258064,-0.018970967741935487,0.06394516129032259,0.0684483870967742,5.483870967741935,5.741935483870968,2.4516129032258065,4.225806451612903,5.32258064516129,0.4007193548387097,0.9128258064516129,0.27190000000000003
17,GRUA,40,45,1472.0,15.0,1.0753967741935484,0.03370322580645161,0.04974193548387097,3.426925806451613,0.12429354838709677,-0.027219354838709676,0.03427741935483871,0.033677419354838714,7.612903225806452,6.483870967741935,3.064516129032258,3.3225806451612905,5.612903225806452,0.5520129032258064,1.063748387096774,0.11291290322580645
18,GRUA,50,50,1658.0,15.0,1.2964096774193548,0.047703225806451616,0.05881290322580645,3.5658290322580646,0.15065806451612904,-0.021412903225806454,0.052641935483870965,0.034970967741935484,6.580645161290323,7.129032258064516,3.5161290322580645,3.3870967741935485,5.096774193548387,0.5940935483870968,1.1286354838709676,0.19793870967741936
19,GRUA,50,55,1844.0,15.0,0.9899451612903226,0.03616451612903226,0.04348387096774193,3.3188096774193547,0.12303548387096773,-0.013316129032258064,0.03307741935483871,0.03914838709677419,5.354838709677419,6.838709677419355,2.3548387096774195,3.7096774193548385,5.935483870967742,0.6092967741935484,0.5485903225806451,0.15229354838709677
20,LSTM,10,10,77.0,15.0,11.22771935483871,0.4674451612903226,0.3641193548387097,3.4933774193548386,0.9673838709677419,-0.002574193548387097,0.4856,0.4841032258064516,5.741935483870968,5.645161290322581,1.1935483870967742,1.8064516129032258,9.0,0.14180967741935485,0.20415806451612903,2.1455870967741935
21,LSTM,10,15,263.0,15.0,11.01492258064516,0.45739032258064516,0.3648258064516129,3.465474193548387,0.9438032258064516,-0.004906451612903226,0.4754129032258064,0.47936774193548387,5.806451612903226,5.387096774193548,1.7741935483870968,2.5806451612903225,7.645161290322581,0.19908709677419356,0.3299,2.177616129032258
22,LSTM,20,20,449.0,15.0,10.473519354838709,0.4347774193548387,0.3500645161290323,3.5610645161290324,0.9568322580645161,-0.004129032258064516,0.4282774193548387,0.43504516129032256,6.161290322580645,5.806451612903226,1.7096774193548387,1.7419354838709677,8.548387096774194,0.25516774193548386,0.2128645161290323,2.0497516129032256
23,LSTM,20,25,635.0,15.0,10.588606451612904,0.4374290322580645,0.35088387096774193,3.5119677419354836,0.9577225806451612,-0.009083870967741936,0.4676677419354839,0.4226516129032258,5.516129032258065,6.225806451612903,1.3870967741935485,1.8387096774193548,8.774193548387096,0.1562741935483871,0.2113,2.018774193548387
24,LSTM,30,30,821.0,15.0,10.569958064516129,0.4390903225806452,0.34725161290322576,3.5563548387096775,0.9571322580645161,-0.005438709677419355,0.4494548387096774,0.42415806451612903,6.032258064516129,5.903225806451613,2.032258064516129,2.096774193548387,7.870967741935484,0.25588064516129033,0.366041935483871,2.118283870967742
25,LSTM,30,35,1007.0,15.0,10.681183870967741,0.4436645161290323,0.35917096774193547,3.5894483870967746,0.9417258064516129,-0.0059064516129032265,0.4415709677419355,0.4360645161290323,6.096774193548387,6.064516129032258,1.8064516129032258,1.6451612903225807,8.548387096774194,0.2069032258064516,0.2671903225806452,1.9100709677419356
26,LSTM,40,40,1193.0,15.0,10.20163870967742,0.42053225806451616,0.3449838709677419,3.6175838709677417,0.9304967741935485,-0.014748387096774193,0.41104838709677416,0.3984483870967742,5.935483870967742,6.483870967741935,2.225806451612903,1.8064516129032258,7.967741935483871,0.2764064516129032,0.3730548387096774,2.0831419354838707
27,LSTM,40,45,1379.0,15.0,10.37871612903226,0.4272903225806452,0.35211612903225803,3.5872677419354835,0.9653612903225807,-0.021138709677419355,0.4293451612903226,0.41247741935483867,6.483870967741935,5.645161290322581,1.935483870967742,1.8064516129032258,8.258064516129032,0.2202,0.30442580645161293,1.9595064516129033
28,LSTM,50,50,1565.0,15.0,10.65884193548387,0.4434774193548387,0.3388129032258064,3.6208612903225808,0.9261419354838709,-0.004977419354838709,0.40424838709677424,0.4423064516129032,6.258064516129032,6.225806451612903,2.3225806451612905,1.8387096774193548,7.838709677419355,0.31189354838709676,0.24831935483870968,2.333554838709677
29,LSTM,50,55,1751.0,15.0,10.481016129032257,0.43422903225806453,0.33259032258064514,3.5689129032258067,0.9160677419354839,-0.011961290322580646,0.4235419354838709,0.43959677419354837,6.193548387096774,5.806451612903226,2.161290322580645,2.161290322580645,7.67741935483871,0.2487451612903226,0.38554516129032257,2.3300419354838713
30,LSTMA,10,10,108.0,15.0,4.614216129032258,0.18485806451612902,0.15850967741935484,3.673987096774194,0.44480000000000003,-0.025070967741935485,0.1930193548387097,0.15655806451612903,6.903225806451613,6.354838709677419,2.838709677419355,1.8064516129032258,7.354838709677419,0.4042387096774193,0.5928709677419354,0.9244870967741935
31,LSTMA,10,15,294.0,15.0,5.049596774193549,0.20122258064516127,0.1848,3.484051612903226,0.5266645161290322,-0.02904193548387097,0.20367419354838712,0.19302580645161288,6.225806451612903,5.838709677419355,1.5161290322580645,1.967741935483871,8.516129032258064,0.1853064516129032,0.3006935483870968,0.8025322580645161
32,LSTMA,20,20,480.0,15.0,1.966983870967742,0.07240645161290322,0.09132903225806452,3.2946677419354837,0.24586129032258064,-0.026661290322580647,0.07453225806451612,0.07712903225806451,6.0,5.032258064516129,2.3870967741935485,4.032258064516129,5.580645161290323,0.3355483870967742,0.681758064516129,0.2714064516129032
33,LSTMA,20,25,666.0,15.0,1.8451870967741937,0.06859354838709678,0.08310645161290323,3.321041935483871,0.23842258064516128,-0.021638709677419352,0.06966451612903227,0.08478387096774193,5.774193548387097,5.903225806451613,2.3870967741935485,3.7419354838709675,5.870967741935484,0.4460516129032258,0.5457096774193549,0.2524677419354839
34,LSTMA,30,30,852.0,15.0,1.0207387096774194,0.034148387096774195,0.04879677419354839,3.327945161290322,0.1273935483870968,-0.021103225806451614,0.024277419354838712,0.04721290322580645,7.32258064516129,5.645161290322581,2.870967741935484,3.870967741935484,5.258064516129032,0.45604838709677414,0.6461483870967741,0.1258258064516129
35,LSTMA,30,35,1038.0,15.0,0.7129225806451613,0.022258064516129033,0.03711290322580645,3.262674193548387,0.09483225806451613,-0.01617741935483871,0.021403225806451612,0.02580967741935484,6.193548387096774,6.064516129032258,2.5483870967741935,3.935483870967742,5.516129032258065,0.45167741935483874,0.6947741935483871,0.06418064516129032
