Kind,epoch,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Kmeans_song_1_treshold,Kmeans_song_2_treshold,Kmeans_song_3_treshold,Kmeans_song_4_treshold,Song_1_Nodes_exceeding_treshold,Song_2_Nodes_exceeding_treshold,Song_3_Nodes_exceeding_treshold,Song_4_Nodes_exceeding_treshold,Total_Nodes_exceeding_treshold,degree_2_overlapp,degree_3_overlapp,degree_4_overlapp,sum_of_degree_overlapp,Total_Overlapp_percentage,overlapp_column1,overlapp_column2,overlapp_column3,overlapp_column4,overlapp_column5,overlapp_column6,overlapp_column7,overlapp_column8,overlapp_column9,overlapp_column10,overlapp_column11,overlapp_column12,overlapp_column13,overlapp_column14,overlapp_column15,overlapp_column16,overlapp_column17,overlapp_column18,overlapp_column19,overlapp_column20,song_1_song_2_11_overlap,song_1_song_3_11_overlap,song_1_song_4_11_overlap,song_2_song_3_11_overlap,song_2_song_4_11_overlap,song_3_song_4_11_overlap,total_pairwise_overlap_count,Binarized_Vector_Song_1,Binarized_Vector_Song_2,Binarized_Vector_Song_3,Binarized_Vector_Song_4
TF,1000,33,31.2751,0.3909,0.2508,0.7702,0.0,0.3663,0.3633,0.3388,0.315,12,12,12,12,48,5,9,2,16,56.25,0.75,0.75,0.75,0.5,0.0,1.0,0.5,0.0,0.75,0.75,0.0,0.5,0.75,0.75,0.75,0.75,0.0,1.0,0.5,0.5,8,8,6,8,7,7,44,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]"
TF,1000,34,27.9183,0.349,0.2341,0.7747,0.0,0.3295,0.3075,0.3192,0.3115,13,12,11,10,46,5,2,6,13,50.0,0.5,1.0,0.0,1.0,0.0,0.5,0.75,0.75,0.5,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,8,8,8,8,8,7,47,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1]","[0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]"
TF,1000,35,29.8124,0.3727,0.2362,0.7399,0.0,0.3633,0.3309,0.3234,0.3248,12,12,12,11,47,9,4,4,17,57.49999999999999,0.0,1.0,0.0,0.5,1.0,0.75,0.75,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.75,0.75,0.5,0.5,0.5,0.5,8,7,7,7,8,8,45,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1]","[0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]"
TF,1000,36,33.2326,0.4154,0.259,0.811,0.0,0.3846,0.3429,0.3449,0.3739,13,12,12,12,49,10,4,4,18,60.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.75,0.0,0.75,0.5,1.0,8,8,8,8,6,8,46,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1]","[0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1]"
TF,1000,37,32.1785,0.4022,0.2554,0.7703,0.0,0.3682,0.3939,0.3379,0.3453,11,12,12,12,47,7,6,3,16,55.00000000000001,0.75,0.75,0.5,0.5,0.5,0.75,0.5,0.0,0.5,0.75,0.75,0.75,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,6,7,8,7,8,7,43,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1]"
TF,1000,38,32.0034,0.4,0.2589,0.8111,0.0,0.4346,0.3169,0.3125,0.3505,12,12,12,12,48,7,5,4,16,56.25,0.75,0.5,0.0,0.5,0.5,1.0,0.5,0.75,0.75,0.5,1.0,0.0,0.75,1.0,0.0,0.0,0.5,1.0,0.5,0.75,8,7,7,6,9,9,46,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
TF,1000,39,32.244,0.4031,0.2559,0.783,0.0,0.3798,0.3567,0.3549,0.3572,11,13,11,12,47,11,5,2,18,56.25,0.5,0.75,0.5,0.0,0.5,0.75,0.0,0.5,0.5,0.5,0.75,0.5,1.0,0.5,1.0,0.75,0.75,0.5,0.5,0.5,7,7,6,5,7,6,38,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1]"
TF,1000,40,27.5365,0.3442,0.2253,0.7612,0.0,0.3774,0.3534,0.2899,0.2919,11,9,13,10,43,7,8,1,16,52.5,0.0,0.75,0.0,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.0,0.0,0.5,0.75,0.5,1.0,0.5,0.75,4,7,7,7,6,6,37,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]"
TF,1000,41,33.1786,0.4147,0.2768,0.7992,0.0,0.3897,0.3841,0.4028,0.4076,11,11,11,10,43,6,7,2,15,51.24999999999999,0.75,0.0,0.5,1.0,0.0,0.5,0.75,0.75,0.5,0.0,0.75,0.0,0.75,0.5,0.75,0.5,0.0,1.0,0.75,0.5,7,8,5,6,8,5,39,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0]","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1]"
TF,1000,42,33.0901,0.4136,0.2576,0.8112,0.0,0.3647,0.3673,0.3423,0.3657,12,12,13,12,49,4,5,5,14,53.75,0.0,0.0,1.0,0.75,0.0,0.0,0.5,1.0,1.0,0.75,1.0,0.75,1.0,0.5,0.75,0.75,0.0,0.5,0.0,0.5,7,8,8,9,9,8,49,"[0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0]"
