,Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold,Kmeans Nodes Exceeding,Overlap with zeroes,Overlap no zeroes,Sum of min
0,GRU,10,10,15.0,9.146134769488333,0.37432039065467315,0.33895835772437066,3.933340498358184,0.9900108035297246,-0.04694010211723751,0.47834253316723385,8.35483870967742,0.11199553135037006,0.16310803891449052,1.8877695031937762
1,GRU,10,15,15.0,8.935427163460028,0.3669430782150779,0.33932402856128824,3.913601959479997,0.990317168799894,-0.038197932545297644,0.5080818777829754,6.967741935483871,0.03763440860215053,0.06774193548387097,1.7827953292971954
2,GRU,20,20,15.0,8.078038201704485,0.3359605646111025,0.2570797951990862,4.061378521886509,0.7439633798566981,-0.00552943483011828,0.3338650925247059,12.096774193548388,0.2364613880742913,0.31377368151561696,1.9352393238770322
3,GRU,20,25,15.0,8.084626275323496,0.33620579531777045,0.2562534884742979,4.058044500979801,0.7401184034337353,-0.006417369775412966,0.3304317487012878,12.290322580645162,0.25432202206395754,0.32584485407066055,1.9357429907257384
4,GRU,30,30,15.0,7.853550753308049,0.3267193649927729,0.23579393402271073,4.086758398917193,0.639476193009026,-0.004295962496917317,0.31889089438871665,12.419354838709678,0.24222873900293254,0.3052995391705069,1.988935983257386
5,GRU,30,35,15.0,7.932761985210695,0.3295586564150786,0.2350447823307272,4.089946856516181,0.6209326622895012,-0.006606267466744062,0.3163717216946538,12.709677419354838,0.2973746683424103,0.390373783922171,2.020306803494417
6,GRU,40,40,15.0,6.752145812315742,0.28031200159701447,0.2053130323769693,4.075689129327405,0.5530488496592334,-0.007986228914541801,0.2783229488961101,12.096774193548388,0.28780896522832006,0.4306963645673323,1.6884053938079784
7,GRU,40,45,15.0,6.954637319165389,0.2881992140068151,0.20887837416649033,4.074826919612699,0.542491389771518,-0.01151278340533417,0.27909736022081993,12.516129032258064,0.3583158776707164,0.550179211469534,1.8789630347897968
8,GRU,50,50,15.0,6.020126006421351,0.24874122739279533,0.1986586115935388,4.011357891882862,0.5311634323076212,-0.01443216773627881,0.2746377901730897,10.548387096774194,0.2228878648233487,0.36205837173579114,1.4281084882212738
9,GRU,50,55,15.0,6.010226224289234,0.24817495053853614,0.19259664294643722,4.0281026032101925,0.5199688537763647,-0.012871136440304765,0.2558170244564606,11.741935483870968,0.38071498394079045,0.610867895545315,1.5210040971030128
10,GRUA,10,10,15.0,9.096890663501169,0.37245733673550224,0.3424344855198482,3.9106019199761484,0.990320476309494,-0.04054297113783266,0.4792338409446324,8.258064516129032,0.1003351487222455,0.150563236047107,1.8348455161714
11,GRUA,10,15,15.0,9.20157744895884,0.37810384018308646,0.34259436950999944,3.925428616401498,0.9890820326729215,-0.041064523701454476,0.5004861737774658,7.741935483870968,0.07436112274821953,0.1124167946748592,1.9390291578184768
12,GRUA,20,20,15.0,8.101688190558894,0.3371648382519629,0.2610284152288909,4.0511676208216985,0.7692292072611567,-0.004493013966316083,0.3391683555924002,11.96774193548387,0.22756598240469209,0.2906041986687148,1.9336155619175142
13,GRUA,20,25,15.0,8.333205663849686,0.3469693827359726,0.26274304761298706,4.068566296627814,0.7498727571682952,-0.0024385389733256736,0.34670876755215274,12.03225806451613,0.21867057673509288,0.27997951868919607,1.991697132958842
14,GRUA,30,30,15.0,7.639448995353338,0.3177007322075587,0.2329497051628006,4.069435675149425,0.6310313368140485,-0.004859800897680201,0.30861810342986523,12.516129032258064,0.29783549783549784,0.41735791090629804,1.9178515161705745
15,GRUA,30,35,15.0,7.837301233195463,0.3257853601730646,0.2403441925407956,4.066898337497922,0.6336263857242611,-0.005734044198263364,0.32115019248969995,12.258064516129032,0.225974025974026,0.29528929851510494,1.8972857984761597
