Type,min_length,max_length,Run1,Run2,Similarity
RNN-RNN,10,10,3,22,0.6705407842640186
RNN-RNN,10,10,3,23,0.8009925812083234
RNN-RNN,10,10,3,24,0.5755502097639498
RNN-RNN,10,10,3,25,0.6782440091058065
RNN-RNN,10,10,3,26,0.6204097371544164
RNN-RNN,10,10,3,27,0.6397918366697125
RNN-RNN,10,10,3,28,0.457261352464431
RNN-RNN,10,10,3,29,0.6872060367582289
RNN-RNN,10,10,3,30,0.5709494783958591
RNN-RNN,10,10,4,0,0.6543225008592588
RNN-RNN,10,10,4,1,0.33854363144698957
RNN-RNN,10,10,4,2,0.6213245401644749
RNN-RNN,10,10,4,3,0.5701889962253877
RNN-RNN,10,10,4,5,0.6382294035502538
RNN-RNN,10,10,4,6,0.6278721462960204
RNN-RNN,10,10,4,7,0.6749364539275506
RNN-RNN,10,10,4,8,0.7176035277255488
RNN-RNN,10,10,4,9,0.6811539122579647
RNN-RNN,10,10,4,10,0.6374533704817618
RNN-RNN,10,10,4,11,0.6339538696825294
RNN-RNN,10,10,4,12,0.8958580482800534
RNN-RNN,10,10,4,13,0.3309402008333454
RNN-RNN,10,10,4,14,0.7189843766536035
RNN-RNN,10,10,4,15,0.6797697737247526
RNN-RNN,10,10,4,16,0.4964192825991141
RNN-RNN,10,10,4,17,0.6831523185217727
RNN-RNN,10,10,4,18,0.5699165077207582
RNN-RNN,10,10,4,19,0.7916462254785546
RNN-RNN,10,10,4,20,0.4864481874395805
RNN-RNN,10,10,4,21,0.7245691801112643
RNN-RNN,10,10,4,22,0.551108204947336
RNN-RNN,10,10,4,23,0.6541340538726546
RNN-RNN,10,10,4,24,0.6954205956454609
RNN-RNN,10,10,4,25,0.5892789413148356
RNN-RNN,10,10,4,26,0.6492929208651216
RNN-RNN,10,10,4,27,0.5740148269564213
RNN-RNN,10,10,4,28,0.2539827241975874
RNN-RNN,10,10,4,29,0.6705297816688726
RNN-RNN,10,10,4,30,0.5199651563349765
RNN-RNN,10,10,5,0,0.6121378439712348
RNN-RNN,10,10,5,1,0.07658539930108302
RNN-RNN,10,10,5,2,0.7102181785088536
RNN-RNN,10,10,5,3,0.5749189393203743
RNN-RNN,10,10,5,4,0.6382294035502538
RNN-RNN,10,10,5,6,0.3862309130522534
RNN-RNN,10,10,5,7,0.6884870683640987
RNN-RNN,10,10,5,8,0.40721219192934505
RNN-RNN,10,10,5,9,0.825602961154815
RNN-RNN,10,10,5,10,0.6549258075466319
RNN-RNN,10,10,5,11,0.3639389434905883
RNN-RNN,10,10,5,12,0.5576889844915434
