,accuracy,loss
0,tensor(0.5600),0.9989800918102264
1,tensor(0.6033),0.9607900243997574
2,tensor(0.6767),0.8864453506469726
3,tensor(0.7000),0.6722066906094551
4,tensor(0.8033),0.5885299649834633
5,tensor(0.8333),0.4161012668907642
6,tensor(0.8633),0.3539330269396305
7,tensor(0.8667),0.3413660679757595
8,tensor(0.9000),0.3170685157179832
9,tensor(0.8667),0.32410393431782725
10,tensor(0.9433),0.24981435254216194
11,tensor(0.9267),0.22575062662363052
12,tensor(0.9233),0.22409806832671164
13,tensor(0.9967),0.1968534105271101
