,accuracy,loss
0,tensor(0.5700),0.9890395200252533
1,tensor(0.5733),0.9853610128164292
2,tensor(0.6333),0.9261282074451447
3,tensor(0.6867),0.7210230553150176
4,tensor(0.6900),0.6877320003509522
5,tensor(0.6967),0.6680056196451187
6,tensor(0.7233),0.6597142192721367
7,tensor(0.8067),0.6212457057833671
8,tensor(0.7900),0.5653809076547622
9,tensor(0.8200),0.43562596186995506
10,tensor(0.8967),0.3485304255783558
11,tensor(0.8900),0.31416858434677125
12,tensor(0.8933),0.2973525960743427
13,tensor(0.9333),0.23893745556473733
14,tensor(0.9467),0.22077362418174742
15,tensor(0.9400),0.22461087323725223
16,tensor(0.9567),0.19470577269792558
17,tensor(0.9667),0.1708108064904809
18,tensor(0.9833),0.15797050271183252
